src,dst,count
#COVID19,$1282269776996376576,360
#COVID19,$952247125185720320,235
#COVID19,$1292216657839104007,39
#COVID19,$45126279,37
#COVID19,$1241539336794820610,35
#COVID19,$1231772147259002881,22
#COVID19,$235966654,21
#COVID19,$1310834575732551680,20
#COVID19,$1230050104800948225,18
#COVID19,$17600254,15
#COVID19,$96718576,14
#COVID19,$796834404538654721,13
#COVID19,$2416298719,13
#COVID19,$583505532,13
#COVID19,$884867159163232257,12
#COVID19,$3507050654,12
#COVID19,$1311565165318594562,10
#COVID19,$886628090696388608,10
#COVID19,$1253466892754391040,10
#COVID19,$166326763,10
#COVID19,$1306932329932369921,9
#COVID19,$32732890,9
#COVID19,$26546985,9
#COVID19,$1290196204836593664,8
#COVID19,$1312217061934989312,8
#COVID19,$1241397503972515841,8
#COVID19,$1020448767496028160,8
#COVID19,$1270335128431140866,8
#COVID19,$1307737651571838981,8
#COVID19,$344075523,7
#COVID19,$1251952271535071233,7
#COVID19,$93071854,7
#COVID19,$1297650578902917121,7
#COVID19,$2743988938,6
#COVID19,$2827135812,6
#COVID19,$627536093,6
#COVID19,$247543444,5
#COVID19,$720829275809558528,5
#COVID19,$21860413,5
#COVID19,$1223383716350898177,5
#COVID19,$1307621801044799488,5
#COVID19,$292898515,5
#COVID19,$1042102454144430081,5
#COVID19,$887949603064213504,5
#COVID19,$1210481853251149824,5
#COVID19,$3151729419,5
#COVID19,$60102740,5
#COVID19,$1125140391274143745,5
#COVID19,$807164669404147712,5
#COVID19,$1287541639997792257,5
#COVID19,$1234879375734181888,5
#COVID19,$865823924805914624,5
#COVID19,$1266603008315453440,4
#COVID19,$50843943,4
#COVID19,$2595747649,4
#COVID19,$2852378032,4
#COVID19,$13920982,4
#COVID19,$1068408034341388289,4
#COVID19,$1166724223,4
#COVID19,$553180640,4
#COVID19,$1260128306671652864,4
#COVID19,$1221366000752324609,4
#COVID19,$543761210,4
#COVID19,$820976594,4
#COVID19,$1215271759101882378,4
#COVID19,$830634844166225921,4
#COVID19,$4550529801,4
#COVID19,$1244540148349579265,4
#COVID19,$1250696623060967424,4
#COVID19,$1308293215636860930,4
#COVID19,$18831926,4
#COVID19,$1287369904547495938,4
#COVID19,$113480677,4
#COVID19,$821549243731054593,4
#COVID19,$1301972589649297410,4
#COVID19,$593813785,3
#COVID19,$31493863,3
#COVID19,$2857343638,3
#COVID19,$1266650651339165696,3
#COVID19,$1251252156784676869,3
#COVID19,$1510787130,3
#COVID19,$954691474662281218,3
#COVID19,$1003753267044597760,3
#COVID19,$2555421992,3
#COVID19,$1237846369995390990,3
#COVID19,$783413047071211521,3
#COVID19,$2863762227,3
#COVID19,$463282685,3
#COVID19,$517212934,3
#COVID19,$2297338710,3
#COVID19,$1254824708824018946,3
#COVID19,$885810143597912064,3
#COVID19,$241563938,3
#COVID19,$1125699962564640769,3
#COVID19,$1245833410247081984,3
#COVID19,$2519197572,3
#COVID19,$1204831301099896832,3
#COVID19,$39512124,3
#COVID19,$1113747196099399680,3
#COVID19,$1112843321041457157,3
#COVID19,$1054267180424953856,3
#COVID19,$487118986,3
#COVID19,$18395215,3
#COVID19,$2985335882,3
#COVID19,$415671568,3
#COVID19,$820875379997024256,3
#COVID19,$13352392,3
#COVID19,$1289974552387346432,3
#COVID19,$1242791741071204352,3
#COVID19,$2983355574,3
#COVID19,$753140231197429761,3
#COVID19,$2396477243,3
#COVID19,$1291696406269501442,3
#COVID19,$984887303544942593,3
#COVID19,$2891709451,3
#COVID19,$1523891821,3
#COVID19,$118657549,3
#COVID19,$2583976046,3
#COVID19,$1439415536,3
#COVID19,$499533224,3
#COVID19,$219882427,3
#COVID19,$394883311,3
#COVID19,$564725304,3
#COVID19,$1101973496547168256,3
#COVID19,$2903257517,3
#COVID19,$470299753,3
#COVID19,$1247600824316035072,3
#COVID19,$822927947610857472,3
#COVID19,$425514781,3
#COVID19,$1177439542921445377,3
#COVID19,$213634588,3
#COVID19,$802649176299466752,3
#COVID19,$1295715136141963267,3
#COVID19,$1268202666796232704,3
#COVID19,$375666626,3
#COVID19,$1034234734669389827,3
#COVID19,$1308271883876474880,3
#COVID19,$444378105,3
#COVID19,$1080619322341539842,3
#COVID19,$282826099,3
#COVID19,$438152067,3
#COVID19,$828841083257778176,3
#COVID19,$197796349,3
#COVID19,$792060222789615617,3
#COVID19,$115393565,3
#COVID19,$37552388,3
#COVID19,$3119430388,3
#COVID19,$173591614,3
#COVID19,$88869834,3
#COVID19,$896622942469070848,3
#COVID19,$1166381062248783874,3
#COVID19,$1298322948160278528,3
#COVID19,$374559661,3
#COVID19,$115802970,3
#COVID19,$911226731113172994,3
#COVID19,$1297544149240098817,3
#COVID19,$538699036,3
#COVID19,$730004800042045440,3
#COVID19,$931483783487819776,3
#COVID19,$1161737207964504065,3
#COVID19,$53591286,3
#COVID19,$262337822,3
#COVID19,$1271685862808383490,3
#COVID19,$113190456,3
#COVID19,$615314107,3
#COVID19,$113764752,3
#COVID19,$1164399734624260096,3
#COVID19,$245784962,3
#COVID19,$1256691912,3
#COVID19,$3105827377,2
#COVID19,$839166389332094976,2
#COVID19,$135187648,2
#COVID19,$1305093076705189888,2
#COVID19,$45459291,2
#COVID19,$1280194744228786176,2
#COVID19,$924463969,2
#COVID19,$452172857,2
#COVID19,$1312313744509333506,2
#COVID19,$710880767421882368,2
#COVID19,$1578326652,2
#COVID19,$1893881106,2
#COVID19,$13165482,2
#COVID19,$1267649581636038657,2
#COVID19,$839399989,2
#COVID19,$189101826,2
#COVID19,$19649847,2
#COVID19,$196541017,2
#COVID19,$1305295045076160513,2
#COVID19,$1266712307641573377,2
#COVID19,$1227197844282458112,2
#COVID19,$172356902,2
#COVID19,$319042050,2
#COVID19,$1301743959207587840,2
#COVID19,$2980829343,2
#COVID19,$1228341901222236160,2
#COVID19,$731223140907532293,2
#COVID19,$1078069559129718785,2
#COVID19,$3138901634,2
#COVID19,$299273962,2
#COVID19,$1083892419328962562,2
#COVID19,$707143919755251712,2
#COVID19,$4440595215,2
#COVID19,$1084300652992442370,2
#COVID19,$1227743723641090052,2
#COVID19,$1263270307382640640,2
#COVID19,$726680073433174016,2
#COVID19,$19790597,2
#COVID19,$281314994,2
#COVID19,$47918388,2
