src,dst,count
#COVID,@JoanofAmerica,34
#COVID,@electroboyusa,22
#COVID,@Cleavon_MD,21
#COVID,@21WIRE,13
#COVID,@M_T_Franz,12
#COVID,@Montel_Williams,9
#COVID,@Ed_Miliband,5
#COVID,@daniellevitt22,5
#COVID,@SilverAdie,5
#COVID,@lister_lester,5
#COVID,@realDonaldTrump,4
#COVID,@FSUHoops,4
#COVID,@DrGJackBrown,3
#COVID,@StephenKing,3
#COVID,@BruceBourgoine,3
#COVID,@duty2warn,2
#COVID,@COVAXX_,2
#COVID,@Colorado_Inno,2
#COVID,@MiriamMerad,2
#COVID,@MoHFW_INDIA,2
#COVID,@PeterDiamandis,2
#COVID,@howardfineman,2
#COVID,@Nick_Greenhalgh,2
#COVID,@SharisseC,2
#COVID,@nannoapp,2
#COVID,@PIB_India,2
#COVID,@POTUS,1
#COVID,@GossipsTv,1
#COVID,@johncardillo,1
#COVID,@Indiegogo,1
#COVID,@fordnation,1
#COVID,@beachydreamer,1
#COVID,@GovernorTomWolf,1
#COVID,@StarPlus,1
#COVID,@TomLeonard18,1
#COVID,@tarahaelle,1
#COVID,@TheJusticeDept,1
#COVID,@GOP,1
#COVID,@GetMyGist,1
#COVID,@thomas_m_wilson,1
#COVID,@nyx200,1
#COVID,@dodona777,1
#COVID,@LASDHQ,1
#COVID,@19Trackcovid,1
#COVID,@IngrahamAngle,1
#COVID,@NBCNews,1
#COVID,@RepSwalwell,1
#COVID,@csiemaszko,1
#COVID,@trumpedelic,1
#COVID,@DailySabah,1
#COVID,@EdLaborCmte,1
#COVID,@FCC,1
#COVID,@HouseIntel,1
#COVID,@MOEducation,1
#COVID,@allthingsregal,1
#COVID,@MO_HouseDems,1
#COVID,@SenateDems,1
#COVID,@UGAAthletics,1
#COVID,@clairecmc,1
#COVID,@mikeparson,1
#COVID,@AdoptAbroad,1
#COVID,@randyhillier,1
#COVID,@IvankaTrump,1
#COVID,@JanThompsonFCDO,1
#COVID,@StuartSummer3,1
#COVID,@ou812nun,1
#COVID,@welcomehomergv,1
#COVID,@senatemajldr,1
#COVID,@AndreaSCousins,1
#COVID,@ygjumi,1
#COVID,@LRPow79,1
#COVID,@SanDiegoHorseTx,1
#COVID,@dianacaroruiz,1
#COVID,@lwta_program,1
#COVID,@pappevelasco,1
#COVID,@A_Golfers_Dream,1
#COVID,@AhmedBaba_,1
#COVID,@CNN,1
#COVID,@TheFluff2,1
#COVID,@CarlHeastie,1
#COVID,@MaryBer96449179,1
#COVID,@NYCCouncil,1
#COVID,@NYGovCuomo,1
#COVID,@RepDevinNunes,1
#COVID,@WHAAsstSecty,1
#COVID,@adriennerourke,1
#COVID,@charliekirk11,1
#COVID,@ddheruiz,1
#COVID,@joerogan,1
#COVID,@TeamJoe,1
#COVID,@thegoodgodabove,1
#COVID,@DeptofDefense,1
#COVID,@BillHagertyTN,1
#COVID,@HidalgoCounty,1
#COVID,@HoyEnLaNoticia2,1
#COVID,@JudgeCortez,1
#COVID,@RobertKennedyJr,1
#COVID,@greenka40,1
#COVID,@hueynewton2009,1
#COVID,@midwestmama88,1
#COVID,@FBI,1
#COVID,@LiMengYAN119,1
#COVID,@NYCMayor,1
#COVID,@RT_com,1
#COVID,@andrewbostom,1
#COVID,@DinaEllithorpe,1
#COVID,@SaraCarterDC,1
#COVID,@WealDonoodTwump,1
#COVID,@thehill,1
#COVID,@60Minutes,1
#COVID,@GENbio,1
#COVID,@SLSCwaterpolo,1
