src,dst,count
#Corona,$2262514882,4
#Corona,$878258751731585026,3
#Corona,$838725025276510208,3
#Corona,$1311152783953932289,3
#Corona,$899308266748080128,3
#Corona,$8720562,3
#Corona,$390143882,2
#Corona,$176921955,2
#Corona,$385436030,2
#Corona,$1242061753548263424,2
#Corona,$2160707671,2
#Corona,$918346004,2
#Corona,$878914763954245633,2
#Corona,$1068608135080878081,2
#Corona,$984590668306804737,2
#Corona,$724147778524483584,2
#Corona,$21759622,2
#Corona,$2267133421,2
#Corona,$5715752,2
#Corona,$2272106744,2
#Corona,$953874531395006464,2
#Corona,$3023006607,2
#Corona,$1217486515581878272,2
#Corona,$1301028190866092033,2
#Corona,$927645970225082368,2
#Corona,$1311384742697332736,2
#Corona,$1105131353228656642,2
#Corona,$474843847,2
#Corona,$1247928200832966660,2
#Corona,$1008176372622110720,2
#Corona,$1310713948644155392,1
#Corona,$308212534,1
#Corona,$189662629,1
#Corona,$4738269821,1
#Corona,$234690126,1
#Corona,$418698206,1
#Corona,$394774071,1
#Corona,$1256691912,1
#Corona,$262798421,1
#Corona,$1265230916990963718,1
#Corona,$3451781,1
#Corona,$332192020,1
#Corona,$3245231405,1
#Corona,$2744119014,1
#Corona,$17234497,1
#Corona,$1281330397100544001,1
#Corona,$27847252,1
#Corona,$30416706,1
#Corona,$2215696496,1
#Corona,$3001072930,1
#Corona,$1294341512336089089,1
#Corona,$2968437490,1
#Corona,$59794837,1
#Corona,$2922695962,1
#Corona,$1299773561960304640,1
#Corona,$282130321,1
#Corona,$47619491,1
#Corona,$862851451,1
#Corona,$619799770,1
#Corona,$1281398726305742849,1
#Corona,$1190977690851000321,1
#Corona,$1288352673079742465,1
#Corona,$2968648197,1
#Corona,$37930051,1
#Corona,$830590404,1
#Corona,$1279376541244428290,1
#Corona,$749192314136961024,1
#Corona,$24167914,1
#Corona,$820930736341610496,1
#Corona,$99354802,1
#Corona,$1308176039856701446,1
#Corona,$1311035163283984384,1
#Corona,$728559293662908418,1
#Corona,$790653885501374464,1
#Corona,$3350493309,1
#Corona,$1552982012,1
#Corona,$720702396456968193,1
#Corona,$867809309412835328,1
#Corona,$731567825878429696,1
#Corona,$756532617235820544,1
#Corona,$800266108049600512,1
#Corona,$802228555514073088,1
#Corona,$811970192033153024,1
#Corona,$1241397503972515841,1
#Corona,$873094647245033474,1
#Corona,$1104792411144941568,1
#Corona,$1037295414033166337,1
#Corona,$1200253905231155200,1
#Corona,$1212374963782438912,1
#Corona,$1221348619648892928,1
#Corona,$1302641991331831808,1
#Corona,$140111135,1
#Corona,$1245919246405660676,1
#Corona,$1097057221861502976,1
#Corona,$1236347405613895682,1
#Corona,$234343491,1
#Corona,$17187345,1
#Corona,$194007666,1
#Corona,$201525114,1
#Corona,$21856040,1
#Corona,$22264919,1
#Corona,$227925187,1
#Corona,$2331887057,1
#Corona,$2344913904,1
#Corona,$1577903341,1
#Corona,$2552435287,1
#Corona,$2962903703,1
#Corona,$2998665491,1
#Corona,$317935027,1
#Corona,$3345489827,1
#Corona,$375715649,1
#Corona,$376644535,1
#Corona,$381846876,1
#Corona,$1689287426,1
#Corona,$153852492,1
#Corona,$398074372,1
#Corona,$1187685495482060807,1
#Corona,$1040202599004299267,1
#Corona,$104810702,1
#Corona,$1099996747286396928,1
#Corona,$1102533622584786945,1
#Corona,$112526774,1
#Corona,$1162403850738896896,1
#Corona,$118707169,1
#Corona,$1193585839479181313,1
#Corona,$1492479133,1
#Corona,$1207994326988525568,1
#Corona,$1236984901846654976,1
#Corona,$1239879405243170818,1
#Corona,$1264912277439995906,1
#Corona,$1270095174316761089,1
#Corona,$1287639239153324032,1
#Corona,$1293869727367004163,1
#Corona,$14106683,1
#Corona,$39108885,1
#Corona,$403682688,1
#Corona,$1216051659677282304,1
#Corona,$966986404046737408,1
#Corona,$889778116234801153,1
#Corona,$898075523171176448,1
#Corona,$906206390833876992,1
#Corona,$917582467048943621,1
#Corona,$940987118,1
#Corona,$94293211,1
#Corona,$948067997746384896,1
#Corona,$970309574,1
#Corona,$866339606,1
#Corona,$970759999919218689,1
#Corona,$980458063,1
#Corona,$1018619191224623107,1
#Corona,$1246447881055330307,1
#Corona,$1115255800497430528,1
#Corona,$1134073916,1
#Corona,$1164205197910040576,1
#Corona,$1178004673443311616,1
#Corona,$872470077655977985,1
#Corona,$838118886377730048,1
#Corona,$4170065955,1
#Corona,$57688074,1
#Corona,$4241852117,1
#Corona,$4743734475,1
#Corona,$478445055,1
#Corona,$479445216,1
#Corona,$4861491598,1
#Corona,$51109042,1
#Corona,$5563002,1
#Corona,$610725080,1
#Corona,$819514820642897920,1
#Corona,$697058107558662144,1
#Corona,$710056196145868800,1
#Corona,$713298286170488832,1
#Corona,$749000304,1
#Corona,$753503616,1
#Corona,$78623043,1
#Corona,$811232692004069376,1
#Corona,$817252236346540033,1
#Corona,$1125800648191217667,1
#Corona,$1028334689491329024,1
#Corona,$1251252156784676869,1
#Corona,$1045975785243332608,1
#Corona,$58413950,1
#Corona,$793468624359088129,1
#Corona,$800990319189852160,1
#Corona,$859476425107275778,1
#Corona,$913428703983661056,1
#Corona,$1011819396694757376,1
#Corona,$1038494758988132358,1
#Corona,$1052674149431332864,1
#Corona,$51249764,1
#Corona,$1058700595178192901,1
#Corona,$1133261976291950592,1
#Corona,$1134185649505034240,1
#Corona,$1135714176,1
#Corona,$1160705189315170304,1
#Corona,$1184025654976831488,1
#Corona,$1190203893185204225,1
#Corona,$57350105,1
#Corona,$4738052761,1
#Corona,$1234128797320011777,1
#Corona,$3095645451,1
#Corona,$282015659,1
#Corona,$287288846,1
#Corona,$2931021585,1
#Corona,$3037362134,1
#Corona,$308180604,1
#Corona,$3089347731,1
#Corona,$3092600860,1
#Corona,$321276683,1
#Corona,$470811784,1
#Corona,$3377930482,1
#Corona,$380261655,1
#Corona,$389617957,1
#Corona,$393554507,1
#Corona,$3993146392,1
#Corona,$4246245561,1
#Corona,$4362732556,1
#Corona,$1190259617739227136,1
#Corona,$1238086041262833664,1
#Corona,$2431555651,1
#Corona,$605604609,1
#Corona,$3026867945,1
#Corona,$341367267,1
#Corona,$377261179,1
#Corona,$392845326,1
#Corona,$428203279,1
#Corona,$472723911,1
#Corona,$541131956,1
#Corona,$69899931,1
#Corona,$2893830911,1
#Corona,$703510134597754880,1
#Corona,$712249682546855936,1
#Corona,$722734226362253312,1
#Corona,$780494751078486016,1
#Corona,$818508323049902080,1
#Corona,$848107919770046464,1
#Corona,$94845617,1
#Corona,$2995595595,1
#Corona,$2715046843,1
#Corona,$1238447220,1
#Corona,$1289574314879127552,1
#Corona,$1250023059953770497,1
#Corona,$1251290474192789505,1
#Corona,$1259492541549948933,1
#Corona,$1262560771763994625,1
#Corona,$1264215176607301633,1
#Corona,$1280950518844723202,1
#Corona,$1281321,1
#Corona,$1301259011589898240,1
#Corona,$25493805,1
#Corona,$1349252810,1
#Corona,$138848359,1
#Corona,$15095423,1
#Corona,$158389642,1
#Corona,$162635269,1
#Corona,$198249585,1
#Corona,$218793844,1
#Corona,$24029262,1
#Corona,$244284052,1
#Corona,$23607271,1
#Corona,$1298234340179148801,1
#Corona,$1146018974,1
#Corona,$844487065,1
#Corona,$86698065,1
#Corona,$906587983587004421,1
#Corona,$1008115832642252800,1
#Corona,$1082840461,1
#Corona,$1093154142632267777,1
#Corona,$1131644512705630208,1
#Corona,$1186157365294456833,1
#Corona,$822578462007447552,1
#Corona,$1231549231263092737,1
#Corona,$1240110357013770244,1
#Corona,$1269275539824619521,1
#Corona,$1293517999761129472,1
#Corona,$180138713,1
#Corona,$1860407786,1
#Corona,$1864799454,1
#Corona,$82406315,1
#Corona,$76047594,1
#Corona,$25496879,1
#Corona,$1105115611322040323,1
#Corona,$155647562,1
#Corona,$2265546719,1
#Corona,$2774702928,1
#Corona,$29721672,1
#Corona,$949927985502703617,1
#Corona,$104177368,1
#Corona,$1071358716010749952,1
#Corona,$1157876407135100929,1
#Corona,$3833233942,1
#Corona,$1162726856203939840,1
#Corona,$1228770337774542848,1
#Corona,$1267042327018733568,1
#Corona,$1280103462181748737,1
#Corona,$1424818951,1
#Corona,$2810528553,1
#Corona,$3373630474,1
#Corona,$24155607,1
#Corona,$2828176223,1
#Corona,$234356427,1
#Corona,$1359321866,1
#Corona,$1232402136790683648,1
#Corona,$1239228960787046401,1
#Corona,$1241082461766979584,1
#Corona,$1244858779398819841,1
#Corona,$1250382385482469376,1
#Corona,$1259212183931686914,1
#Corona,$1268145152348114953,1
#Corona,$16026138,1
#Corona,$1215367138350944258,1
#Corona,$160812512,1
#Corona,$1864039724,1
#Corona,$1864118467,1
#Corona,$19597185,1
#Corona,$20689135,1
#Corona,$2333807252,1
#Corona,$234335741,1
#Corona,$1221427129520443392,1
#Corona,$1159381641296527360,1
#Corona,$313510104,1
#Corona,$75067369,1
#Corona,$342910946,1
#Corona,$40370455,1
#Corona,$495820628,1
#Corona,$51576246,1
#Corona,$60521702,1
#Corona,$60997808,1
#Corona,$720684604353601537,1
#Corona,$818579901087236096,1
#Corona,$1143194983610142720,1
#Corona,$83867156,1
#Corona,$839495503352119296,1
#Corona,$941337204797968384,1
#Corona,$951110664021569536,1
#Corona,$1060998506045935620,1
#Corona,$108085921,1
#Corona,$1109178004192804864,1
#Corona,$1114919082741129216,1
#Corona,$1022084459091374082,1
