src,dst,count
(#COVID19|#SpreaderInChief),@donwinslow,984
(#COVID19|#SpreaderInChief),@realDonaldTrump,864
(#COVID19|#SpreaderInChief),@CNN,643
(#COVID19|#SpreaderInChief),@AprilDRyan,634
(#COVID19|#SpreaderInChief),@DrEricDing,293
(#COVID19|#SpreaderInChief),@YourAnonCentral,279
(#COVID19|#SpreaderInChief),@CMonteroOficial,234
(#COVID19|#SpreaderInChief),@CDCgov,87
(#COVID19|#SpreaderInChief),@Laurie_Garrett,85
(#COVID19|#SpreaderInChief),@VP,75
(#COVID19|#SpreaderInChief),@WhiteHouse,73
(#COVID19|#SpreaderInChief),@WybrenvanHaga,60
(#COVID19|#SpreaderInChief),@SeemaCMS,60
(#COVID19|#SpreaderInChief),@JohnBasham,56
(#COVID19|#SpreaderInChief),@infirmierSNPI,50
(#COVID19|#SpreaderInChief),@ERGOaccess,44
(#COVID19|#SpreaderInChief),@POTUS,35
(#COVID19|#SpreaderInChief),@JoeBiden,35
(#COVID19|#SpreaderInChief),@GOP,31
(#COVID19|#SpreaderInChief),@Fginer,26
(#COVID19|#SpreaderInChief),@DrZweliMkhize,25
(#COVID19|#SpreaderInChief),@Jimcorrsays,25
(#COVID19|#SpreaderInChief),@mauroberruto,24
(#COVID19|#SpreaderInChief),@senatemajldr,24
(#COVID19|#SpreaderInChief),@TomCailleretz,22
(#COVID19|#SpreaderInChief),@AngelaRayner,21
(#COVID19|#SpreaderInChief),@Pajaropolitico,20
(#COVID19|#SpreaderInChief),@BorisJohnson,20
(#COVID19|#SpreaderInChief),@DrSarahJarvis,18
(#COVID19|#SpreaderInChief),@EricG1247,17
(#COVID19|#SpreaderInChief),@9NEWSNANCY,17
(#COVID19|#SpreaderInChief),@Voda_Foundation,17
(#COVID19|#SpreaderInChief),@MirMAKOfficial,16
(#COVID19|#SpreaderInChief),@IvankaTrump,16
(#COVID19|#SpreaderInChief),@XHNews,15
(#COVID19|#SpreaderInChief),@soloyochapin,15
(#COVID19|#SpreaderInChief),@Emolclause,14
(#COVID19|#SpreaderInChief),@JohnParisella,14
(#COVID19|#SpreaderInChief),@WHO,13
(#COVID19|#SpreaderInChief),@SJMorrison_,13
(#COVID19|#SpreaderInChief),@AlokPatelMD,13
(#COVID19|#SpreaderInChief),@HSIGlobal,12
(#COVID19|#SpreaderInChief),@Don_4all,12
(#COVID19|#SpreaderInChief),@mmpadellan,12
(#COVID19|#SpreaderInChief),@bosmana,12
(#COVID19|#SpreaderInChief),@IMAIndiaOrg,12
(#COVID19|#SpreaderInChief),@XinhuaTravel,12
(#COVID19|#SpreaderInChief),@AskLipun,12
(#COVID19|#SpreaderInChief),@pastormarkburns,12
(#COVID19|#SpreaderInChief),@dm_jajpur,12
(#COVID19|#SpreaderInChief),@FBIBoston,11
(#COVID19|#SpreaderInChief),@PhumlaniMMajozi,11
(#COVID19|#SpreaderInChief),@FLOTUS,11
(#COVID19|#SpreaderInChief),@kvicindia,10
(#COVID19|#SpreaderInChief),@StevenStackMD,10
(#COVID19|#SpreaderInChief),@DKThomp,10
(#COVID19|#SpreaderInChief),@_SemaHernandez_,10
