src,dst,count
@narendramodi,@myogiadityanath,292
@myogiadityanath,@HansrajMeena,254
@myogiadityanath,@vijaykbandhu,32
@myogiadityanath,@nsitharaman,32
@myogiadityanath,@PMOIndia,27
@myogiadityanath,@RahulGandhi,19
@narendramodi,@PMOIndia,255
@PMOIndia,@AmitShah,132
@PMOIndia,@myogiadityanath,54
@PMOIndia,@rashtrapatibhvn,19
@PMOIndia,@RahulGandhi,16
@narendramodi,@AmitShah,172
@AmitShah,@PMOIndia,88
@AmitShah,@myogiadityanath,16
@AmitShah,@rashtrapatibhvn,15
@narendramodi,@rashtrapatibhvn,78
@rashtrapatibhvn,@HansrajMeena,50
@rashtrapatibhvn,@PMOIndia,19
@rashtrapatibhvn,@rsprasad,18
@rashtrapatibhvn,@RahulGandhi,16
@rashtrapatibhvn,@AmitShah,15
@narendramodi,@HansrajMeena,66
@HansrajMeena,@myogiadityanath,254
@HansrajMeena,@rashtrapatibhvn,50
@HansrajMeena,@PMOIndia,3
@narendramodi,@RahulGandhi,54
@RahulGandhi,@myogiadityanath,19
@RahulGandhi,@rashtrapatibhvn,16
@narendramodi,@nsitharaman,34
@nsitharaman,@vijaykbandhu,44
@nsitharaman,@myogiadityanath,32
@nsitharaman,@PMOIndia,7
@narendramodi,@rsprasad,32
@rsprasad,@rashtrapatibhvn,18
@rsprasad,@RahulGandhi,16
@rsprasad,@AmitShah,3
@rsprasad,@PMOIndia,2
@narendramodi,@BJP4India,30
@BJP4India,@myogiadityanath,14
@BJP4India,@PMOIndia,5
@BJP4India,@RahulGandhi,4
@narendramodi,@aajtak,28
@aajtak,@myogiadityanath,13
@narendramodi,@smritiirani,26
@smritiirani,@AmitShah,2
@narendramodi,@vijaykbandhu,26
@vijaykbandhu,@nsitharaman,44
@vijaykbandhu,@myogiadityanath,32
@vijaykbandhu,@PMOIndia,14
