src,dst,count
@narendramodi,#AtalTunnel,9777
#AtalTunnel,#AtalTunnelRohtang,965
#AtalTunnel,#AtalRohtangTunnel,790
#AtalTunnel,#Rohtang,551
#AtalTunnel,#HimachalPradesh,273
#AtalTunnel,#prsr103,212
#AtalTunnel,#NarendraModi,184
#AtalTunnel,#Manali,164
#AtalTunnel,#302ForSSRKillers,101
#AtalTunnel,#Leh,76
#AtalTunnel,#HathrasTruthExposed,65
#AtalTunnel,#WatchNow,52
#AtalTunnel,#अटल_सुरंग,51
#AtalTunnel,#ModiHaiToMumkinHai,42
#AtalTunnel,#मीडिया_योगी_का_इस्तीफा_माँगो,34
#AtalTunnel,#JaiHind,33
#AtalTunnel,#Hathras,31
#AtalTunnel,#रक्षा_मंत्री,24
#AtalTunnel,#AIIMS,20
@narendramodi,#302ForSSRKillers,656
#302ForSSRKillers,#Revolution4SSR,602
#302ForSSRKillers,#AIIMS,336
#302ForSSRKillers,#JusticeForSSR,295
#302ForSSRKillers,#HungerStrike4SSR,284
#302ForSSRKillers,#SushantSinghRajput,209
#302ForSSRKillers,#AtalTunnel,101
#302ForSSRKillers,#HathrasTruthExposed,66
#302ForSSRKillers,#SSR,59
#302ForSSRKillers,#Hathras,37
@narendramodi,#AtalTunnelRohtang,463
#AtalTunnelRohtang,#AtalTunnel,965
#AtalTunnelRohtang,#AtalRohtangTunnel,290
#AtalTunnelRohtang,#HimachalPradesh,65
#AtalTunnelRohtang,#NarendraModi,54
#AtalTunnelRohtang,#Rohtang,44
#AtalTunnelRohtang,#Manali,38
#AtalTunnelRohtang,#Hathras,14
#AtalTunnelRohtang,#अटल_सुरंग,13
#AtalTunnelRohtang,#ModiHaiToMumkinHai,9
#AtalTunnelRohtang,#Leh,9
#AtalTunnelRohtang,#HathrasTapes,8
#AtalTunnelRohtang,#HathrasTruthExposed,6
#AtalTunnelRohtang,#302ForSSRKillers,6
#AtalTunnelRohtang,#JaiHind,6
#AtalTunnelRohtang,#AIIMS,5
#AtalTunnelRohtang,#RahulGandhi,5
#AtalTunnelRohtang,#मीडिया_योगी_का_इस्तीफा_माँगो,4
#AtalTunnelRohtang,#HathrasHorror,4
@narendramodi,#Rohtang,381
#Rohtang,#AtalTunnel,551
#Rohtang,#AtalRohtangTunnel,129
#Rohtang,#HimachalPradesh,55
#Rohtang,#NarendraModi,45
#Rohtang,#AtalTunnelRohtang,44
#Rohtang,#Ataltunnel,26
#Rohtang,#Manali,19
#Rohtang,#Leh,4
#Rohtang,#अटल_सुरंग,2
#Rohtang,#HathrasTruthExposed,2
