src,dst,count
#Message_To_KanganaRanaut,@PoojaSindhwani,9
#Message_To_KanganaRanaut,@SaintRampalJiM,9
#Message_To_KanganaRanaut,@Nikku163,6
#Message_To_KanganaRanaut,@KanganaTeam,6
#Message_To_KanganaRanaut,@Sandeep45235806,5
#Message_To_KanganaRanaut,@GODSEVA999,4
#Message_To_KanganaRanaut,@AmrutaShelke1,4
#Message_To_KanganaRanaut,@Shalumehta95,4
#Message_To_KanganaRanaut,@Ladli_guruki,3
#Message_To_KanganaRanaut,@BookGeeta,3
#Message_To_KanganaRanaut,@vikramc58591925,3
#Message_To_KanganaRanaut,@IshwantiD,2
#Message_To_KanganaRanaut,@Jageshw83642789,2
#Message_To_KanganaRanaut,@rajkumar8973,2
#Message_To_KanganaRanaut,@Sakshi01083602,2
#Message_To_KanganaRanaut,@Manaramdas56,2
#Message_To_KanganaRanaut,@neeta_dhanora,2
#Message_To_KanganaRanaut,@Agnika11,2
#Message_To_KanganaRanaut,@NehaRajputOffi1,2
#Message_To_KanganaRanaut,@iam_vijayji,2
#Message_To_KanganaRanaut,@Official_Heena,2
#Message_To_KanganaRanaut,@LORDKABIR6,2
#Message_To_KanganaRanaut,@_HariomBaghel,2
#Message_To_KanganaRanaut,@ManuGup62285457,1
#Message_To_KanganaRanaut,@Krishna85501064,1
#Message_To_KanganaRanaut,@Kayu_kaju,1
#Message_To_KanganaRanaut,@Jay_Sat_Kabir,1
#Message_To_KanganaRanaut,@Duleshwari_12,1
#Message_To_KanganaRanaut,@Suraj69481722,1
#Message_To_KanganaRanaut,@Rajenda62025521,1
#Message_To_KanganaRanaut,@Rajkuma61941284,1
#Message_To_KanganaRanaut,@RealBani1000,1
#Message_To_KanganaRanaut,@Santosh00795341,1
#Message_To_KanganaRanaut,@praveendsahu,1
#Message_To_KanganaRanaut,@Surjeet61013796,1
#Message_To_KanganaRanaut,@VIKASHD77747201,1
#Message_To_KanganaRanaut,@Vedprakash26493,1
#Message_To_KanganaRanaut,@ArunPatidar_,1
#Message_To_KanganaRanaut,@DassFarmana,1
#Message_To_KanganaRanaut,@DivyaArjun4,1
#Message_To_KanganaRanaut,@satkabir_,1
#Message_To_KanganaRanaut,@prashan45937727,1
#Message_To_KanganaRanaut,@nishapunjabi68,1
#Message_To_KanganaRanaut,@1prachi2,1
#Message_To_KanganaRanaut,@AmreshK30303761,1
#Message_To_KanganaRanaut,@BharatD63653728,1
#Message_To_KanganaRanaut,@DaasVeenu,1
#Message_To_KanganaRanaut,@Dinesh_Jat_,1
#Message_To_KanganaRanaut,@Megharamkhoth10,1
#Message_To_KanganaRanaut,@PawanJi01,1
#Message_To_KanganaRanaut,@PitaRampal,1
