src,dst,count
#IPL2020,$1307513190478045189,54
#IPL2020,$1255126199149269000,15
#IPL2020,$1227520533052317697,14
#IPL2020,$1019760709,13
#IPL2020,$1039759933728645120,13
#IPL2020,$957614521765392384,12
#IPL2020,$18188632,12
#IPL2020,$732425200118030337,11
#IPL2020,$3332355647,10
#IPL2020,$19897138,10
#IPL2020,$414946220,9
#IPL2020,$259843963,9
#IPL2020,$86451989,9
#IPL2020,$912632293746917376,9
#IPL2020,$2532884354,9
#IPL2020,$861560902260281344,8
#IPL2020,$563043427,7
#IPL2020,$2177415535,7
#IPL2020,$1070959211243159552,7
#IPL2020,$884279852009967616,7
#IPL2020,$1224633056574758913,7
#IPL2020,$1232932795011362817,7
#IPL2020,$2534828041,7
#IPL2020,$1298597428137005056,7
#IPL2020,$1169799793784176640,6
#IPL2020,$878909330250059776,6
#IPL2020,$1277094794641235973,6
#IPL2020,$335891957,6
#IPL2020,$71487564,6
#IPL2020,$980299902184964096,6
#IPL2020,$1258648977047580674,6
#IPL2020,$1188296307472916480,6
#IPL2020,$94761188,6
#IPL2020,$1245892689200992256,6
#IPL2020,$276092951,6
#IPL2020,$804064646990659584,6
#IPL2020,$844818437499105280,6
#IPL2020,$1073676020,6
#IPL2020,$990761677,6
#IPL2020,$231692806,5
#IPL2020,$1269933430252474369,5
#IPL2020,$1199330613787934720,5
#IPL2020,$121828529,5
#IPL2020,$843362247950897152,5
#IPL2020,$1258041862025289728,5
#IPL2020,$1034596759,5
#IPL2020,$17710740,5
#IPL2020,$1097735514977955845,5
#IPL2020,$1183923867703595008,5
#IPL2020,$1216792009953800197,5
#IPL2020,$1286954658,5
#IPL2020,$2748928429,5
#IPL2020,$1302052282062700544,5
#IPL2020,$128555221,5
#IPL2020,$1181972146483974145,5
#IPL2020,$1079089748059148288,5
#IPL2020,$1290604133100089345,5
#IPL2020,$806141425729449988,5
#IPL2020,$1081456821368283136,4
#IPL2020,$120425196,4
#IPL2020,$1303365216663732224,4
#IPL2020,$1110578456213897217,4
#IPL2020,$1301486967071350786,4
#IPL2020,$850198076492873728,4
#IPL2020,$1209012295,4
