src,dst,count
(#Corona|#Coronavirus),#Corona,938
(#Corona|#Coronavirus),#Coronavirus,498
(#Corona|#Coronavirus),#COVID19,78
(#Corona|#Coronavirus),#ZweiteWelle,55
(#Corona|#Coronavirus),#Iran,35
(#Corona|#Coronavirus),#Covidioten,32
(#Corona|#Coronavirus),#Rechtsextreme,26
(#Corona|#Coronavirus),#Aerosole,24
(#Corona|#Coronavirus),#Spanien,24
(#Corona|#Coronavirus),#Frankreich,23
(#Corona|#Coronavirus),#Garmisch,21
(#Corona|#Coronavirus),#coronavirus,20
(#Corona|#Coronavirus),#AfD,20
(#Corona|#Coronavirus),#MEK,19
(#Corona|#Coronavirus),#Covid19,15
(#Corona|#Coronavirus),#Aliens,14
(#Corona|#Coronavirus),#Weltverschwörung,14
(#Corona|#Coronavirus),#Gegenrede,14
(#Corona|#Coronavirus),#Bayern,13
(#Corona|#Coronavirus),#Zitat,12
(#Corona|#Coronavirus),#Virus,11
(#Corona|#Coronavirus),#Trump,10
(#Corona|#Coronavirus),#München,10
(#Corona|#Coronavirus),#Neuinfektionen,9
(#Corona|#Coronavirus),#Lockdown,9
(#Corona|#Coronavirus),#PLANDEMIC,8
(#Corona|#Coronavirus),#EVENT201,8
(#Corona|#Coronavirus),#MustWatch,8
(#Corona|#Coronavirus),#COVIDー19,8
(#Corona|#Coronavirus),#COVID19LIES,8
(#Corona|#Coronavirus),#ChinaVirus,8
(#Corona|#Coronavirus),#BillGatesBioTerrorist,8
(#Corona|#Coronavirus),#COVID,7
(#Corona|#Coronavirus),#Pandemic,7
(#Corona|#Coronavirus),#Berlin,7
(#Corona|#Coronavirus),#Maskenpflicht,7
(#Corona|#Coronavirus),#Deutschland,7
(#Corona|#Coronavirus),#MentalHealth,7
(#Corona|#Coronavirus),#Demos,7
(#Corona|#Coronavirus),#covid19,7
(#Corona|#Coronavirus),#Lockerungen,6
(#Corona|#Coronavirus),#Schweiz,6
(#Corona|#Coronavirus),#Querdenken089,6
(#Corona|#Coronavirus),#Pandemie,6
(#Corona|#Coronavirus),#Moria,6
(#Corona|#Coronavirus),#Schule,6
(#Corona|#Coronavirus),#PCRTest,6
(#Corona|#Coronavirus),#EU,6
(#Corona|#Coronavirus),#noAfD,6
(#Corona|#Coronavirus),#India,6
(#Corona|#Coronavirus),#Kurz,6
(#Corona|#Coronavirus),#DayDreamer,5
(#Corona|#Coronavirus),#China,5
(#Corona|#Coronavirus),#Data,5
(#Corona|#Coronavirus),#Covid_19,5
(#Corona|#Coronavirus),#yks2020,5
(#Corona|#Coronavirus),#TrumpKnew,5
(#Corona|#Coronavirus),#ALTIN,5
(#Corona|#Coronavirus),#News,5
(#Corona|#Coronavirus),#2021tayfa,5
(#Corona|#Coronavirus),#κορωνοιος,5
(#Corona|#Coronavirus),#BildungAberSicher,5
(#Corona|#Coronavirus),#MondayMotivation,5
(#Corona|#Coronavirus),#Hannover,5
(#Corona|#Coronavirus),#Polizei,5
(#Corona|#Coronavirus),#Bangladesh,5
(#Corona|#Coronavirus),#Stats,5
(#Corona|#Coronavirus),#Covid,5
(#Corona|#Coronavirus),#Drosten,4
(#Corona|#Coronavirus),#zib2,4
(#Corona|#Coronavirus),#Politik,4
(#Corona|#Coronavirus),#CoronaVirusDE,4
(#Corona|#Coronavirus),#Querdenken,4
(#Corona|#Coronavirus),#Demo,4
(#Corona|#Coronavirus),#TheWiderWiserView,4
(#Corona|#Coronavirus),#Brazil,4
(#Corona|#Coronavirus),#coronaviruschallenge,4
(#Corona|#Coronavirus),#Wahndemie,4
(#Corona|#Coronavirus),#Seehofer,4
(#Corona|#Coronavirus),#Schweden,4
(#Corona|#Coronavirus),#CDU,4
(#Corona|#Coronavirus),#America,4
(#Corona|#Coronavirus),#Woodward,4
(#Corona|#Coronavirus),#Coronavirusourtbreak,4
(#Corona|#Coronavirus),#Niedersachsen,4
(#Corona|#Coronavirus),#Alsfelder,4
(#Corona|#Coronavirus),#Mainz05,3
(#Corona|#Coronavirus),#Germany,3
(#Corona|#Coronavirus),#NavidAfkari,3
(#Corona|#Coronavirus),#CoronavirusPandemic,3
(#Corona|#Coronavirus),#FreeIran,3
(#Corona|#Coronavirus),#Airlines,3
(#Corona|#Coronavirus),#Plannedemic,3
(#Corona|#Coronavirus),#Luftfahrt,3
(#Corona|#Coronavirus),#AllHandsOnDeck,3
(#Corona|#Coronavirus),#Japan,3
(#Corona|#Coronavirus),#Recipes,3
(#Corona|#Coronavirus),#Reisewarnung,3
(#Corona|#Coronavirus),#Grippe,3
(#Corona|#Coronavirus),#Journalismus,3
(#Corona|#Coronavirus),#Masken,3
(#Corona|#Coronavirus),#Mallorca,3
(#Corona|#Coronavirus),#Österreich,3
(#Corona|#Coronavirus),#unemployment,3
(#Corona|#Coronavirus),#Ampelmänner,3
(#Corona|#Coronavirus),#NorthKorea,3
(#Corona|#Coronavirus),#CoronaAmpel,3
(#Corona|#Coronavirus),#HongKong,3
(#Corona|#Coronavirus),#Leipzig,3
(#Corona|#Coronavirus),#Wuhan,3
(#Corona|#Coronavirus),#Fußball,3
(#Corona|#Coronavirus),#Employees,3
(#Corona|#Coronavirus),#Düsseldorf,3
(#Corona|#Coronavirus),#PMOI,3
(#Corona|#Coronavirus),#Wien,3
(#Corona|#Coronavirus),#m05,3
(#Corona|#Coronavirus),#SARSCoV2,3
(#Corona|#Coronavirus),#Bundesliga,3
(#Corona|#Coronavirus),#Ticket,3
(#Corona|#Coronavirus),#Schweinepest,2
(#Corona|#Coronavirus),#Kweettalk,2
(#Corona|#Coronavirus),#NRA,2
(#Corona|#Coronavirus),#Iranian,2
(#Corona|#Coronavirus),#Muenchen1209,2
(#Corona|#Coronavirus),#FridaysForFuture,2
(#Corona|#Coronavirus),#Rki,2
(#Corona|#Coronavirus),#lockdown,2
(#Corona|#Coronavirus),#MONITOR,2
(#Corona|#Coronavirus),#MiddleEast,2
(#Corona|#Coronavirus),#CoronavirusIndia,2
(#Corona|#Coronavirus),#LongCovid,2
(#Corona|#Coronavirus),#RkifalscheWochenstatistik,2
(#Corona|#Coronavirus),#Spahn,2
(#Corona|#Coronavirus),#SARS_CoV_2,2
(#Corona|#Coronavirus),#DeutscherEthikrat,2
(#Corona|#Coronavirus),#coronavirusdeutschland,2
(#Corona|#Coronavirus),#Leuba,2
(#Corona|#Coronavirus),#FPÖ,2
(#Corona|#Coronavirus),#DilipGhosh,2
(#Corona|#Coronavirus),#Stufenplan,2
(#Corona|#Coronavirus),#women,2
(#Corona|#Coronavirus),#Protests,2
(#Corona|#Coronavirus),#FDP,2
(#Corona|#Coronavirus),#Adidas,2
(#Corona|#Coronavirus),#Lesbos,2
(#Corona|#Coronavirus),#KlartextCorona,2
(#Corona|#Coronavirus),#CNBC,2
(#Corona|#Coronavirus),#HealthAndSafety,2
(#Corona|#Coronavirus),#Pubs,2
(#Corona|#Coronavirus),#medizin,2
(#Corona|#Coronavirus),#Demokratie,2
(#Corona|#Coronavirus),#mittelhessen,2
(#Corona|#Coronavirus),#Lehrer,2
(#Corona|#Coronavirus),#Shanghai,2
(#Corona|#Coronavirus),#Depression,2
(#Corona|#Coronavirus),#Health,2
(#Corona|#Coronavirus),#WestBengal,2
(#Corona|#Coronavirus),#Europa,2
(#Corona|#Coronavirus),#coronadeutschland,2
(#Corona|#Coronavirus),#PSG,2
(#Corona|#Coronavirus),#pandemic,2
(#Corona|#Coronavirus),#pandemie,2
(#Corona|#Coronavirus),#Digitalisierung,2
(#Corona|#Coronavirus),#Regierung,2
(#Corona|#Coronavirus),#CoronaUpdate,2
(#Corona|#Coronavirus),#Ireland,2
(#Corona|#Coronavirus),#Tuchel,2
(#Corona|#Coronavirus),#Chaos,2
