src,dst,count
(#COVID19|#Corona),$1305109917599031296,89
(#COVID19|#Corona),$1510787130,50
(#COVID19|#Corona),$36327407,26
(#COVID19|#Corona),$1292216657839104007,16
(#COVID19|#Corona),$86224590,12
(#COVID19|#Corona),$1065157955564253184,8
(#COVID19|#Corona),$1270520323784372226,8
(#COVID19|#Corona),$1310230814030995456,8
(#COVID19|#Corona),$24405517,8
(#COVID19|#Corona),$93071854,8
(#COVID19|#Corona),$952247125185720320,8
(#COVID19|#Corona),$3589010426,7
(#COVID19|#Corona),$37034483,7
(#COVID19|#Corona),$444496825,6
(#COVID19|#Corona),$2262514882,6
(#COVID19|#Corona),$1244450034013388801,6
(#COVID19|#Corona),$2900021650,6
(#COVID19|#Corona),$975779240376504321,6
(#COVID19|#Corona),$80483638,6
(#COVID19|#Corona),$1160866712041881600,6
(#COVID19|#Corona),$338611466,5
(#COVID19|#Corona),$55966505,5
(#COVID19|#Corona),$921442813379620864,5
(#COVID19|#Corona),$557349349,4
(#COVID19|#Corona),$1012538203516080128,4
(#COVID19|#Corona),$292898515,4
(#COVID19|#Corona),$56270562,4
(#COVID19|#Corona),$25048747,4
(#COVID19|#Corona),$1596198534,4
(#COVID19|#Corona),$521755123,4
(#COVID19|#Corona),$14070906,4
(#COVID19|#Corona),$1269975535570083840,4
(#COVID19|#Corona),$1132361494824407040,4
(#COVID19|#Corona),$1238606121977311233,4
(#COVID19|#Corona),$96718576,4
(#COVID19|#Corona),$815859726,4
(#COVID19|#Corona),$30339895,4
(#COVID19|#Corona),$1251952271535071233,4
(#COVID19|#Corona),$2294471842,4
(#COVID19|#Corona),$2183520866,4
(#COVID19|#Corona),$1145664781161918465,4
(#COVID19|#Corona),$27259607,4
(#COVID19|#Corona),$1295553501343305729,4
(#COVID19|#Corona),$1210548832116920325,4
(#COVID19|#Corona),$748465336408772608,4
(#COVID19|#Corona),$744263685355384833,4
(#COVID19|#Corona),$178951052,4
(#COVID19|#Corona),$1101354170,4
(#COVID19|#Corona),$1251252156784676869,4
(#COVID19|#Corona),$272187450,4
(#COVID19|#Corona),$1311032247013773322,4
(#COVID19|#Corona),$3336462262,4
(#COVID19|#Corona),$144633484,4
(#COVID19|#Corona),$283889089,4
(#COVID19|#Corona),$1010562738840481793,4
(#COVID19|#Corona),$313488283,4
(#COVID19|#Corona),$1112230882407055361,4
(#COVID19|#Corona),$455483958,4
(#COVID19|#Corona),$35152213,4
(#COVID19|#Corona),$15691609,4
(#COVID19|#Corona),$940113636105658368,4
(#COVID19|#Corona),$877721873714434048,4
(#COVID19|#Corona),$583505532,4
(#COVID19|#Corona),$87185555,4
(#COVID19|#Corona),$37376728,4
(#COVID19|#Corona),$1297830890366738432,4
(#COVID19|#Corona),$4757542516,3
(#COVID19|#Corona),$1114320126,3
(#COVID19|#Corona),$105708948,3
(#COVID19|#Corona),$39240673,3
(#COVID19|#Corona),$3006197410,3
(#COVID19|#Corona),$331202888,3
(#COVID19|#Corona),$4868114991,3
(#COVID19|#Corona),$812023361723240448,3
(#COVID19|#Corona),$461228493,3
(#COVID19|#Corona),$863000459576881152,3
(#COVID19|#Corona),$15951166,3
(#COVID19|#Corona),$344075523,3
(#COVID19|#Corona),$166326763,3
(#COVID19|#Corona),$2863762227,3
(#COVID19|#Corona),$30692806,3
(#COVID19|#Corona),$1299852587928375297,3
(#COVID19|#Corona),$497200393,3
(#COVID19|#Corona),$852662225370304514,3
(#COVID19|#Corona),$19791605,3
(#COVID19|#Corona),$8720562,3
(#COVID19|#Corona),$1090642487268524032,3
(#COVID19|#Corona),$317960022,3
(#COVID19|#Corona),$1113179907994025984,3
(#COVID19|#Corona),$18831926,3
(#COVID19|#Corona),$1221366000752324609,3
(#COVID19|#Corona),$789282513038536704,3
(#COVID19|#Corona),$820839718757826560,3
(#COVID19|#Corona),$779677452586975234,3
(#COVID19|#Corona),$41786801,3
(#COVID19|#Corona),$271023137,3
(#COVID19|#Corona),$1280439885212549121,3
(#COVID19|#Corona),$3236077821,2
(#COVID19|#Corona),$112196394,2
(#COVID19|#Corona),$66030419,2
(#COVID19|#Corona),$3017771969,2
(#COVID19|#Corona),$2174841431,2
(#COVID19|#Corona),$96308506,2
(#COVID19|#Corona),$1259555656345976832,2
(#COVID19|#Corona),$3345673947,2
(#COVID19|#Corona),$992810000,2
(#COVID19|#Corona),$1113253083960582145,2
(#COVID19|#Corona),$76770147,2
(#COVID19|#Corona),$824288350991302657,2
(#COVID19|#Corona),$75765900,2
(#COVID19|#Corona),$1235107494260768768,2
(#COVID19|#Corona),$3331786693,2
(#COVID19|#Corona),$22272206,2
(#COVID19|#Corona),$177984905,2
(#COVID19|#Corona),$1910979834,2
(#COVID19|#Corona),$618282400,2
(#COVID19|#Corona),$19026563,2
(#COVID19|#Corona),$2857248924,2
(#COVID19|#Corona),$4336298609,2
(#COVID19|#Corona),$778785766549827584,2
(#COVID19|#Corona),$438152067,2
(#COVID19|#Corona),$824430755862437890,2
(#COVID19|#Corona),$205572384,2
(#COVID19|#Corona),$825618092659060737,2
(#COVID19|#Corona),$191249730,2
(#COVID19|#Corona),$1058245379156729856,2
(#COVID19|#Corona),$756579313147908097,2
(#COVID19|#Corona),$1280176852502339584,2
(#COVID19|#Corona),$4645363699,2
(#COVID19|#Corona),$19148953,2
(#COVID19|#Corona),$1266416580180623360,2
(#COVID19|#Corona),$98419364,2
(#COVID19|#Corona),$2538978060,2
(#COVID19|#Corona),$979742755739103232,2
(#COVID19|#Corona),$1279242836584599553,2
(#COVID19|#Corona),$25821257,2
(#COVID19|#Corona),$466443204,2
(#COVID19|#Corona),$1133065865455210496,2
(#COVID19|#Corona),$22899479,2
(#COVID19|#Corona),$1243569441725693955,2
(#COVID19|#Corona),$43053129,2
(#COVID19|#Corona),$1096882999461785601,2
(#COVID19|#Corona),$310260730,2
(#COVID19|#Corona),$1130826680438857728,2
(#COVID19|#Corona),$540059552,2
(#COVID19|#Corona),$38954178,2
(#COVID19|#Corona),$41128432,2
(#COVID19|#Corona),$3096443078,2
(#COVID19|#Corona),$1312421281300709376,2
(#COVID19|#Corona),$1275564027704258561,2
(#COVID19|#Corona),$9113732,2
(#COVID19|#Corona),$3248944944,2
(#COVID19|#Corona),$2745994369,2
(#COVID19|#Corona),$68357292,2
(#COVID19|#Corona),$548632136,2
(#COVID19|#Corona),$190165215,2
(#COVID19|#Corona),$199736561,2
(#COVID19|#Corona),$20114738,2
(#COVID19|#Corona),$3195564108,2
(#COVID19|#Corona),$248033951,2
(#COVID19|#Corona),$1292705968636092418,2
(#COVID19|#Corona),$1148097345206308865,2
(#COVID19|#Corona),$1161123751825571840,2
(#COVID19|#Corona),$253995466,2
(#COVID19|#Corona),$492068755,2
(#COVID19|#Corona),$703488181455290368,2
(#COVID19|#Corona),$15847621,2
(#COVID19|#Corona),$517972410,2
(#COVID19|#Corona),$3125604274,2
(#COVID19|#Corona),$361542852,2
(#COVID19|#Corona),$741551000,2
(#COVID19|#Corona),$729399155127427072,2
(#COVID19|#Corona),$15721873,2
(#COVID19|#Corona),$1084863075365384194,2
(#COVID19|#Corona),$277441218,2
(#COVID19|#Corona),$3934344673,2
(#COVID19|#Corona),$2213894924,2
(#COVID19|#Corona),$859992452022882304,2
(#COVID19|#Corona),$585191650,2
(#COVID19|#Corona),$142177013,2
(#COVID19|#Corona),$3436969504,2
(#COVID19|#Corona),$807724478532820993,2
(#COVID19|#Corona),$1619335836,2
(#COVID19|#Corona),$15423488,2
(#COVID19|#Corona),$1003558398,2
(#COVID19|#Corona),$892704902,2
(#COVID19|#Corona),$755366510877638656,2
(#COVID19|#Corona),$1246080230923649024,2
(#COVID19|#Corona),$825566197714403328,2
(#COVID19|#Corona),$1056412858328657920,2
(#COVID19|#Corona),$1312847996896178177,2
(#COVID19|#Corona),$964310011684978688,2
(#COVID19|#Corona),$75632275,2
(#COVID19|#Corona),$2837575321,2
(#COVID19|#Corona),$145272574,2
(#COVID19|#Corona),$1255070526348963841,2
(#COVID19|#Corona),$105683229,2
(#COVID19|#Corona),$866893813221998593,2
(#COVID19|#Corona),$1299366641717764096,2
(#COVID19|#Corona),$990448731874045952,2
(#COVID19|#Corona),$4909509139,2
(#COVID19|#Corona),$70134931,2
(#COVID19|#Corona),$139376186,2
(#COVID19|#Corona),$1171852682744782850,2
(#COVID19|#Corona),$33850057,2
(#COVID19|#Corona),$1276713965507145728,2
(#COVID19|#Corona),$1075070021376692224,2
(#COVID19|#Corona),$1301208751332945920,2
(#COVID19|#Corona),$945631453823500289,2
(#COVID19|#Corona),$987762842,2
(#COVID19|#Corona),$1226887379950153728,2
(#COVID19|#Corona),$1312935741995974657,2
(#COVID19|#Corona),$345125534,2
(#COVID19|#Corona),$86554003,2
(#COVID19|#Corona),$22607317,2
(#COVID19|#Corona),$1252830427863113729,2
(#COVID19|#Corona),$185063413,2
(#COVID19|#Corona),$203249973,2
(#COVID19|#Corona),$941253036256694273,2
(#COVID19|#Corona),$1310989604443439105,2
(#COVID19|#Corona),$20751449,2
(#COVID19|#Corona),$81900035,2
(#COVID19|#Corona),$2828553993,2
(#COVID19|#Corona),$1246263711976873987,2
(#COVID19|#Corona),$963905830147035136,2
(#COVID19|#Corona),$88123446,2
(#COVID19|#Corona),$17718867,2
(#COVID19|#Corona),$15000251,2
(#COVID19|#Corona),$374559661,2
(#COVID19|#Corona),$913837824138457088,2
