src,dst,count
#CrimeCapitalRajasthan,$1230184531489153025,299
#CrimeCapitalRajasthan,$3090173702,118
#CrimeCapitalRajasthan,$1048965244616208384,75
#CrimeCapitalRajasthan,$2254449978,54
#CrimeCapitalRajasthan,$786064423341481984,41
#CrimeCapitalRajasthan,$1282139312214159360,39
#CrimeCapitalRajasthan,$1297842015573438464,30
#CrimeCapitalRajasthan,$866016495268225024,30
#CrimeCapitalRajasthan,$2308360118,30
#CrimeCapitalRajasthan,$1142364845511077890,28
#CrimeCapitalRajasthan,$835976341,26
#CrimeCapitalRajasthan,$996293103085543424,26
#CrimeCapitalRajasthan,$794471451571212292,25
#CrimeCapitalRajasthan,$1286527233876619264,25
#CrimeCapitalRajasthan,$1257719492362321923,25
#CrimeCapitalRajasthan,$869772083454255104,23
#CrimeCapitalRajasthan,$919035847046938624,22
#CrimeCapitalRajasthan,$1298146545364111360,22
#CrimeCapitalRajasthan,$1218832412399943680,20
#CrimeCapitalRajasthan,$1243666870202441729,19
#CrimeCapitalRajasthan,$1308304059707748352,18
#CrimeCapitalRajasthan,$832280218278699009,18
#CrimeCapitalRajasthan,$765151771698290689,18
#CrimeCapitalRajasthan,$1299024220597362693,18
#CrimeCapitalRajasthan,$2359549314,17
#CrimeCapitalRajasthan,$1292746028668526592,17
#CrimeCapitalRajasthan,$935511948916953093,17
#CrimeCapitalRajasthan,$1105109867067592704,17
#CrimeCapitalRajasthan,$1282560781213560832,17
#CrimeCapitalRajasthan,$1304044949894176769,16
#CrimeCapitalRajasthan,$790087712158130176,16
#CrimeCapitalRajasthan,$1110847992288821248,16
#CrimeCapitalRajasthan,$759190726051762177,16
#CrimeCapitalRajasthan,$1287283496969355265,16
#CrimeCapitalRajasthan,$1251456313873231872,15
#CrimeCapitalRajasthan,$1977742728,15
#CrimeCapitalRajasthan,$1250349831706443776,14
#CrimeCapitalRajasthan,$747247456488873984,14
#CrimeCapitalRajasthan,$905518859624431616,14
#CrimeCapitalRajasthan,$1293439916798484480,14
#CrimeCapitalRajasthan,$1016929845207535616,12
#CrimeCapitalRajasthan,$1233268608203022336,12
#CrimeCapitalRajasthan,$1101467000,12
#CrimeCapitalRajasthan,$1655189262,12
#CrimeCapitalRajasthan,$210757282,11
#CrimeCapitalRajasthan,$1215234281296891906,11
#CrimeCapitalRajasthan,$1023557065351028737,11
#CrimeCapitalRajasthan,$1303019652394614784,11
#CrimeCapitalRajasthan,$898907402547769344,11
#CrimeCapitalRajasthan,$1241816616427388929,10
#CrimeCapitalRajasthan,$498651653,10
#CrimeCapitalRajasthan,$1264588063570714624,10
#CrimeCapitalRajasthan,$127466962,10
#CrimeCapitalRajasthan,$1291362331549671425,10
#CrimeCapitalRajasthan,$1211973837098610689,10
#CrimeCapitalRajasthan,$1249191835634782209,10
#CrimeCapitalRajasthan,$1010441655919566848,9
#CrimeCapitalRajasthan,$289271595,9
#CrimeCapitalRajasthan,$1525187353,9
#CrimeCapitalRajasthan,$1243905496840470529,9
#CrimeCapitalRajasthan,$1254072406915727360,9
#CrimeCapitalRajasthan,$1163034442409005057,9
#CrimeCapitalRajasthan,$4184109333,9
#CrimeCapitalRajasthan,$3066400088,9
#CrimeCapitalRajasthan,$896647303708028932,9
