src,dst,count
#Message_To_KanganaRanaut,$1226509329643139073,17
#Message_To_KanganaRanaut,$1291054606512844800,14
#Message_To_KanganaRanaut,$1311156873610121216,9
#Message_To_KanganaRanaut,$1302150501870391297,8
#Message_To_KanganaRanaut,$1268005840717524992,7
#Message_To_KanganaRanaut,$1243704284811681793,6
#Message_To_KanganaRanaut,$1204754031085666305,6
#Message_To_KanganaRanaut,$1028615940110315523,6
#Message_To_KanganaRanaut,$1182536195982712833,5
#Message_To_KanganaRanaut,$1141035133077606400,5
#Message_To_KanganaRanaut,$1112736903231619072,5
#Message_To_KanganaRanaut,$989852431814193152,5
#Message_To_KanganaRanaut,$1283013935239593985,4
#Message_To_KanganaRanaut,$1274264479035822080,4
#Message_To_KanganaRanaut,$1197784821902131201,4
#Message_To_KanganaRanaut,$1135101833347600390,3
#Message_To_KanganaRanaut,$1309328786463301632,3
#Message_To_KanganaRanaut,$1185822014566592512,3
#Message_To_KanganaRanaut,$1235941785916059648,3
#Message_To_KanganaRanaut,$1294283798310342659,3
#Message_To_KanganaRanaut,$1080348771110727681,3
#Message_To_KanganaRanaut,$1261970179065548800,2
#Message_To_KanganaRanaut,$1296428057809620998,2
#Message_To_KanganaRanaut,$1297511937580781571,2
#Message_To_KanganaRanaut,$1247123028833521664,2
#Message_To_KanganaRanaut,$1225705474084917248,2
#Message_To_KanganaRanaut,$1296118000878145536,2
#Message_To_KanganaRanaut,$919486192818761728,2
#Message_To_KanganaRanaut,$1310072832571785216,2
#Message_To_KanganaRanaut,$1305882305249107969,2
#Message_To_KanganaRanaut,$1279772842683322373,2
#Message_To_KanganaRanaut,$1305815373397340160,2
#Message_To_KanganaRanaut,$1220978963842887680,2
#Message_To_KanganaRanaut,$1304961059317522432,2
#Message_To_KanganaRanaut,$938391366945476609,1
#Message_To_KanganaRanaut,$1205916327925432320,1
#Message_To_KanganaRanaut,$1101019085624827905,1
#Message_To_KanganaRanaut,$1266009569890893826,1
#Message_To_KanganaRanaut,$1161532339052261376,1
#Message_To_KanganaRanaut,$1274952598835978241,1
#Message_To_KanganaRanaut,$1229626414317686784,1
#Message_To_KanganaRanaut,$1180731336610287616,1
#Message_To_KanganaRanaut,$1203293914511421440,1
#Message_To_KanganaRanaut,$1029102526539476992,1
#Message_To_KanganaRanaut,$895236318774542336,1
#Message_To_KanganaRanaut,$1155371041897639938,1
#Message_To_KanganaRanaut,$1198289649313050624,1
#Message_To_KanganaRanaut,$1311334121554149378,1
#Message_To_KanganaRanaut,$1312671494439202816,1
#Message_To_KanganaRanaut,$1243169543855304704,1
#Message_To_KanganaRanaut,$1010967739911958528,1
#Message_To_KanganaRanaut,$1260165986864500736,1
#Message_To_KanganaRanaut,$1288304679739367424,1
#Message_To_KanganaRanaut,$1150781330130710528,1
#Message_To_KanganaRanaut,$1284787372719321090,1
#Message_To_KanganaRanaut,$1301082054315003905,1
#Message_To_KanganaRanaut,$1295636743455031296,1
#Message_To_KanganaRanaut,$1311958457063530496,1
#Message_To_KanganaRanaut,$1108691579932311552,1
#Message_To_KanganaRanaut,$1291236469164486656,1
#Message_To_KanganaRanaut,$129161124,1
#Message_To_KanganaRanaut,$1272157286887235587,1
#Message_To_KanganaRanaut,$821424010827210752,1
#Message_To_KanganaRanaut,$1190654823290540033,1
#Message_To_KanganaRanaut,$1247162609347878913,1
#Message_To_KanganaRanaut,$1190201583608315905,1
#Message_To_KanganaRanaut,$1303654887972978688,1
#Message_To_KanganaRanaut,$1286225585757237248,1
#Message_To_KanganaRanaut,$1280157711577911296,1
#Message_To_KanganaRanaut,$835160205709168643,1
#Message_To_KanganaRanaut,$933679476164083712,1
#Message_To_KanganaRanaut,$1302861724794535936,1
#Message_To_KanganaRanaut,$1144964168178532354,1
#Message_To_KanganaRanaut,$1282600324520218624,1
#Message_To_KanganaRanaut,$1120954788277936128,1
#Message_To_KanganaRanaut,$1113871148775645184,1
#Message_To_KanganaRanaut,$1093165455525634048,1
#Message_To_KanganaRanaut,$1261512018877657089,1
#Message_To_KanganaRanaut,$1209411800682287111,1
#Message_To_KanganaRanaut,$1152818632084226048,1
#Message_To_KanganaRanaut,$1294895451804561408,1
#Message_To_KanganaRanaut,$1298436435133915137,1
#Message_To_KanganaRanaut,$1297035150245519361,1
