src,dst,count
#सिर्फ_नेता_को_पैरोल_क्यों,$1301063487314169857,14
#सिर्फ_नेता_को_पैरोल_क्यों,$4727247134,14
#सिर्फ_नेता_को_पैरोल_क्यों,$1920213847,12
#सिर्फ_नेता_को_पैरोल_क्यों,$1228743118117146625,11
#सिर्फ_नेता_को_पैरोल_क्यों,$1290477061870505989,11
#सिर्फ_नेता_को_पैरोल_क्यों,$1244914693447114752,11
#सिर्फ_नेता_को_पैरोल_क्यों,$992691548210061313,10
#सिर्फ_नेता_को_पैरोल_क्यों,$716096097358209024,10
#सिर्फ_नेता_को_पैरोल_क्यों,$1221006420885131265,10
#सिर्फ_नेता_को_पैरोल_क्यों,$1256499600783028226,10
#सिर्फ_नेता_को_पैरोल_क्यों,$1281861781393047553,9
#सिर्फ_नेता_को_पैरोल_क्यों,$1308005275174019074,9
#सिर्फ_नेता_को_पैरोल_क्यों,$954942469614968833,9
#सिर्फ_नेता_को_पैरोल_क्यों,$1238295430418448385,9
#सिर्फ_नेता_को_पैरोल_क्यों,$1180058283123470336,8
#सिर्फ_नेता_को_पैरोल_क्यों,$1022060473427013637,8
#सिर्फ_नेता_को_पैरोल_क्यों,$3815441234,8
#सिर्फ_नेता_को_पैरोल_क्यों,$2598255721,8
#सिर्फ_नेता_को_पैरोल_क्यों,$1245917431580639242,8
#सिर्फ_नेता_को_पैरोल_क्यों,$1173822087724535808,7
#सिर्फ_नेता_को_पैरोल_क्यों,$952066110383259649,7
#सिर्फ_नेता_को_पैरोल_क्यों,$1292298234673561601,7
#सिर्फ_नेता_को_पैरोल_क्यों,$1216662232546725889,7
#सिर्फ_नेता_को_पैरोल_क्यों,$2253731654,6
#सिर्फ_नेता_को_पैरोल_क्यों,$1261226177047474177,6
#सिर्फ_नेता_को_पैरोल_क्यों,$1165135579777880064,6
#सिर्फ_नेता_को_पैरोल_क्यों,$1270652483640025089,5
#सिर्फ_नेता_को_पैरोल_क्यों,$2375454108,5
#सिर्फ_नेता_को_पैरोल_क्यों,$793033891502182401,5
#सिर्फ_नेता_को_पैरोल_क्यों,$2266034268,5
#सिर्फ_नेता_को_पैरोल_क्यों,$2373255952,5
#सिर्फ_नेता_को_पैरोल_क्यों,$4111354406,5
#सिर्फ_नेता_को_पैरोल_क्यों,$888003732688056321,4
#सिर्फ_नेता_को_पैरोल_क्यों,$1658915274,4
#सिर्फ_नेता_को_पैरोल_क्यों,$1173150640408690688,4
#सिर्फ_नेता_को_पैरोल_क्यों,$856174416027426817,4
#सिर्फ_नेता_को_पैरोल_क्यों,$1274397348400115715,4
#सिर्फ_नेता_को_पैरोल_क्यों,$1832471268,4
#सिर्फ_नेता_को_पैरोल_क्यों,$1203540714333843457,4
#सिर्फ_नेता_को_पैरोल_क्यों,$1175564053361676289,4
#सिर्फ_नेता_को_पैरोल_क्यों,$1305121120853475329,4
#सिर्फ_नेता_को_पैरोल_क्यों,$945876782091206658,4
#सिर्फ_नेता_को_पैरोल_क्यों,$1536653082,3
#सिर्फ_नेता_को_पैरोल_क्यों,$985385440508370944,3
#सिर्फ_नेता_को_पैरोल_क्यों,$1220684979836862466,3
#सिर्फ_नेता_को_पैरोल_क्यों,$1176790947872440321,3
#सिर्फ_नेता_को_पैरोल_क्यों,$784234428658835456,3
#सिर्फ_नेता_को_पैरोल_क्यों,$1175431836173946880,3
#सिर्फ_नेता_को_पैरोल_क्यों,$1174633681807269889,3
#सिर्फ_नेता_को_पैरोल_क्यों,$1252296693233659906,3
#सिर्फ_नेता_को_पैरोल_क्यों,$1264400888958824449,3
#सिर्फ_नेता_को_पैरोल_क्यों,$1128575958771015680,3
#सिर्फ_नेता_को_पैरोल_क्यों,$1015233198215737344,2
#सिर्फ_नेता_को_पैरोल_क्यों,$1244531819824836609,2
#सिर्फ_नेता_को_पैरोल_क्यों,$1283698326206988289,2
#सिर्फ_नेता_को_पैरोल_क्यों,$461920144,2
#सिर्फ_नेता_को_पैरोल_क्यों,$1249138323181973506,2
#सिर्फ_नेता_को_पैरोल_क्यों,$1055643827942318080,2
#सिर्फ_नेता_को_पैरोल_क्यों,$888455122631700484,2
#सिर्फ_नेता_को_पैरोल_क्यों,$1259800144272334849,2
#सिर्फ_नेता_को_पैरोल_क्यों,$1273915256184733701,2
#सिर्फ_नेता_को_पैरोल_क्यों,$317602220,2
#सिर्फ_नेता_को_पैरोल_क्यों,$1160232687355027460,2
#सिर्फ_नेता_को_पैरोल_क्यों,$1175654687149821953,2
#सिर्फ_नेता_को_पैरोल_क्यों,$1265585738906828800,2
#सिर्फ_नेता_को_पैरोल_क्यों,$1285089113318670336,2
#सिर्फ_नेता_को_पैरोल_क्यों,$2493870691,2
#सिर्फ_नेता_को_पैरोल_क्यों,$2150532163,2
#सिर्फ_नेता_को_पैरोल_क्यों,$1127229851746881537,2
#सिर्फ_नेता_को_पैरोल_क्यों,$1095344133059670017,2
#सिर्फ_नेता_को_पैरोल_क्यों,$1173156718290751489,2
#सिर्फ_नेता_को_पैरोल_क्यों,$2299432627,2
#सिर्फ_नेता_को_पैरोल_क्यों,$997695108257431553,1
#सिर्फ_नेता_को_पैरोल_क्यों,$1230009639133229056,1
#सिर्फ_नेता_को_पैरोल_क्यों,$833406479126450177,1
#सिर्फ_नेता_को_पैरोल_क्यों,$1173285017163722752,1
#सिर्फ_नेता_को_पैरोल_क्यों,$1148867498621587462,1
#सिर्फ_नेता_को_पैरोल_क्यों,$1309131455499513856,1
#सिर्फ_नेता_को_पैरोल_क्यों,$877466935809757184,1
#सिर्फ_नेता_को_पैरोल_क्यों,$1265646360801533953,1
#सिर्फ_नेता_को_पैरोल_क्यों,$1262097257471660032,1
#सिर्फ_नेता_को_पैरोल_क्यों,$1284898885798772737,1
#सिर्फ_नेता_को_पैरोल_क्यों,$1292295477845622785,1
#सिर्फ_नेता_को_पैरोल_क्यों,$1258956007994093573,1
#सिर्फ_नेता_को_पैरोल_क्यों,$719943363529613312,1
#सिर्फ_नेता_को_पैरोल_क्यों,$1122535081615060993,1
#सिर्फ_नेता_को_पैरोल_क्यों,$737216696939773952,1
#सिर्फ_नेता_को_पैरोल_क्यों,$1175416427001466885,1
#सिर्फ_नेता_को_पैरोल_क्यों,$2278576249,1
#सिर्फ_नेता_को_पैरोल_क्यों,$1101432580392443907,1
#सिर्फ_नेता_को_पैरोल_क्यों,$889184109687439360,1
#सिर्फ_नेता_को_पैरोल_क्यों,$850980725407068160,1
#सिर्फ_नेता_को_पैरोल_क्यों,$1277442172879384576,1
#सिर्फ_नेता_को_पैरोल_क्यों,$782595490307244032,1
#सिर्फ_नेता_को_पैरोल_क्यों,$1226175224556683265,1
#सिर्फ_नेता_को_पैरोल_क्यों,$1155334237299494912,1
#सिर्फ_नेता_को_पैरोल_क्यों,$1258319159806525441,1
#सिर्फ_नेता_को_पैरोल_क्यों,$1302189442149437440,1
#सिर्फ_नेता_को_पैरोल_क्यों,$1142994507773829121,1
#सिर्फ_नेता_को_पैरोल_क्यों,$1233754227715067904,1
#सिर्फ_नेता_को_पैरोल_क्यों,$1299936693684858882,1
#सिर्फ_नेता_को_पैरोल_क्यों,$1144919519002943488,1
#सिर्फ_नेता_को_पैरोल_क्यों,$1420364022,1
