src,dst,count
#AllEyesOnCBI,@iRaviTiwari,53
#AllEyesOnCBI,@ArijitOfficiall,21
#AllEyesOnCBI,@justice_sushi,16
#AllEyesOnCBI,@republic,16
#AllEyesOnCBI,@OfficialArnab3,15
#AllEyesOnCBI,@PMOIndia,12
#AllEyesOnCBI,@shekharsuman7,11
#AllEyesOnCBI,@narendramodi,11
#AllEyesOnCBI,@Bansari1921,11
#AllEyesOnCBI,@shwetasinghkirt,10
#AllEyesOnCBI,@ishkarnBHANDARI,10
#AllEyesOnCBI,@vikashranjan,10
#AllEyesOnCBI,@HerdHUSH,9
#AllEyesOnCBI,@piyaliBh,8
#AllEyesOnCBI,@pradip103,7
#AllEyesOnCBI,@iujjawaltrivedi,6
#AllEyesOnCBI,@Durganarayan08,6
#AllEyesOnCBI,@HMOIndia,6
#AllEyesOnCBI,@Swamy39,6
#AllEyesOnCBI,@nilotpalm3,6
#AllEyesOnCBI,@ArrnabTeam,5
#AllEyesOnCBI,@AmitShah,5
#AllEyesOnCBI,@smitaparikh2,5
#AllEyesOnCBI,@Ashutoshptiwari,5
#AllEyesOnCBI,@RadhaMurthy3,4
#AllEyesOnCBI,@aiims_newdelhi,4
#AllEyesOnCBI,@Republic_Bharat,4
#AllEyesOnCBI,@Kuldeep96711089,3
#AllEyesOnCBI,@PhotonSupport,3
#AllEyesOnCBI,@aiims_nd,3
#AllEyesOnCBI,@NeogiNishan,3
#AllEyesOnCBI,@Mystryunsolved,3
#AllEyesOnCBI,@itsSSR,3
#AllEyesOnCBI,@Vashishthkesha1,3
#AllEyesOnCBI,@arnab_5222,3
#AllEyesOnCBI,@KanganaTeam,3
#AllEyesOnCBI,@aajtak,3
#AllEyesOnCBI,@vikirti,2
#AllEyesOnCBI,@paviSushi,2
#AllEyesOnCBI,@BenuSangma,2
#AllEyesOnCBI,@sushantiyaan,2
#AllEyesOnCBI,@MeenaDasNarayan,2
#AllEyesOnCBI,@SeemaYa82928440,2
#AllEyesOnCBI,@minisingh1990,2
#AllEyesOnCBI,@vivekanandg,2
#AllEyesOnCBI,@reet_bahary4444,2
#AllEyesOnCBI,@Chancha40936002,2
#AllEyesOnCBI,@ArpitaM62108956,2
#AllEyesOnCBI,@NitishKumar,2
#AllEyesOnCBI,@akshaykumar,2
#AllEyesOnCBI,@sreekanth23neel,2
#AllEyesOnCBI,@SeemaAnjali,2
#AllEyesOnCBI,@EmpoweringLotu1,1
#AllEyesOnCBI,@anuragsinha1992,1
#AllEyesOnCBI,@rxpg_aiims,1
#AllEyesOnCBI,@anujakapurindia,1
#AllEyesOnCBI,@fifafooz1,1
#AllEyesOnCBI,@Anurag73193189,1
#AllEyesOnCBI,@mamta_kale,1
#AllEyesOnCBI,@hkaur0353,1
#AllEyesOnCBI,@Curious_soul_03,1
#AllEyesOnCBI,@vikassinghSrAdv,1
#AllEyesOnCBI,@Ssrianarmy,1
#AllEyesOnCBI,@8182P,1
#AllEyesOnCBI,@Saurabh24715881,1
#AllEyesOnCBI,@aditi_aditi24,1
#AllEyesOnCBI,@neerajk241284,1
#AllEyesOnCBI,@DelhiPolice,1
#AllEyesOnCBI,@_PreetiPandey,1
#AllEyesOnCBI,@Mansi91829213,1
#AllEyesOnCBI,@mrsfunnybones,1
#AllEyesOnCBI,@ArnabRepublicc,1
#AllEyesOnCBI,@BJP4India,1
#AllEyesOnCBI,@IshaKaurssr2,1
#AllEyesOnCBI,@KirranKaur,1
#AllEyesOnCBI,@anything4truth,1
#AllEyesOnCBI,@comradeShalu27,1
#AllEyesOnCBI,@ChalSonali,1
#AllEyesOnCBI,@LetTruthSeeThe1,1
#AllEyesOnCBI,@Sonal67933648,1
#AllEyesOnCBI,@_Its_Sakshi,1
#AllEyesOnCBI,@geetikamotwani,1
#AllEyesOnCBI,@aishkapoor,1
#AllEyesOnCBI,@RichamitTandon,1
#AllEyesOnCBI,@iamsrk,1
#AllEyesOnCBI,@TanyaSh01247996,1
#AllEyesOnCBI,@Aiims,1
#AllEyesOnCBI,@bjpmumbai,1
#AllEyesOnCBI,@_ABHIJOY_,1
#AllEyesOnCBI,@arnabofficiall7,1
#AllEyesOnCBI,@durkaal,1
#AllEyesOnCBI,@navikakumar,1
#AllEyesOnCBI,@rawnksood,1
#AllEyesOnCBI,@Real_Goswami5,1
#AllEyesOnCBI,@Krisha555,1
#AllEyesOnCBI,@hereforsush,1
#AllEyesOnCBI,@Sanjiv65682279,1
#AllEyesOnCBI,@indusatija,1
#AllEyesOnCBI,@its_roch,1
#AllEyesOnCBI,@Aswin17899422,1
#AllEyesOnCBI,@Ashmi14005127,1
#AllEyesOnCBI,@Shwetasinghkiri,1
#AllEyesOnCBI,@Nidhi_Republic,1
#AllEyesOnCBI,@Only_sush2131,1
#AllEyesOnCBI,@amrita_0611,1
#AllEyesOnCBI,@1178Shweta,1
#AllEyesOnCBI,@ItsForSSROnly,1
#AllEyesOnCBI,@PreetiJobanput3,1
#AllEyesOnCBI,@PritiTi23354607,1
#AllEyesOnCBI,@Akanksh78538544,1
#AllEyesOnCBI,@ABPNews,1
#AllEyesOnCBI,@AHindinews,1
#AllEyesOnCBI,@ItsMansi2,1
#AllEyesOnCBI,@ZeeNews,1
#AllEyesOnCBI,@CatK786,1
#AllEyesOnCBI,@ashutoshjourno,1
#AllEyesOnCBI,@girirajsinghbjp,1
#AllEyesOnCBI,@Benzir26,1
#AllEyesOnCBI,@ayushi25320502,1
#AllEyesOnCBI,@monerief,1
#AllEyesOnCBI,@spondita2,1
#AllEyesOnCBI,@Justice44612032,1
#AllEyesOnCBI,@Pooooja95,1
#AllEyesOnCBI,@Lifeisg19700928,1
#AllEyesOnCBI,@MadhumitaroyC,1
#AllEyesOnCBI,@natasha60410006,1
#AllEyesOnCBI,@warriors4sushi,1
#AllEyesOnCBI,@sushantf3,1
#AllEyesOnCBI,@RajniGa08649034,1
