src,dst,count
@myogiadityanath,$1310989604443439105,63
@myogiadityanath,$1256953436760870913,58
@myogiadityanath,$1312699551673774081,44
@myogiadityanath,$1273088551442239491,43
@myogiadityanath,$1312989935574544385,38
@myogiadityanath,$1257205946880753665,37
@myogiadityanath,$1257167441102323713,37
@myogiadityanath,$1312989928905555973,37
@myogiadityanath,$1307673759365521409,36
@myogiadityanath,$1312984422489165827,35
@myogiadityanath,$1312990757259677696,34
@myogiadityanath,$1312644708418482177,34
@myogiadityanath,$1257982525827416064,32
@myogiadityanath,$1175093167823052801,31
@myogiadityanath,$1310180489970331648,30
@myogiadityanath,$1285148948403912705,30
@myogiadityanath,$1312735584889139205,30
@myogiadityanath,$1308631881890566147,28
@myogiadityanath,$1312983628293390336,27
@myogiadityanath,$1256940498050117633,27
@myogiadityanath,$1289854575130763264,26
@myogiadityanath,$847524300995407872,25
@myogiadityanath,$1214265892785180672,25
@myogiadityanath,$1256962100909334528,25
@myogiadityanath,$1312646100545757185,25
@myogiadityanath,$2826330576,24
@myogiadityanath,$1302125965133242368,24
@myogiadityanath,$4742330593,24
@myogiadityanath,$1290590972238127106,24
@myogiadityanath,$1312982658733887488,24
@myogiadityanath,$1284382161475301376,24
@myogiadityanath,$1217502248,24
@myogiadityanath,$1312988460039368704,24
@myogiadityanath,$1300842736765952000,24
@myogiadityanath,$1306109090003783680,24
@myogiadityanath,$1312990884359618561,23
@myogiadityanath,$972117131218378755,23
@myogiadityanath,$1312987999701929985,23
@myogiadityanath,$1312990797160050688,22
@myogiadityanath,$1255780287495184384,22
@myogiadityanath,$2796209840,21
@myogiadityanath,$1257413805480394752,21
@myogiadityanath,$1312991378238926848,20
@myogiadityanath,$1097732608514031617,20
@myogiadityanath,$1291971484852686848,19
@myogiadityanath,$1312640524025655296,19
@myogiadityanath,$1312990766055079936,19
@myogiadityanath,$1312988735147921409,18
@myogiadityanath,$1312980761255976960,18
@myogiadityanath,$1162394488133652480,18
@myogiadityanath,$1255515102855520262,17
@myogiadityanath,$1301045369824894976,17
@myogiadityanath,$3052329908,16
@myogiadityanath,$1312664624928489472,16
@myogiadityanath,$1256952927815471104,16
@myogiadityanath,$1312990332208869376,16
@myogiadityanath,$1312990656252403713,16
@myogiadityanath,$1179420014585073664,15
@myogiadityanath,$1257197404597690368,15
@myogiadityanath,$1312992867363819520,15
@myogiadityanath,$1253608554969300995,15
@myogiadityanath,$1273611797526790144,14
@myogiadityanath,$1312990095096471552,14
@myogiadityanath,$1312990470578991104,14
@myogiadityanath,$1312293567042183168,14
@myogiadityanath,$1312656560582057984,14
@myogiadityanath,$1301918541231218689,14
@myogiadityanath,$1280326571883024384,14
@myogiadityanath,$1311304098487005184,13
@myogiadityanath,$1262047183844503552,13
@myogiadityanath,$2670249171,13
@myogiadityanath,$1258200922804674562,12
@myogiadityanath,$1248245342107099139,12
@myogiadityanath,$1304756264279261184,12
@myogiadityanath,$1306208718644748289,12
@myogiadityanath,$1305096308475047936,12
@myogiadityanath,$1265315149486755841,12
@myogiadityanath,$1600253396,12
@myogiadityanath,$844205962483433472,12
@myogiadityanath,$1312651642387402753,11
@myogiadityanath,$1307159191904120834,11
@myogiadityanath,$1301034437522587650,11
@myogiadityanath,$1168132706187612160,11
@myogiadityanath,$1277139119941050368,11
@myogiadityanath,$1260214432434663427,11
@myogiadityanath,$1302206129338941440,10
@myogiadityanath,$1300281322833719296,10
@myogiadityanath,$1256965017502539777,10
@myogiadityanath,$1311741202753036288,10
@myogiadityanath,$1312634990576889857,10
@myogiadityanath,$1272195427828297728,10
@myogiadityanath,$1312698124339605504,10
@myogiadityanath,$1303969987351117827,9
@myogiadityanath,$1306455337495453699,9
@myogiadityanath,$996017781165342720,9
@myogiadityanath,$1139748474943991809,9
@myogiadityanath,$3151496790,9
@myogiadityanath,$1306600501639741442,9
@myogiadityanath,$1300675886350360576,9
@myogiadityanath,$1442854394,8
@myogiadityanath,$2872971414,8
@myogiadityanath,$1273288142250848256,8
@myogiadityanath,$1241714354187198471,8
@myogiadityanath,$928951036944859137,8
@myogiadityanath,$893847756514754560,8
@myogiadityanath,$875229035722412033,8
@myogiadityanath,$1301708553560797184,8
@myogiadityanath,$1312990761542053888,7
@myogiadityanath,$1254924767808884742,7
@myogiadityanath,$1262747622025990146,7
@myogiadityanath,$1300329178496036864,7
@myogiadityanath,$1300535431738449920,7
@myogiadityanath,$1312991158126153728,7
@myogiadityanath,$804023202804596736,7
@myogiadityanath,$1300633049034452992,7
@myogiadityanath,$1266800305355677696,7
@myogiadityanath,$1188375844571369472,7
@myogiadityanath,$543021918,7
@myogiadityanath,$1309000627138244608,7
@myogiadityanath,$1342910748,7
@myogiadityanath,$1143378683043782656,7
@myogiadityanath,$1312108278772457474,6
@myogiadityanath,$1306566415776968705,6
@myogiadityanath,$1030509234054672384,6
@myogiadityanath,$1290888938626748418,6
@myogiadityanath,$815146824742895616,6
@myogiadityanath,$1302468040253038592,6
@myogiadityanath,$2322681625,6
@myogiadityanath,$1312996036630077442,6
@myogiadityanath,$1312992802817544192,6
@myogiadityanath,$1313000829721272326,6
@myogiadityanath,$1186326331480395776,6
@myogiadityanath,$1241251420663189504,6
@myogiadityanath,$1063448349817430017,6
@myogiadityanath,$1192091819099619335,6
@myogiadityanath,$4114219220,5
@myogiadityanath,$1312991381401464832,5
@myogiadityanath,$1253928624337686529,5
@myogiadityanath,$885936122848657408,5
@myogiadityanath,$1300750141368885249,5
@myogiadityanath,$473764879,5
@myogiadityanath,$1309388578863144960,5
@myogiadityanath,$923505549504757760,5
@myogiadityanath,$1312736484479229953,5
@myogiadityanath,$1261702490103468033,5
@myogiadityanath,$1266942023573045248,5
@myogiadityanath,$1261960624285691905,5
@myogiadityanath,$1309490334393491461,5
@myogiadityanath,$1259086609070338048,5
