src,dst,count
#COVID19,$2416298719,63
#COVID19,$113190456,41
#COVID19,$1287369904547495938,16
#COVID19,$1292216657839104007,13
#COVID19,$3227865816,10
#COVID19,$590329050,8
#COVID19,$385436030,7
#COVID19,$958330185497174017,7
#COVID19,$1290196204836593664,6
#COVID19,$1231717147556007937,5
#COVID19,$2173312541,5
#COVID19,$1049929977507012608,5
#COVID19,$2772304164,5
#COVID19,$952247125185720320,4
#COVID19,$35884419,4
#COVID19,$344075523,4
#COVID19,$1640251716,3
#COVID19,$294666102,3
#COVID19,$24582022,3
#COVID19,$2301962462,3
#COVID19,$1296835657994842113,3
#COVID19,$95169706,3
#COVID19,$955943717592031234,2
#COVID19,$365073587,2
#COVID19,$115105973,2
#COVID19,$11920992,2
#COVID19,$1083495635561541632,2
#COVID19,$1270691866795814915,2
#COVID19,$1133706689809719298,2
#COVID19,$954835223300182017,2
#COVID19,$1199768132832776193,2
#COVID19,$1276429692313239552,2
#COVID19,$1277334761812312065,2
#COVID19,$77112593,2
#COVID19,$723319704710844417,2
#COVID19,$4000515677,2
#COVID19,$710140632216375296,2
#COVID19,$3025747894,2
#COVID19,$65890224,2
#COVID19,$1267226813262168064,2
#COVID19,$16629889,2
#COVID19,$785979781762473984,2
#COVID19,$2771981716,2
#COVID19,$1963497451,2
#COVID19,$2155473887,2
#COVID19,$55647661,2
#COVID19,$1233205682255618052,2
#COVID19,$2722503240,2
#COVID19,$1132728925325549568,2
#COVID19,$1241397503972515841,2
#COVID19,$1311395712391880705,2
#COVID19,$597726719,2
#COVID19,$1161737207964504065,2
#COVID19,$74440023,2
#COVID19,$831695714056953856,2
#COVID19,$896622942469070848,2
#COVID19,$50255835,2
#COVID19,$43292555,2
#COVID19,$1279361309239320576,2
#COVID19,$1293230422072205316,2
#COVID19,$2827135812,2
#COVID19,$1132449756888756224,2
#COVID19,$1144301178756325381,2
#COVID19,$454278875,2
#COVID19,$1191745846615957506,2
#COVID19,$1298469997719613440,2
#COVID19,$809039248234086400,2
#COVID19,$1299236637352759298,2
#COVID19,$362668547,2
#COVID19,$1309405016185335808,2
#COVID19,$2548709839,2
#COVID19,$138412876,2
#COVID19,$747935371447705604,2
#COVID19,$134821440,2
#COVID19,$100498004,2
#COVID19,$2272106744,2
#COVID19,$1283258456615424000,2
#COVID19,$91539497,2
#COVID19,$178092530,2
#COVID19,$425752874,2
#COVID19,$158123632,2
#COVID19,$20476560,2
#COVID19,$1113773194048102402,2
#COVID19,$2556967117,2
#COVID19,$1243888276123025423,2
#COVID19,$441063551,2
#COVID19,$374559661,2
#COVID19,$314486275,2
#COVID19,$3166253661,2
#COVID19,$136275797,2
#COVID19,$1070424457926320137,2
#COVID19,$2785578891,2
#COVID19,$1265836924612366337,2
#COVID19,$1300763166624886784,2
#COVID19,$1298501091990986752,2
#COVID19,$1093805677045268480,2
#COVID19,$1221856187660099588,2
#COVID19,$18213546,2
#COVID19,$2300278368,2
#COVID19,$1251252156784676869,2
#COVID19,$831944787762745345,2
#COVID19,$1276155513722585089,2
#COVID19,$1197539488953700354,2
#COVID19,$982218023187529732,2
#COVID19,$461080959,2
#COVID19,$1279294895375683584,1
#COVID19,$168274445,1
#COVID19,$1156693091392339969,1
#COVID19,$1551389450,1
#COVID19,$1155928721565593607,1
#COVID19,$156059588,1
#COVID19,$15691609,1
#COVID19,$1234153321490984961,1
#COVID19,$1264809535556014080,1
#COVID19,$161934286,1
#COVID19,$16857735,1
#COVID19,$1235478242141843456,1
#COVID19,$1511768160,1
#COVID19,$1690900014,1
#COVID19,$1696969196,1
#COVID19,$17102149,1
#COVID19,$1152302289434087425,1
#COVID19,$1262536042701348864,1
#COVID19,$182940065,1
#COVID19,$1261398664662016000,1
#COVID19,$1261127722455101443,1
#COVID19,$1850094788,1
#COVID19,$1260989704494874627,1
#COVID19,$1533143322,1
#COVID19,$1449873938,1
#COVID19,$1164801242,1
#COVID19,$1275687033684602881,1
#COVID19,$1178002812455849984,1
#COVID19,$1288985089234186240,1
#COVID19,$1297781396438544384,1
#COVID19,$1298971762131169280,1
#COVID19,$1299426600136605698,1
#COVID19,$1300423975156281346,1
#COVID19,$1300849367159635970,1
#COVID19,$1305727449481781248,1
#COVID19,$1305884823198855171,1
#COVID19,$1306762827005267969,1
#COVID19,$1196924263854424068,1
#COVID19,$1282025808727617536,1
#COVID19,$1309732166125998080,1
#COVID19,$1197246843660513280,1
#COVID19,$202367059,1
#COVID19,$1177057922494472193,1
#COVID19,$127233909,1
#COVID19,$1173598511994232832,1
#COVID19,$135579559,1
#COVID19,$1268033810848821249,1
#COVID19,$1403843682,1
#COVID19,$1428245454,1
#COVID19,$1917802818,1
#COVID19,$1096874055075069953,1
#COVID19,$20767668,1
#COVID19,$3196498726,1
#COVID19,$1040281717079240704,1
#COVID19,$2955024303,1
#COVID19,$295794019,1
#COVID19,$1021960138935025664,1
#COVID19,$2982605951,1
#COVID19,$995715920,1
#COVID19,$299693005,1
#COVID19,$30101940,1
#COVID19,$3042104196,1
#COVID19,$3098392331,1
#COVID19,$315688624,1
#COVID19,$3219571121,1
#COVID19,$1054111474971435008,1
#COVID19,$3310138153,1
#COVID19,$3325526691,1
#COVID19,$337938629,1
#COVID19,$3385640472,1
#COVID19,$34557093,1
#COVID19,$348719077,1
#COVID19,$348849442,1
#COVID19,$36051159,1
#COVID19,$36506042,1
#COVID19,$40662840,1
#COVID19,$41501466,1
#COVID19,$969282073193193472,1
#COVID19,$2814342812,1
#COVID19,$273630435,1
#COVID19,$1109123087323275264,1
#COVID19,$2270755201,1
#COVID19,$21139690,1
#COVID19,$1100056719860862976,1
#COVID19,$1251040852308344832,1
#COVID19,$1087917448530141184,1
#COVID19,$213486823,1
#COVID19,$2177845428,1
#COVID19,$1083736460157730821,1
#COVID19,$2210815537,1
#COVID19,$10816762,1
#COVID19,$2223454608,1
#COVID19,$22658412,1
#COVID19,$1079117266753445888,1
#COVID19,$2274808110,1
#COVID19,$26831122,1
#COVID19,$2277972108,1
#COVID19,$229151058,1
#COVID19,$2321794831,1
#COVID19,$1057348974816968704,1
#COVID19,$2328599465,1
#COVID19,$235794324,1
#COVID19,$238653938,1
#COVID19,$24486961,1
#COVID19,$249046040,1
#COVID19,$251281143,1
#COVID19,$26501761,1
#COVID19,$26667294,1
#COVID19,$1254169861904891906,1
#COVID19,$1246605566220234753,1
#COVID19,$1250134059566747649,1
#COVID19,$38028164,1
#COVID19,$3187712887,1
#COVID19,$1304245692429467649,1
#COVID19,$323257670,1
#COVID19,$3271383300,1
#COVID19,$32867753,1
#COVID19,$1301738528292900864,1
#COVID19,$33915000,1
#COVID19,$344996517,1
#COVID19,$3528564315,1
#COVID19,$1301637562260316160,1
#COVID19,$357544412,1
#COVID19,$1301348608445493254,1
#COVID19,$4003889472,1
#COVID19,$1310280188324991024,1
#COVID19,$4074792076,1
#COVID19,$1298175485877219328,1
#COVID19,$1294117895069487104,1
#COVID19,$1291042173761105920,1
#COVID19,$4086538637,1
#COVID19,$41037795,1
#COVID19,$1285112092358574086,1
#COVID19,$41578622,1
#COVID19,$431791092,1
#COVID19,$1280397347718037507,1
#COVID19,$43596900,1
#COVID19,$4498208480,1
#COVID19,$1304605033674076160,1
#COVID19,$3161698014,1
#COVID19,$46956207,1
#COVID19,$16387036,1
#COVID19,$1915133366,1
#COVID19,$195387585,1
#COVID19,$196685642,1
#COVID19,$179165982,1
#COVID19,$21034383,1
#COVID19,$17053944,1
#COVID19,$2151000045,1
#COVID19,$2154087914,1
#COVID19,$2168448123,1
#COVID19,$22240612,1
#COVID19,$23153001,1
#COVID19,$2397147618,1
#COVID19,$2493199104,1
#COVID19,$2917825279,1
#COVID19,$160074186,1
#COVID19,$25237503,1
#COVID19,$14998358,1
#COVID19,$2573260759,1
#COVID19,$2656064756,1
#COVID19,$27871503,1
#COVID19,$28045896,1
#COVID19,$2906186119,1
#COVID19,$2914119197,1
#COVID19,$1468586863,1
#COVID19,$1431773600,1
#COVID19,$135514558,1
#COVID19,$13441312,1
#COVID19,$469529037,1
#COVID19,$533445309,1
#COVID19,$1250861734405046272,1
#COVID19,$1201939164373106688,1
#COVID19,$110544017,1
#COVID19,$112956277,1
#COVID19,$1146309001958875137,1
#COVID19,$1152315656026677250,1
#COVID19,$1266393444215328769,1
#COVID19,$1154212453959577600,1
#COVID19,$116281788,1
#COVID19,$1179943859897405440,1
#COVID19,$1265703941917913088,1
#COVID19,$1179979201430118400,1
#COVID19,$1260364246283673600,1
#COVID19,$1198788643,1
#COVID19,$1255996983954878464,1
#COVID19,$1086013072785829888,1
#COVID19,$1202641464628535296,1
#COVID19,$1203388446632484865,1
#COVID19,$1237411222720589824,1
#COVID19,$1240820369025576966,1
#COVID19,$1241521141035876353,1
#COVID19,$1253689903340109825,1
#COVID19,$1242220312676241409,1
#COVID19,$1243570972118192129,1
#COVID19,$1243720319459876864,1
#COVID19,$18944013,1
#COVID19,$125016547,1
#COVID19,$1248856558634561542,1
#COVID19,$1249026431104856064,1
#COVID19,$109260511,1
#COVID19,$1064920959805792257,1
#COVID19,$714903142845046784,1
#COVID19,$1274777475822899202,1
#COVID19,$715283921555030016,1
#COVID19,$749236636454641664,1
#COVID19,$775781735409840128,1
#COVID19,$77811754,1
#COVID19,$805594676,1
#COVID19,$807483253049491457,1
#COVID19,$849988818140880897,1
#COVID19,$1279260184486051840,1
#COVID19,$87739159,1
#COVID19,$889617321534291968,1
#COVID19,$911926266063966208,1
#COVID19,$930183828651499520,1
#COVID19,$937899468585828352,1
#COVID19,$105874277,1
#COVID19,$958481039986495494,1
#COVID19,$4186937727,1
#COVID19,$961833858097332226,1
#COVID19,$967730199327424512,1
#COVID19,$972056412145659904,1
#COVID19,$979329064736608257,1
#COVID19,$982785695948341248,1
#COVID19,$986798774302502915,1
#COVID19,$1031627486948470789,1
#COVID19,$1272338764539420673,1
#COVID19,$1271095457318490112,1
#COVID19,$1039722934397362176,1
#COVID19,$1046480416004349952,1
#COVID19,$415138288,1
#COVID19,$88915116,1
#COVID19,$449365317,1
#COVID19,$4794258439,1
#COVID19,$385670370,1
#COVID19,$3885367993,1
#COVID19,$392078361,1
#COVID19,$39557537,1
#COVID19,$3984872717,1
#COVID19,$408713491,1
#COVID19,$413407657,1
#COVID19,$413459920,1
#COVID19,$413740884,1
#COVID19,$41474765,1
#COVID19,$427056871,1
#COVID19,$4280699603,1
#COVID19,$434940307,1
#COVID19,$46221953,1
#COVID19,$493338725,1
#COVID19,$361272919,1
#COVID19,$49707812,1
#COVID19,$522973696,1
#COVID19,$572752244,1
#COVID19,$575250545,1
#COVID19,$592364314,1
#COVID19,$614792845,1
#COVID19,$61757330,1
#COVID19,$632507619,1
#COVID19,$64968021,1
#COVID19,$711733949031034880,1
#COVID19,$712720921,1
#COVID19,$713283732287795200,1
#COVID19,$727998411207786497,1
#COVID19,$733407664709861377,1
#COVID19,$3616866494,1
#COVID19,$36117367,1
#COVID19,$756844160783638529,1
#COVID19,$2957795681,1
#COVID19,$2620366761,1
#COVID19,$2709493632,1
#COVID19,$2740252683,1
#COVID19,$2740295187,1
#COVID19,$276235518,1
#COVID19,$2774540351,1
#COVID19,$278017676,1
#COVID19,$2818253448,1
#COVID19,$283708433,1
#COVID19,$2859726355,1
#COVID19,$2893387628,1
#COVID19,$2945000428,1
#COVID19,$294664287,1
#COVID19,$295217915,1
#COVID19,$3013440059,1
#COVID19,$359087790,1
#COVID19,$32635560,1
#COVID19,$34392053,1
#COVID19,$3438420089,1
#COVID19,$3429097228,1
#COVID19,$340326203,1
#COVID19,$33345156,1
#COVID19,$333148256,1
#COVID19,$3245821132,1
#COVID19,$30447603,1
#COVID19,$3213364745,1
#COVID19,$312685861,1
#COVID19,$3081872581,1
#COVID19,$30597742,1
#COVID19,$30543973,1
#COVID19,$3048307468,1
#COVID19,$755257432943710208,1
#COVID19,$757028507809558528,1
#COVID19,$254218477,1
#COVID19,$1010502957853478914,1
#COVID19,$913078721988448256,1
#COVID19,$916136634,1
#COVID19,$921812246791163904,1
#COVID19,$92381261,1
#COVID19,$934218325,1
#COVID19,$935298173873954816,1
#COVID19,$953000608159551488,1
#COVID19,$956554488604749824,1
#COVID19,$95796340,1
#COVID19,$970271982561452032,1
#COVID19,$975779240376504321,1
#COVID19,$998388726270226432,1
#COVID19,$1007373774537265152,1
#COVID19,$1009278193898082304,1
#COVID19,$1014937776482119685,1
#COVID19,$912102929116655616,1
#COVID19,$1026529626661822471,1
#COVID19,$1028448934681821186,1
#COVID19,$1042409771587055616,1
#COVID19,$1048697570418151426,1
#COVID19,$1085559370514137089,1
#COVID19,$110872523,1
#COVID19,$1110271011801493504,1
#COVID19,$115558650,1
#COVID19,$1160025417333370880,1
#COVID19,$1160894380510765058,1
#COVID19,$1170202400881295360,1
#COVID19,$1185938835110268930,1
#COVID19,$119229713,1
#COVID19,$1199700856225947648,1
#COVID19,$91264372,1
#COVID19,$90325941,1
#COVID19,$757959271506124800,1
#COVID19,$830888004025774080,1
#COVID19,$763578231765159942,1
#COVID19,$770362627,1
#COVID19,$772979565840961537,1
#COVID19,$783714973570568192,1
#COVID19,$797974872467107841,1
#COVID19,$798908407520567297,1
#COVID19,$800671360737419264,1
#COVID19,$806812631159836673,1
#COVID19,$809904438,1
#COVID19,$81164546,1
#COVID19,$821169316632461312,1
#COVID19,$822989712692482049,1
#COVID19,$823027667268210688,1
#COVID19,$828102905102102530,1
#COVID19,$831658355798138882,1
#COVID19,$900509193676914689,1
#COVID19,$857003748954124288,1
#COVID19,$884852778442665985,1
#COVID19,$87797839,1
#COVID19,$874696817270718468,1
#COVID19,$871730786,1
#COVID19,$869028090,1
#COVID19,$867208639777574913,1
#COVID19,$855487049876385792,1
#COVID19,$83910640,1
#COVID19,$852084223,1
#COVID19,$851061556184068096,1
#COVID19,$850499575789928448,1
#COVID19,$84932964,1
#COVID19,$846199543767207936,1
#COVID19,$845646787163668480,1
#COVID19,$259872192,1
#COVID19,$251591809,1
#COVID19,$463317319,1
#COVID19,$1124030716579282955,1
#COVID19,$101203560,1
#COVID19,$103277461,1
#COVID19,$103321386,1
#COVID19,$104667778,1
#COVID19,$105515068,1
#COVID19,$1060575080856608768,1
#COVID19,$1062404506783285252,1
#COVID19,$1089761844313710592,1
