src,dst,count
(#Corona|#Coronavirus),@ndtvindia,187
(#Corona|#Coronavirus),@manuelaforster,123
(#Corona|#Coronavirus),@OlafGersemann,58
(#Corona|#Coronavirus),@JoanaCotar,55
(#Corona|#Coronavirus),@FrankBlum17,42
(#Corona|#Coronavirus),@BR24,37
(#Corona|#Coronavirus),@realTomBohn,35
(#Corona|#Coronavirus),@campact,29
(#Corona|#Coronavirus),@LudwigLarcher,27
(#Corona|#Coronavirus),@ABPNews,23
(#Corona|#Coronavirus),@Mohaddessin,22
(#Corona|#Coronavirus),@zeitonline,17
(#Corona|#Coronavirus),@iran_policy,15
(#Corona|#Coronavirus),@CorinnaMiazga,13
(#Corona|#Coronavirus),@SZ,13
(#Corona|#Coronavirus),@TeamKenFM,12
(#Corona|#Coronavirus),@alphacentauriii,12
(#Corona|#Coronavirus),@cem_oezdemir,11
(#Corona|#Coronavirus),@neulandrebellen,11
(#Corona|#Coronavirus),@aktuelle_stunde,10
(#Corona|#Coronavirus),@Tagesspiegel,8
(#Corona|#Coronavirus),@ZDFheute,8
(#Corona|#Coronavirus),@USAdarFarsi,6
(#Corona|#Coronavirus),@MoritzSteinbac1,6
(#Corona|#Coronavirus),@Schneider_AfD,5
(#Corona|#Coronavirus),@annewild_muc,5
(#Corona|#Coronavirus),@BirnstinglausRo,5
(#Corona|#Coronavirus),@F4F_Leipzig,5
(#Corona|#Coronavirus),@kaya_serez,5
(#Corona|#Coronavirus),@Megavolts001,5
(#Corona|#Coronavirus),@TheNationalUAE,4
(#Corona|#Coronavirus),@c_drosten,4
(#Corona|#Coronavirus),@restartleader,4
(#Corona|#Coronavirus),@bertieroberts54,4
(#Corona|#Coronavirus),@rki_de,4
(#Corona|#Coronavirus),@MathiasPriebe,4
(#Corona|#Coronavirus),@HBenzler,4
(#Corona|#Coronavirus),@WDRaktuell,4
(#Corona|#Coronavirus),@QuirinWeber,4
(#Corona|#Coronavirus),@RolandWidowitz,4
(#Corona|#Coronavirus),@SCcoast_agent,3
(#Corona|#Coronavirus),@dw_persian,3
(#Corona|#Coronavirus),@CronicaUno,3
(#Corona|#Coronavirus),@TheEconomist,3
(#Corona|#Coronavirus),@VOAIran,3
(#Corona|#Coronavirus),@WelterPatrick,3
(#Corona|#Coronavirus),@RFI_Fa,3
(#Corona|#Coronavirus),@UKCovid19Stats,3
(#Corona|#Coronavirus),@RadioFarda_,3
(#Corona|#Coronavirus),@AlArabiya_Fa,3
(#Corona|#Coronavirus),@parvinfarazmand,3
(#Corona|#Coronavirus),@euronews_pe,3
(#Corona|#Coronavirus),@MOFA_Taiwan,3
(#Corona|#Coronavirus),@realDonaldTrump,3
(#Corona|#Coronavirus),@IranIntl,3
(#Corona|#Coronavirus),@ReutersIran,3
(#Corona|#Coronavirus),@JensBehnkeDE,3
(#Corona|#Coronavirus),@murrraydo,3
(#Corona|#Coronavirus),@katharinakort,3
(#Corona|#Coronavirus),@TheThomasDee,3
(#Corona|#Coronavirus),@AlainPersian,3
(#Corona|#Coronavirus),@srfnews,3
(#Corona|#Coronavirus),@Karl_Lauterbach,3
(#Corona|#Coronavirus),@tagesschau,3
(#Corona|#Coronavirus),@XHNews,3
(#Corona|#Coronavirus),@AndreMimikama,2
(#Corona|#Coronavirus),@airnewsalerts,2
(#Corona|#Coronavirus),@Markus_Soeder,2
(#Corona|#Coronavirus),@AlfredMittelbch,2
(#Corona|#Coronavirus),@RoliRolihlahla,2
(#Corona|#Coronavirus),@dennisandre,2
(#Corona|#Coronavirus),@hainault_of,2
(#Corona|#Coronavirus),@J_B_oo7,2
(#Corona|#Coronavirus),@jlugiessen,2
(#Corona|#Coronavirus),@alex_baur,2
(#Corona|#Coronavirus),@Nordkurier,2
(#Corona|#Coronavirus),@audioglueck,2
(#Corona|#Coronavirus),@Augstein,2
(#Corona|#Coronavirus),@NassauWillem,2
(#Corona|#Coronavirus),@nicolediekmann,2
(#Corona|#Coronavirus),@RahulGandhi,2
(#Corona|#Coronavirus),@MSI_BW,2
(#Corona|#Coronavirus),@POTUS,2
(#Corona|#Coronavirus),@FidK_Bund,2
(#Corona|#Coronavirus),@jusosbawue,2
(#Corona|#Coronavirus),@PritybhardwajPs,2
(#Corona|#Coronavirus),@SZ_Politik,2
(#Corona|#Coronavirus),@Polizei_BS,2
(#Corona|#Coronavirus),@gabusch61,2
(#Corona|#Coronavirus),@M_T_Franz,2
(#Corona|#Coronavirus),@tonline_sport,2
(#Corona|#Coronavirus),@correctiv_fakt,2
(#Corona|#Coronavirus),@FT,2
(#Corona|#Coronavirus),@BMG_Bund,2
(#Corona|#Coronavirus),@festmeter,2
(#Corona|#Coronavirus),@uni_tue,2
(#Corona|#Coronavirus),@AddustourJordan,2
(#Corona|#Coronavirus),@thisbuerge,2
(#Corona|#Coronavirus),@hiwthi_HH,2
(#Corona|#Coronavirus),@AlHadath,2
(#Corona|#Coronavirus),@alex_tirol1,2
(#Corona|#Coronavirus),@pat4reason,2
(#Corona|#Coronavirus),@ZDFwien,2
(#Corona|#Coronavirus),@jack,2
(#Corona|#Coronavirus),@MietTesla,2
(#Corona|#Coronavirus),@stc_de,2
(#Corona|#Coronavirus),@jutta_ditfurth,2
(#Corona|#Coronavirus),@FrediBobic1971,2
(#Corona|#Coronavirus),@rki_updates,2
(#Corona|#Coronavirus),@sanjaymuthal,2
(#Corona|#Coronavirus),@eu_eeas,2
(#Corona|#Coronavirus),@Alyoum24,2
(#Corona|#Coronavirus),@AmoebenTranspor,2
(#Corona|#Coronavirus),@ideentraeger,2
(#Corona|#Coronavirus),@sgasteyger,2
(#Corona|#Coronavirus),@OEFBL,2
(#Corona|#Coronavirus),@Monde_diplo,2
(#Corona|#Coronavirus),@neuepresse,2
(#Corona|#Coronavirus),@SCLBerlin,2
(#Corona|#Coronavirus),@DrWieIer,2
(#Corona|#Coronavirus),@alrai,2
(#Corona|#Coronavirus),@Mark_S_Aldrich,2
(#Corona|#Coronavirus),@LK_GR,2
(#Corona|#Coronavirus),@Elmal96,2
(#Corona|#Coronavirus),@jndkgrf,2
(#Corona|#Coronavirus),@butenunbinnen,2
(#Corona|#Coronavirus),@BMBF_Bund,2
(#Corona|#Coronavirus),@rlpNews,2
(#Corona|#Coronavirus),@Cheatha,2
(#Corona|#Coronavirus),@RalfSchumache17,2
(#Corona|#Coronavirus),@watch_union,2
(#Corona|#Coronavirus),@RT_Deutsch,2
(#Corona|#Coronavirus),@NDRnds,2
(#Corona|#Coronavirus),@peetvl,2
(#Corona|#Coronavirus),@WWU_Muenster,2
(#Corona|#Coronavirus),@rsprivat,2
(#Corona|#Coronavirus),@nikki_miumiu,2
(#Corona|#Coronavirus),@Clarsonimus,2
(#Corona|#Coronavirus),@gleichheit,2
(#Corona|#Coronavirus),@faznet,2
(#Corona|#Coronavirus),@SFundamentalism,2
(#Corona|#Coronavirus),@washingtonpost,2
(#Corona|#Coronavirus),@martinsteiger,2
(#Corona|#Coronavirus),@DDNewslive,2
(#Corona|#Coronavirus),@UNHumanRights,2
(#Corona|#Coronavirus),@LandolfThore,2
(#Corona|#Coronavirus),@georgrestle,2
(#Corona|#Coronavirus),@ECDC_Outbreaks,2
(#Corona|#Coronavirus),@_ulmerspatz,2
(#Corona|#Coronavirus),@hendrikstreeck,2
(#Corona|#Coronavirus),@RoblesSusanaro,1
(#Corona|#Coronavirus),@BILD,1
(#Corona|#Coronavirus),@GollingerH,1
(#Corona|#Coronavirus),@RonnyKumpf,1
(#Corona|#Coronavirus),@KevinSt06140088,1
(#Corona|#Coronavirus),@BaumannProf,1
(#Corona|#Coronavirus),@VictorVetterle,1
(#Corona|#Coronavirus),@riotunicorn,1
(#Corona|#Coronavirus),@TheWolfpackIN,1
(#Corona|#Coronavirus),@Autwachler,1
(#Corona|#Coronavirus),@Finanztip,1
(#Corona|#Coronavirus),@Spiro0815,1
(#Corona|#Coronavirus),@Vic_Stone1,1
(#Corona|#Coronavirus),@DineshDSouza,1
(#Corona|#Coronavirus),@NYGovCuomo,1
(#Corona|#Coronavirus),@asr3follow3d,1
(#Corona|#Coronavirus),@donwinslow,1
(#Corona|#Coronavirus),@NCPspeaks,1
(#Corona|#Coronavirus),@IvankaTrump,1
(#Corona|#Coronavirus),@ltrlp,1
(#Corona|#Coronavirus),@asthana_shashi,1
(#Corona|#Coronavirus),@HenningWerle,1
(#Corona|#Coronavirus),@thehill,1
(#Corona|#Coronavirus),@astridpoot,1
(#Corona|#Coronavirus),@CAMO__17,1
(#Corona|#Coronavirus),@GOP,1
(#Corona|#Coronavirus),@Wilco_B,1
(#Corona|#Coronavirus),@ratisud,1
(#Corona|#Coronavirus),@IKKSuedwest,1
(#Corona|#Coronavirus),@kleinezeitung,1
(#Corona|#Coronavirus),@Umweltbundesamt,1
(#Corona|#Coronavirus),@welt,1
(#Corona|#Coronavirus),@Atomreisfleisch,1
(#Corona|#Coronavirus),@Mutterwurm,1
(#Corona|#Coronavirus),@AbhishekMatiman,1
(#Corona|#Coronavirus),@berlinerzeitung,1
(#Corona|#Coronavirus),@NHSuk,1
(#Corona|#Coronavirus),@dortmunder_u,1
(#Corona|#Coronavirus),@ReinerKeller,1
(#Corona|#Coronavirus),@TajinderBagga,1
(#Corona|#Coronavirus),@ufomedia,1
(#Corona|#Coronavirus),@benhetechtzelf,1
(#Corona|#Coronavirus),@ErnstvAll,1
(#Corona|#Coronavirus),@goodblacknews,1
(#Corona|#Coronavirus),@Emmilog,1
(#Corona|#Coronavirus),@TorstThe,1
(#Corona|#Coronavirus),@UlrichKelber,1
(#Corona|#Coronavirus),@SZ_TopNews,1
(#Corona|#Coronavirus),@YouTube,1
(#Corona|#Coronavirus),@Captsandeep2,1
(#Corona|#Coronavirus),@MOPHQatar,1
(#Corona|#Coronavirus),@Nasirea1,1
(#Corona|#Coronavirus),@BHXX57,1
(#Corona|#Coronavirus),@Gambiste1,1
(#Corona|#Coronavirus),@jusos_rababa,1
(#Corona|#Coronavirus),@TiesRabe,1
(#Corona|#Coronavirus),@NewsX,1
(#Corona|#Coronavirus),@Maskenvernicht1,1
(#Corona|#Coronavirus),@StM_Klose,1
(#Corona|#Coronavirus),@Anonymous_prodi,1
(#Corona|#Coronavirus),@wodarg,1
(#Corona|#Coronavirus),@MinPres,1
(#Corona|#Coronavirus),@upadhyayabhii,1
(#Corona|#Coronavirus),@GregHands,1
(#Corona|#Coronavirus),@artyny59,1
(#Corona|#Coronavirus),@carmenporter_,1
(#Corona|#Coronavirus),@HRExecMag,1
(#Corona|#Coronavirus),@asg_news,1
(#Corona|#Coronavirus),@SpeakerPelosi,1
(#Corona|#Coronavirus),@_donalphonso,1
(#Corona|#Coronavirus),@SteffenKrach,1
(#Corona|#Coronavirus),@isoscelesfin,1
(#Corona|#Coronavirus),@Fiorini2012,1
(#Corona|#Coronavirus),@vdi_tz_Medtech,1
(#Corona|#Coronavirus),@hh_bsb,1
(#Corona|#Coronavirus),@drluebbers,1
(#Corona|#Coronavirus),@DLF,1
(#Corona|#Coronavirus),@gaborsteingart,1
(#Corona|#Coronavirus),@RSSorg,1
(#Corona|#Coronavirus),@CSU,1
(#Corona|#Coronavirus),@JoachimStamp,1
(#Corona|#Coronavirus),@dkumar57,1
(#Corona|#Coronavirus),@1843mag,1
(#Corona|#Coronavirus),@FinleyLava,1
(#Corona|#Coronavirus),@ChimpSouth,1
(#Corona|#Coronavirus),@winkelreka,1
(#Corona|#Coronavirus),@KatjaThorwarth,1
(#Corona|#Coronavirus),@residenzhekate,1
(#Corona|#Coronavirus),@phoenix_de,1
(#Corona|#Coronavirus),@SykesCharlie,1
(#Corona|#Coronavirus),@ThorstenLieb,1
(#Corona|#Coronavirus),@NPR,1
(#Corona|#Coronavirus),@ThePracticalDev,1
(#Corona|#Coronavirus),@ArabianBusiness,1
(#Corona|#Coronavirus),@ElsnervonGronow,1
(#Corona|#Coronavirus),@BlackAmericaWeb,1
(#Corona|#Coronavirus),@kinderpsych,1
(#Corona|#Coronavirus),@wochendaemmrung,1
(#Corona|#Coronavirus),@MotherJones,1
(#Corona|#Coronavirus),@akk,1
(#Corona|#Coronavirus),@mickvanwely,1
(#Corona|#Coronavirus),@SamCoatesSky,1
(#Corona|#Coronavirus),@express24,1
(#Corona|#Coronavirus),@someelseone,1
(#Corona|#Coronavirus),@TheDemocrats,1
(#Corona|#Coronavirus),@fr,1
(#Corona|#Coronavirus),@FuTschu,1
(#Corona|#Coronavirus),@oberhessische,1
(#Corona|#Coronavirus),@sgfv_bremen,1
(#Corona|#Coronavirus),@honegger,1
(#Corona|#Coronavirus),@globalnews,1
(#Corona|#Coronavirus),@LKaiser85,1
(#Corona|#Coronavirus),@Dr2NisreenAlwan,1
(#Corona|#Coronavirus),@RegBerlin,1
(#Corona|#Coronavirus),@NOS,1
(#Corona|#Coronavirus),@SHomburg,1
(#Corona|#Coronavirus),@Medienfestival,1
(#Corona|#Coronavirus),@BoehmeMarco,1
(#Corona|#Coronavirus),@mona_florian,1
(#Corona|#Coronavirus),@EricTrump,1
(#Corona|#Coronavirus),@Thomie_ch,1
(#Corona|#Coronavirus),@NYHCampaign,1
(#Corona|#Coronavirus),@Coronahotspot,1
(#Corona|#Coronavirus),@dineshkumawat,1
(#Corona|#Coronavirus),@depeiling,1
(#Corona|#Coronavirus),@RedAsMyHead,1
(#Corona|#Coronavirus),@AndiScheuer,1
(#Corona|#Coronavirus),@LeTour,1
(#Corona|#Coronavirus),@AnnarosaBrito,1
(#Corona|#Coronavirus),@xx_krider,1
(#Corona|#Coronavirus),@NYCMayor,1
(#Corona|#Coronavirus),@msur0711,1
(#Corona|#Coronavirus),@RegHessen,1
(#Corona|#Coronavirus),@NBCNews,1
(#Corona|#Coronavirus),@RawStory,1
(#Corona|#Coronavirus),@Blavity,1
(#Corona|#Coronavirus),@Tanni85796966,1
(#Corona|#Coronavirus),@freiheitsrechte,1
(#Corona|#Coronavirus),@AfDimBundestag,1
(#Corona|#Coronavirus),@Pranavsinh9,1
(#Corona|#Coronavirus),@steve_hanke,1
(#Corona|#Coronavirus),@bwegtBW,1
(#Corona|#Coronavirus),@panipataap,1
(#Corona|#Coronavirus),@nrc,1
(#Corona|#Coronavirus),@BLACKTWITTER,1
(#Corona|#Coronavirus),@isabelledaniel,1
(#Corona|#Coronavirus),@WKogler,1
(#Corona|#Coronavirus),@jugendgerecht,1
(#Corona|#Coronavirus),@ruv_news,1
(#Corona|#Coronavirus),@Maxman23,1
(#Corona|#Coronavirus),@beingrichard,1
(#Corona|#Coronavirus),@tooranomaki6910,1
(#Corona|#Coronavirus),@MoHFW_INDIA,1
(#Corona|#Coronavirus),@StAndrewsCare,1
(#Corona|#Coronavirus),@BAG_OFSP_UFSP,1
(#Corona|#Coronavirus),@Shahabeiran,1
(#Corona|#Coronavirus),@senatemajldr,1
(#Corona|#Coronavirus),@Jani_Depp,1
(#Corona|#Coronavirus),@sabine_m_b,1
(#Corona|#Coronavirus),@LAredaktion,1
(#Corona|#Coronavirus),@GKV_SV,1
(#Corona|#Coronavirus),@Dorfblume1,1
(#Corona|#Coronavirus),@ab2daet,1
(#Corona|#Coronavirus),@FDPffm,1
(#Corona|#Coronavirus),@gegenrechtsBS,1
(#Corona|#Coronavirus),@KienastDirk,1
(#Corona|#Coronavirus),@oliverreporter,1
(#Corona|#Coronavirus),@RealFantomas,1
(#Corona|#Coronavirus),@AsgSpd,1
(#Corona|#Coronavirus),@PPorn_Channel,1
(#Corona|#Coronavirus),@Suntimes,1
(#Corona|#Coronavirus),@germandoctors,1
(#Corona|#Coronavirus),@DonaldJTrumpJr,1
(#Corona|#Coronavirus),@davidmweissman,1
(#Corona|#Coronavirus),@umweltstiftung,1
(#Corona|#Coronavirus),@ADnl,1
(#Corona|#Coronavirus),@handelsblatt,1
(#Corona|#Coronavirus),@ZDF,1
(#Corona|#Coronavirus),@PolizeiMuenchen,1
(#Corona|#Coronavirus),@dominiakp,1
(#Corona|#Coronavirus),@politbach,1
(#Corona|#Coronavirus),@NordlichtSo,1
(#Corona|#Coronavirus),@desertfox61I,1
(#Corona|#Coronavirus),@WeInvest4,1
(#Corona|#Coronavirus),@robreiner,1
(#Corona|#Coronavirus),@ParitaetSN,1
(#Corona|#Coronavirus),@greenongreen500,1
(#Corona|#Coronavirus),@qw13bl,1
(#Corona|#Coronavirus),@MEisNotFatigue,1
(#Corona|#Coronavirus),@malhotravineet7,1
(#Corona|#Coronavirus),@TanjaMcConnor,1
(#Corona|#Coronavirus),@Sonnensegel1,1
(#Corona|#Coronavirus),@kamalkhan_NDTV,1
(#Corona|#Coronavirus),@Wim_Schellekens,1
(#Corona|#Coronavirus),@MartinMosel,1
(#Corona|#Coronavirus),@hugodejonge,1
(#Corona|#Coronavirus),@ckberner,1
(#Corona|#Coronavirus),@kn_online,1
(#Corona|#Coronavirus),@DHB_Teams,1
(#Corona|#Coronavirus),@MonikaBeck6,1
(#Corona|#Coronavirus),@ATLBlackStar,1
(#Corona|#Coronavirus),@mgnayak5,1
(#Corona|#Coronavirus),@nytimes,1
(#Corona|#Coronavirus),@TKinNW,1
(#Corona|#Coronavirus),@Sujataganguly13,1
(#Corona|#Coronavirus),@ferdgrapperhaus,1
(#Corona|#Coronavirus),@JoeBiden,1
(#Corona|#Coronavirus),@Sharkspeer,1
(#Corona|#Coronavirus),@Dt_Aerzteblatt,1
(#Corona|#Coronavirus),@ALGA733,1
(#Corona|#Coronavirus),@zerohedge,1
(#Corona|#Coronavirus),@telegraaf,1
(#Corona|#Coronavirus),@hmtvnewslive,1
(#Corona|#Coronavirus),@Tamara19638810,1
(#Corona|#Coronavirus),@Maryam_Rajavi,1
(#Corona|#Coronavirus),@rbbinforadio,1
(#Corona|#Coronavirus),@MeidasTouch,1
(#Corona|#Coronavirus),@JagmohanKausha2,1
(#Corona|#Coronavirus),@LenzRamona,1
(#Corona|#Coronavirus),@DDboxxx,1
(#Corona|#Coronavirus),@China_Welt_News,1
(#Corona|#Coronavirus),@GermanyDiplo,1
(#Corona|#Coronavirus),@mdr_th,1
(#Corona|#Coronavirus),@iran_true,1
(#Corona|#Coronavirus),@InsightGL,1
(#Corona|#Coronavirus),@derspiegel,1
(#Corona|#Coronavirus),@derfreitag,1
(#Corona|#Coronavirus),@LPKRLP,1
(#Corona|#Coronavirus),@Juvenal31825834,1
(#Corona|#Coronavirus),@journ_online,1
(#Corona|#Coronavirus),@greenpeace_de,1
(#Corona|#Coronavirus),@rootsmessenger,1
(#Corona|#Coronavirus),@FLOTUS,1
(#Corona|#Coronavirus),@SenSchumer,1
(#Corona|#Coronavirus),@BlackPressRadio,1
