from,to,count
#OnBTS,@BTS_twt,13129
#OnBTS,@ibighitfess,2104
#OnBTS,@btsvotingorg,1712
#OnBTS,@indomyfess,438
#OnBTS,@bitiesfess,217
#OnBTS,@BVG_official,118
#OnBTS,@Armybasseindo,116
#OnBTS,@bolukookies_,88
#OnBTS,@epiphaniina,74
#OnBTS,@shyuk_kiyowo,74
#OnBTS,@0130JJKTH,71
#OnBTS,@subtanyarl,70
#OnBTS,@01Btsxarmy,62
#OnBTS,@armyfess2,57
#OnBTS,@btsvotingunite,57
#OnBTS,@Grungee__,53
#OnBTS,@BTSNoticia,52
#OnBTS,@luvsjkxv,52
#OnBTS,@finxnjvs,51
#OnBTS,@highlighttmy,50
#OnBTS,@Adorablewithyou,45
#OnBTS,@chimins_lcvebot,44
#OnBTS,@eamksj,41
#OnBTS,@indoarmyfess,40
#OnBTS,@teggukbyger,35
#OnBTS,@jjimmhall,34
#OnBTS,@greentaeluv30,32
#OnBTS,@myeupho,32
#OnBTS,@fllternity,31
#OnBTS,@seokjinii04,31
#OnBTS,@fvkookies,30
#OnBTS,@jeonaltta,30
#OnBTS,@cttoncndys,29
#OnBTS,@crownscluv,29
#OnBTS,@anajk_00,28
#OnBTS,@rayxkth,28
#OnBTS,@parkjoonkoo,27
#OnBTS,@AFROCHILDE,25
#OnBTS,@BTS_EGYPT_ARMY,25
#OnBTS,@fvcklx_,25
#OnBTS,@pjmxkth_,24
#OnBTS,@jeonwilnaz,24
#OnBTS,@sugaaarch,24
#OnBTS,@taegyuxyjn,24
#OnBTS,@Agust_Dsoul0309,23
#OnBTS,@vntequal,23
#OnBTS,@CHENLENDIPITY,22
#OnBTS,@lakuyna,22
#OnBTS,@ksjinniesm,22
#OnBTS,@flyingbtsarmy,21
#OnBTS,@anpanation_twt,21
#OnBTS,@jejetaers,20
#OnBTS,@taevggukssa,20
#OnBTS,@dimplenamjjunie,20
#OnBTS,@diminnieboo,20
#OnBTS,@syielyy93,20
#OnBTS,@jmxnblss0m,20
#OnBTS,@kimofseven,20
#OnBTS,@vanteapoya,20
#OnBTS,@jiggiejim,19
#OnBTS,@jinniewell,19
#OnBTS,@People_youknow,19
#OnBTS,@shimmerrrain,19
#OnBTS,@DdaengLife,19
#OnBTS,@koojeonzt,18
#OnBTS,@kthvnte,18
#OnBTS,@heyhooman__,18
#OnBTS,@YOONRIX,18
#OnBTS,@VNTAEX,17
#OnBTS,@vesviatrulaf,17
#OnBTS,@purplesite_,16
#OnBTS,@aerchivex,16
#OnBTS,@cuttienamjin,15
#OnBTS,@Diynst,15
#OnBTS,@txtdrisecretadm,15
#OnBTS,@venusielyn,15
#OnBTS,@upijjk,14
#OnBTS,@arxjmn,14
#OnBTS,@moonjaejin,14
#OnBTS,@peacheeps,14
#OnBTS,@jiminiepark95L,14
#OnBTS,@yukiflwr,13
#OnBTS,@euphorifistaa,13
#OnBTS,@zhyene21,13
#OnBTS,@O95FAIRYTAE,13
#OnBTS,@httpmaknaegg_,13
#OnBTS,@padinimnida,13
#OnBTS,@taebaesxf,12
#OnBTS,@Goldencookiee_,12
#OnBTS,@vantezys,12
#OnBTS,@thinkhyung,12
#OnBTS,@BTSChartDaily,12
#OnBTS,@crownevermind7,12
#OnBTS,@jodohnyabngtn,12
#OnBTS,@carcarr21,12
#OnBTS,@hyunqtaee,11
#OnBTS,@milksbloss0m,11
#OnBTS,@89jwo,11
#OnBTS,@deartaebie,11
#OnBTS,@Diiyadara,11
#OnBTS,@taezatos,11
#OnBTS,@berryynia,11
#OnBTS,@syaahana,10
#OnBTS,@ursoojungshook2,10
#OnBTS,@btsindomyfes,10
#OnBTS,@ggukiepjm_,10
#OnBTS,@flooustarlightx,10
#OnBTS,@BTS_Noticia,10
#OnBTS,@piaanoona,10
#OnBTS,@ARMYINDOVOTE,10
#OnBTS,@naveore,10
#OnBTS,@HEDONIESICK,10
#OnBTS,@092_ksj,9
