src,dst,count
$20751449,#Hathras,4
$20751449,#COVID19,2
$20751449,#Minsk,1
$20751449,#Sotheby,1
$20751449,#GST,1
$20751449,#Google,1
$20751449,#Paytm,1
$20751449,#ShaktiMalik,1
$20751449,#DonaldTrump,1
$20751449,#Afghanistan,1
$20751449,#Congress,1
$20751449,#coronavirus,1
$20751449,#SushantSingRajputDeathCase,1
$20751449,#Kerala,1
$20751449,#Bangladesh,1
$20751449,#AtalTunnel,1
$20751449,#HathrasCase,1
$20751449,#Madurai,1
$20751449,#NarendraModi,1
$20751449,#RahulGandhi,1
$20751449,#Rohtang,1
$20751449,#LGBT,1
