src,dst,count
#AtalTunnel,#AtalRohtangTunnel,7
#AtalTunnel,#AtalTunnelRohtang,7
#AtalTunnel,#रक्षा_मंत्री,3
#AtalTunnel,#PMModi,3
#AtalTunnel,#HimachalPradesh,3
#AtalTunnel,#Hindistan,2
#AtalTunnel,#Leh,2
#AtalTunnel,#Rohtang,2
#AtalTunnel,#rohtangtunnel,2
#AtalTunnel,#India,2
#AtalTunnel,#Manali,2
#AtalTunnel,#Turkey,2
#AtalTunnel,#Türkiye,2
#AtalTunnel,#FactoFactCheck,2
#AtalTunnel,#IndiaFirst,1
#AtalTunnel,#india,1
#AtalTunnel,#atamnirbhar,1
#AtalTunnel,#anuragthakur,1
#AtalTunnel,#AatmaNirbharBharat,1
#AtalTunnel,#Highway_Tunnel,1
#AtalTunnel,#Hathras,1
#AtalTunnel,#spitivalley,1
#AtalTunnel,#VaibhavSummit,1
#AtalTunnel,#अटल_टनल,1
#AtalTunnel,#BSNL4G,1
#AtalTunnel,#PMOIndia,1
#AtalTunnel,#FakeNews,1
#AtalTunnel,#Tunnel,1
#AtalTunnel,#TrustModi,1
#AtalTunnel,#WhatPMModiDid,1
#AtalTunnel,#കുതിരാൻTunnel,1
#AtalTunnel,#RohtangTunnel,1
