src,dst,count
#TheMusicVideo,@BLACKPINK,8905
#TheMusicVideo,@selenagomez,7639
#TheMusicVideo,@BTS_twt,5354
#TheMusicVideo,@mygtrivias,2334
#TheMusicVideo,@btsvotingorg,2213
#TheMusicVideo,@chartsblackpink,709
#TheMusicVideo,@teamblackpink,566
#TheMusicVideo,@Born2Bredarmy,561
#TheMusicVideo,@lisamygem,553
#TheMusicVideo,@LALISA_LISA_MNB,514
#TheMusicVideo,@namtan_0327,470
#TheMusicVideo,@bpinradio,424
#TheMusicVideo,@daveypinks,385
#TheMusicVideo,@peachiexiaozhan,341
#TheMusicVideo,@01Btsxarmy1,311
#TheMusicVideo,@BLACKPINKFML,306
#TheMusicVideo,@V0TEWITHARMY,256
#TheMusicVideo,@SGChartUpdate,256
#TheMusicVideo,@lisuperior,249
#TheMusicVideo,@alasunokim,229
#TheMusicVideo,@bts_bighit,224
#TheMusicVideo,@LISAVotingTeam,223
#TheMusicVideo,@lilimagnifique,218
#TheMusicVideo,@SoupXLisa,196
#TheMusicVideo,@FAI_Bunthita,194
#TheMusicVideo,@BlinkVotingCrew,193
#TheMusicVideo,@btsvotingunite,182
#TheMusicVideo,@CHARTS_LISA,179
#TheMusicVideo,@NChKoFu,178
#TheMusicVideo,@Alicevnam24,175
#TheMusicVideo,@POPPY_JIN1993,171
#TheMusicVideo,@mnyjayy,167
#TheMusicVideo,@lisatakeme,166
#TheMusicVideo,@Devilll01,163
#TheMusicVideo,@JHDI0NYSUS,161
#TheMusicVideo,@vousjayy,155
#TheMusicVideo,@AoMAm63970431,153
#TheMusicVideo,@ULTKJN16,152
#TheMusicVideo,@LaLaLaLiSa_M270,152
#TheMusicVideo,@NCY_PJ,149
#TheMusicVideo,@happyblinksph,142
#TheMusicVideo,@suga_n93,141
#TheMusicVideo,@BLACKPINKGLOBAL,141
#TheMusicVideo,@SGoncharts,138
#TheMusicVideo,@bpbillboard,138
#TheMusicVideo,@TeamLisaPH,129
#TheMusicVideo,@swallalisaa,125
#TheMusicVideo,@tntt_kv,123
#TheMusicVideo,@fairyyscarlet,121
#TheMusicVideo,@lalalalisa_m372,113
#TheMusicVideo,@hopeuaremylight,112
#TheMusicVideo,@blackpinksite_,112
#TheMusicVideo,@ultjisooyah,110
#TheMusicVideo,@WorldwideBLINK,109
#TheMusicVideo,@sugarhoneybabee,109
#TheMusicVideo,@ygofficialblink,108
#TheMusicVideo,@forlalisa_th,107
#TheMusicVideo,@Lsglobal_,105
#TheMusicVideo,@maylalice,104
#TheMusicVideo,@BPGVotingINA,101
#TheMusicVideo,@supmanobal,100
#TheMusicVideo,@virin_thorn,99
#TheMusicVideo,@BLACKPINKAsia,97
#TheMusicVideo,@IntelBLACKPINK,96
#TheMusicVideo,@ChikistrikisV,92
#TheMusicVideo,@wagifda1113,90
#TheMusicVideo,@ForeverKimJisoo,89
#TheMusicVideo,@MLisayah,88
#TheMusicVideo,@meBlacklis,87
#TheMusicVideo,@IntBLACKPINK_PH,87
#TheMusicVideo,@bitiiezvotes,85
#TheMusicVideo,@lalisa97line,84
#TheMusicVideo,@ppoa_twt,83
#TheMusicVideo,@lsgvrse,82
#TheMusicVideo,@LMonArt_,82
#TheMusicVideo,@peopleschoice,79
#TheMusicVideo,@Am_Pho_B,78
#TheMusicVideo,@K_O_O_K_KIE,76
#TheMusicVideo,@Ot7Disas,76
#TheMusicVideo,@wonderpuiz,76
#TheMusicVideo,@lydialovesbts05,75
#TheMusicVideo,@baby_bangtan06,75
#TheMusicVideo,@jisooohlyone,74
#TheMusicVideo,@yoye2b,74
#TheMusicVideo,@delulungjenlisa,74
#TheMusicVideo,@BLINKmf,74
#TheMusicVideo,@BLINKVotingPage,74
#TheMusicVideo,@bt7bt7,72
#TheMusicVideo,@FIES_SNOW,72
#TheMusicVideo,@Hopealice_m,71
#TheMusicVideo,@wingsofLisa,71
#TheMusicVideo,@vntearmy,71
#TheMusicVideo,@kookv_3000,70
#TheMusicVideo,@seoksci,68
#TheMusicVideo,@magniranthines,68
#TheMusicVideo,@godislaIisa,67
#TheMusicVideo,@HaidiJ2,67
#TheMusicVideo,@nightrojen,66
#TheMusicVideo,@Clarievia,66
#TheMusicVideo,@balakbalakugug,65
#TheMusicVideo,@melonsecret,63
#TheMusicVideo,@Kimmon_JK,61
#TheMusicVideo,@Blink4LisaOnly,61
#TheMusicVideo,@ArmmyArmy2,61
#TheMusicVideo,@PPfahsai1,61
#TheMusicVideo,@RGM97_,59
#TheMusicVideo,@OilliorP,59
