src,dst,count
#Solution_To_Suicide,$1259885610325737474,33
#Solution_To_Suicide,$884079868971032576,32
#Solution_To_Suicide,$1218807624675688449,31
#Solution_To_Suicide,$1265525926605053957,30
#Solution_To_Suicide,$1241408927444553728,28
#Solution_To_Suicide,$1295636743455031296,28
#Solution_To_Suicide,$1174948597340622848,26
#Solution_To_Suicide,$1150807320609210369,22
#Solution_To_Suicide,$1248931348556832774,19
#Solution_To_Suicide,$1264394246116847619,17
#Solution_To_Suicide,$1307694852847542273,17
#Solution_To_Suicide,$1307680314064433152,17
#Solution_To_Suicide,$1297529981724061696,16
#Solution_To_Suicide,$1280732011917832194,16
#Solution_To_Suicide,$1076599496971145216,16
#Solution_To_Suicide,$995214523798765568,15
#Solution_To_Suicide,$1173092604784889858,14
#Solution_To_Suicide,$1240932301439148034,14
#Solution_To_Suicide,$1280888984353206273,14
#Solution_To_Suicide,$857761954018058241,13
#Solution_To_Suicide,$1221779030967369731,13
#Solution_To_Suicide,$1189096052533579777,13
#Solution_To_Suicide,$1227789012888244224,13
#Solution_To_Suicide,$1259301422807605249,13
#Solution_To_Suicide,$1302150501870391297,12
#Solution_To_Suicide,$1254767155519750144,12
#Solution_To_Suicide,$1295644203242971136,12
#Solution_To_Suicide,$1132684113356496899,12
#Solution_To_Suicide,$3115276872,12
#Solution_To_Suicide,$1293079323893620736,11
#Solution_To_Suicide,$1245406781204914176,11
#Solution_To_Suicide,$1283957918782550016,11
#Solution_To_Suicide,$1226509329643139073,11
#Solution_To_Suicide,$1243558314245529602,11
#Solution_To_Suicide,$1272538666460561408,10
#Solution_To_Suicide,$1293015387286560773,10
#Solution_To_Suicide,$1292334991607656448,10
#Solution_To_Suicide,$1305522797972615168,10
#Solution_To_Suicide,$883583831479119872,10
#Solution_To_Suicide,$1215265788908593153,10
#Solution_To_Suicide,$1196455006079078400,10
#Solution_To_Suicide,$1271752891850612737,10
#Solution_To_Suicide,$1273986016785752064,9
#Solution_To_Suicide,$1295384039591878657,9
#Solution_To_Suicide,$1179094302,9
#Solution_To_Suicide,$1112584125196713989,9
#Solution_To_Suicide,$1114890756538241024,9
#Solution_To_Suicide,$286575882,9
#Solution_To_Suicide,$1190921128039960576,9
#Solution_To_Suicide,$1293036799661547520,9
#Solution_To_Suicide,$1251162516161355776,8
#Solution_To_Suicide,$1280097335461113858,8
#Solution_To_Suicide,$1310215295408070657,8
#Solution_To_Suicide,$1173855385721159681,8
#Solution_To_Suicide,$1138293054807265280,8
#Solution_To_Suicide,$1280768876901543936,8
#Solution_To_Suicide,$1287786065240002562,8
#Solution_To_Suicide,$1178269783042584577,7
#Solution_To_Suicide,$899306045905948672,7
#Solution_To_Suicide,$1307308378906124290,7
#Solution_To_Suicide,$1262967930901364737,7
#Solution_To_Suicide,$1242502807959138304,7
#Solution_To_Suicide,$4483532892,7
#Solution_To_Suicide,$908889696457056256,7
#Solution_To_Suicide,$1195636185315438592,7
#Solution_To_Suicide,$1250821799941566464,7
#Solution_To_Suicide,$819184910699204608,7
#Solution_To_Suicide,$1188379406911377409,7
#Solution_To_Suicide,$1297664793323532288,7
#Solution_To_Suicide,$1291763274854174720,6
#Solution_To_Suicide,$1277653346539597826,6
#Solution_To_Suicide,$1279088457340649472,6
#Solution_To_Suicide,$1029749483125399552,6
#Solution_To_Suicide,$1117385511679606784,6
#Solution_To_Suicide,$1225796226114707457,6
#Solution_To_Suicide,$1227860968777994240,6
#Solution_To_Suicide,$1231923921039101953,6
#Solution_To_Suicide,$898063805279809536,6
#Solution_To_Suicide,$1309079546654793729,6
#Solution_To_Suicide,$567246448,6
#Solution_To_Suicide,$1222370966350766086,6
#Solution_To_Suicide,$1121479829881331718,6
#Solution_To_Suicide,$1251744304105742336,6
#Solution_To_Suicide,$1180138627612827648,6
#Solution_To_Suicide,$1212038268776144896,6
#Solution_To_Suicide,$1301394695495454720,6
#Solution_To_Suicide,$4302232938,6
#Solution_To_Suicide,$1247744039836733445,6
#Solution_To_Suicide,$1198214927015530496,6
#Solution_To_Suicide,$1212249796376846336,6
#Solution_To_Suicide,$1273432146242424833,6
#Solution_To_Suicide,$1112269785855717376,6
#Solution_To_Suicide,$1173970206256820225,6
#Solution_To_Suicide,$1029236416428105729,5
#Solution_To_Suicide,$1287015431853600768,5
#Solution_To_Suicide,$1288472343384215552,5
#Solution_To_Suicide,$1272074964284276737,5
#Solution_To_Suicide,$1242483161881165825,5
#Solution_To_Suicide,$801397256855224321,5
