src,dst,count
(#COVID19|#coronavirus),#COVID19,5507
(#COVID19|#coronavirus),#coronavirus,2040
(#COVID19|#coronavirus),#Trump,463
(#COVID19|#coronavirus),#SpreaderInChief,278
(#COVID19|#coronavirus),#FoxAndFriends,278
(#COVID19|#coronavirus),#SaturdayThoughts,229
(#COVID19|#coronavirus),#MAGA,228
(#COVID19|#coronavirus),#KAG,210
(#COVID19|#coronavirus),#Ccot,207
(#COVID19|#coronavirus),#Trump2020,191
(#COVID19|#coronavirus),#Brazil,165
(#COVID19|#coronavirus),#sundayvibes,165
(#COVID19|#coronavirus),#TrumpHasCovid,131
(#COVID19|#coronavirus),#CNNSOTU,103
(#COVID19|#coronavirus),#TrumpCovid,77
(#COVID19|#coronavirus),#COVID,71
(#COVID19|#coronavirus),#SundayMorning,68
(#COVID19|#coronavirus),#Coronavirus,67
(#COVID19|#coronavirus),#SuperSpreader,66
(#COVID19|#coronavirus),#EndSARS,65
(#COVID19|#coronavirus),#Covid_19,64
(#COVID19|#coronavirus),#pandemic,54
(#COVID19|#coronavirus),#Corona,52
(#COVID19|#coronavirus),#COVIDIOTS,52
(#COVID19|#coronavirus),#CovidCaughtTrump,50
(#COVID19|#coronavirus),#SundayThoughts,46
(#COVID19|#coronavirus),#GOP,39
(#COVID19|#coronavirus),#Turkey,37
(#COVID19|#coronavirus),#Cleveland,37
(#COVID19|#coronavirus),#TrumpVirus,36
(#COVID19|#coronavirus),#DonaldTrump,36
(#COVID19|#coronavirus),#GOPSuperSpreaders,35
(#COVID19|#coronavirus),#CCPVirus,30
(#COVID19|#coronavirus),#EndSarsNow,30
(#COVID19|#coronavirus),#DoNotOpenSchool,29
(#COVID19|#coronavirus),#Iran,27
(#COVID19|#coronavirus),#SARSCoV2,27
(#COVID19|#coronavirus),#covid19,27
(#COVID19|#coronavirus),#WearAMask,27
(#COVID19|#coronavirus),#VoteHimOut,26
(#COVID19|#coronavirus),#Covid19,26
(#COVID19|#coronavirus),#Londonmarathon2020,26
(#COVID19|#coronavirus),#Covid19UK,25
(#COVID19|#coronavirus),#MilesGuo,24
(#COVID19|#coronavirus),#Whistleblowermovement,24
(#COVID19|#coronavirus),#BoycottBollywood,24
(#COVID19|#coronavirus),#MentalHealth,23
(#COVID19|#coronavirus),#SundayMotivation,23
