src,dst,count
@myogiadityanath,@RajKSinghIndia,4434
@myogiadityanath,@narendramodi,4019
@myogiadityanath,@CMOfficeUP,3963
@myogiadityanath,@ChiefSecyUP,3495
@myogiadityanath,@PMOIndia,805
@myogiadityanath,@UPGovt,640
@myogiadityanath,@ptshrikant,366
@myogiadityanath,@aajtak,275
@myogiadityanath,@Uppolice,267
@myogiadityanath,@AmitShah,262
@myogiadityanath,@UPRVPAS_VNS,255
@myogiadityanath,@sangSMITIMZN,192
@myogiadityanath,@EMofficeUP,181
@myogiadityanath,@BJP4India,181
@myogiadityanath,@ndtv,176
@myogiadityanath,@UppclChairman,174
@myogiadityanath,@dgpup,161
@myogiadityanath,@RahulGandhi,154
@myogiadityanath,@myogioffice,121
@myogiadityanath,@UPRVPAS,120
@myogiadityanath,@rajnathsingh,112
@myogiadityanath,@priyankagandhi,109
@myogiadityanath,@Swamy39,104
@myogiadityanath,@ABPNews,99
@myogiadityanath,@mduppcl,87
@myogiadityanath,@BJP4UP,83
@myogiadityanath,@007loku,79
@myogiadityanath,@bharatbind,75
@myogiadityanath,@yadavakhilesh,74
@myogiadityanath,@HMOIndia,74
@myogiadityanath,@INCIndia,70
@myogiadityanath,@SATEESH11222771,69
@myogiadityanath,@abhishe00518712,67
@myogiadityanath,@ndtvindia,64
@myogiadityanath,@rashtrapatibhvn,63
@myogiadityanath,@HimGangwar,60
@myogiadityanath,@Shekhar92179516,60
@myogiadityanath,@SwapnilSingh_,59
@myogiadityanath,@MinOfPower,59
@myogiadityanath,@VKSSS_VARANASI,58
@myogiadityanath,@SunilKu70709452,57
@myogiadityanath,@abhishek6164,56
@myogiadityanath,@IndiaToday,55
@myogiadityanath,@ChairmanUppcl,54
@myogiadityanath,@EddRbl,53
@myogiadityanath,@manish020290,50
@myogiadityanath,@shirodkarharshu,50
@myogiadityanath,@News24,49
@myogiadityanath,@TARUNRAJPUTMUZ1,48
@myogiadityanath,@AshokCh98754975,47
@myogiadityanath,@RaviGau36149461,45
@myogiadityanath,@JPNadda,43
@myogiadityanath,@Ashirva74058489,42
@myogiadityanath,@rishabhashu821,39
@myogiadityanath,@drdwivedisatish,39
@myogiadityanath,@Mayawati,37
@myogiadityanath,@sdotakha,37
@myogiadityanath,@ajtak_news,37
@myogiadityanath,@MD_PuVVNL,36
@myogiadityanath,@eeeudd5gzb,36
@myogiadityanath,@Invisible2me2,35
@myogiadityanath,@grv_shukla,34
@myogiadityanath,@Vipul63455559,34
@myogiadityanath,@DEEPAKM63087484,32
@myogiadityanath,@smritiirani,31
@myogiadityanath,@rsprasad,31
@myogiadityanath,@AipefIndia,30
@myogiadityanath,@ArvindKejriwal,30
@myogiadityanath,@Sonukumarpraja9,29
@myogiadityanath,@Aamitabh2,29
@myogiadityanath,@chitraaum,28
@myogiadityanath,@Jyoti53165599,27
@myogiadityanath,@htTweets,27
@myogiadityanath,@puneetuppcl,27
@myogiadityanath,@AamAadmiParty,26
@myogiadityanath,@UPPCLLKO,26
@myogiadityanath,@Republic_Bharat,25
@myogiadityanath,@rohit_dubey_,25
@myogiadityanath,@099e059902614dc,25
@myogiadityanath,@ravishndtv,25
@myogiadityanath,@ArchishaYadav,25
@myogiadityanath,@ggvpatel,24
@myogiadityanath,@ZeeNewsEnglish,24
@myogiadityanath,@kpmaurya1,24
@myogiadityanath,@AvnishK16554736,24
@myogiadityanath,@JpuppclEr,23
@myogiadityanath,@SudhanshuTrived,23
@myogiadityanath,@timesofindia,23
@myogiadityanath,@SONA_235,23
@myogiadityanath,@satishkumarjai3,22
@myogiadityanath,@UPRVPAS_Agra,22
@myogiadityanath,@goldi_kashyap,22
@myogiadityanath,@Rajivra64326908,22
@myogiadityanath,@JagranNews,21
@myogiadityanath,@TimesNow,21
@myogiadityanath,@AshishS32742900,21
@myogiadityanath,@KRISHNAMOURYA2,21
@myogiadityanath,@ErNeeraj8178,21
@myogiadityanath,@ZeeNews,21
@myogiadityanath,@SanjayAzadSln,20
@myogiadityanath,@Architguptajii,20
@myogiadityanath,@SandipSharmaEng,20
@myogiadityanath,@republic,20
@myogiadityanath,@nitin_gadkari,20
@myogiadityanath,@sdojais2,20
@myogiadityanath,@NeeleshChauha,19
@myogiadityanath,@swatantrabjp,19
@myogiadityanath,@shalabhmani,19
@myogiadityanath,@Bijli_Wale,19
@myogiadityanath,@anandgautamgkp,18
@myogiadityanath,@K_K_Ojha,18
@myogiadityanath,@satishk39558069,18
@myogiadityanath,@PTI_News,18
@myogiadityanath,@RSSorg,18
@myogiadityanath,@drdineshbjp,18
@myogiadityanath,@PrakashJavdekar,18
@myogiadityanath,@MdPvvnl,17
@myogiadityanath,@nsitharaman,17
@myogiadityanath,@Pawan0954Gupta,17
@myogiadityanath,@sambitswaraj,17
@myogiadityanath,@BhimArmyChief,17
@myogiadityanath,@KailashSinghYa8,16
@myogiadityanath,@SBamrauli,16
@myogiadityanath,@VikeshK06231910,16
@myogiadityanath,@msisodia,16
@myogiadityanath,@kush_gangwar,16
@myogiadityanath,@ashutosh83B,16
@myogiadityanath,@igrangeagra,16
@myogiadityanath,@AmarUjalaNews,15
@myogiadityanath,@UPRVPAS_MEERUT,15
@myogiadityanath,@VipinSh28727320,15
@myogiadityanath,@apAMIT1995,15
@myogiadityanath,@LalganjSdo,15
@myogiadityanath,@abpnewshindi,15
@myogiadityanath,@AmitShahOffice,15
@myogiadityanath,@KapilMishra_IND,14
@myogiadityanath,@IPS_Association,14
@myogiadityanath,@IASassociation,14
@myogiadityanath,@dev_lama07,14
@myogiadityanath,@Chandreshupadh6,14
@myogiadityanath,@Alokkum33082845,14
@myogiadityanath,@rahulkanwal,14
@myogiadityanath,@anjanaomkashyap,14
@myogiadityanath,@Girishd65440432,14
@myogiadityanath,@UpBerojgar,14
@myogiadityanath,@madhukishwar,14
@myogiadityanath,@SHIVBRATYADAV2,14
@myogiadityanath,@MilkipurSdo,14
@myogiadityanath,@KapilSibal,14
@myogiadityanath,@sdofesu1,13
@myogiadityanath,@friendsofrss,13
@myogiadityanath,@SdoKutubkhana,13
@myogiadityanath,@ashokgehlot51,13
@myogiadityanath,@rohini_sgh,13
@myogiadityanath,@LambaAlka,13
@myogiadityanath,@DelhiPolice,13
@myogiadityanath,@SonuSood,13
@myogiadityanath,@Amratsaxena,13
@myogiadityanath,@Eropkushwaha,13
@myogiadityanath,@MVenkaiahNaidu,13
@myogiadityanath,@agrapolice,13
@myogiadityanath,@o9N274dLfza1wPZ,13
@myogiadityanath,@AnupamPKher,12
@myogiadityanath,@AthwaniPri,12
@myogiadityanath,@PankajSinghBJP,12
@myogiadityanath,@AlokKum28067481,12
@myogiadityanath,@tomar_tomar,12
@myogiadityanath,@HNSingh04793472,12
@myogiadityanath,@sudhirchaudhary,12
@myogiadityanath,@raghav_chadha,12
@myogiadityanath,@RSS4India,12
@myogiadityanath,@jayantrld,12
@myogiadityanath,@brajeshlive,12
@myogiadityanath,@RichaChadha,12
@myogiadityanath,@RVPPKSUP,12
