src,dst,count
#COVID19,$113190456,53
#COVID19,$952247125185720320,21
#COVID19,$1161737207964504065,18
#COVID19,$166326763,15
#COVID19,$1290414109180256256,14
#COVID19,$1166381062248783874,12
#COVID19,$29150630,11
#COVID19,$47472163,10
#COVID19,$817825066993860608,8
#COVID19,$1287369904547495938,8
#COVID19,$1236273574895329281,7
#COVID19,$1510787130,7
#COVID19,$222648594,7
#COVID19,$1398260221,7
#COVID19,$344075523,7
#COVID19,$1238467680773894146,6
#COVID19,$1255126199149269000,6
#COVID19,$79838661,6
#COVID19,$1276615175018348545,5
#COVID19,$705846038490390528,5
#COVID19,$1020448767496028160,5
#COVID19,$1227194750715023360,5
#COVID19,$1233543129187389449,5
#COVID19,$1879618076,4
#COVID19,$283708433,4
#COVID19,$292898515,4
#COVID19,$1135926602980663296,4
#COVID19,$1207572365120393217,4
#COVID19,$1231311705084440576,4
#COVID19,$226350932,4
#COVID19,$1037600297084829697,4
#COVID19,$71634342,4
#COVID19,$174137795,4
#COVID19,$1160331909664165888,4
#COVID19,$865823924805914624,4
#COVID19,$1097809046915215360,3
#COVID19,$176399599,3
#COVID19,$194665827,3
#COVID19,$1249314426181877760,3
#COVID19,$1138511886,3
#COVID19,$851200182503059460,3
#COVID19,$1136729977641062400,3
#COVID19,$326331719,3
#COVID19,$606907410,3
#COVID19,$1925256914,3
#COVID19,$797547199928422401,3
#COVID19,$2232463302,3
#COVID19,$245687754,3
#COVID19,$889983470352650242,3
#COVID19,$820694,3
#COVID19,$2249405435,3
#COVID19,$19791605,3
#COVID19,$1188053283279114240,3
#COVID19,$2266797787,3
#COVID19,$1167387848460292099,3
#COVID19,$388602710,3
#COVID19,$1264545240414687232,3
#COVID19,$1204831301099896832,3
#COVID19,$275747585,3
#COVID19,$1177393783668793345,3
#COVID19,$1243258440258129920,2
#COVID19,$4855401508,2
#COVID19,$2789381810,2
#COVID19,$1210548832116920325,2
#COVID19,$476588950,2
#COVID19,$1247928200832966660,2
#COVID19,$106457836,2
#COVID19,$1511884508,2
#COVID19,$1212374963782438912,2
#COVID19,$1293510025680478208,2
#COVID19,$296626958,2
#COVID19,$2858793208,2
#COVID19,$2770365186,2
#COVID19,$2291114155,2
#COVID19,$875829222543151105,2
#COVID19,$25911963,2
#COVID19,$48536441,2
#COVID19,$488505706,2
#COVID19,$1103781924202373120,2
#COVID19,$1289058779263377408,2
#COVID19,$1302366649396293632,2
#COVID19,$1102700029217771522,2
#COVID19,$1239213266066460674,2
#COVID19,$18831926,2
#COVID19,$66365462,2
#COVID19,$1296134445481758721,2
#COVID19,$1099685682967121920,2
#COVID19,$1252914592063381504,2
#COVID19,$1240556073259601920,2
#COVID19,$830905941855989761,2
#COVID19,$831099292668420097,2
#COVID19,$1097139050,2
#COVID19,$876208339511889923,2
#COVID19,$326945633,2
#COVID19,$1250294191462027264,2
#COVID19,$723896723794440193,2
#COVID19,$263025363,2
#COVID19,$20293015,2
#COVID19,$1060575080856608768,2
#COVID19,$1301196739270119425,2
#COVID19,$48652378,2
#COVID19,$875755221514940417,2
#COVID19,$1301615236412329999,2
#COVID19,$19970976,2
#COVID19,$1301929596863090689,2
#COVID19,$845257036744998916,2
#COVID19,$2611766492,2
#COVID19,$21457771,2
#COVID19,$20875841,2
#COVID19,$2992259190,2
#COVID19,$208789709,2
#COVID19,$463162523,2
#COVID19,$869967070984851457,2
#COVID19,$885119428324540422,2
#COVID19,$281041461,2
#COVID19,$1955187745,2
#COVID19,$1297909530874073088,2
#COVID19,$713811745114959872,2
#COVID19,$470299753,2
#COVID19,$1298689511694561281,2
#COVID19,$1246055517635502082,2
#COVID19,$1299055978411749376,2
#COVID19,$19949202,2
