src,dst,count
#COVID19,@realDonaldTrump,10490
#COVID19,@DrEricDing,3690
#COVID19,@glamelegance,3144
#COVID19,@SJMorrison_,2983
#COVID19,@SKYRIDER4538,2410
#COVID19,@Mediavenir,1908
#COVID19,@TheSWPrincess,1704
#COVID19,@AprilDRyan,1459
#COVID19,@JoeBiden,649
#COVID19,@POTUS,575
#COVID19,@GOP,542
#COVID19,@SierraWhiskee,525
#COVID19,@FLOTUS,437
#COVID19,@GaetanEscorbiac,374
#COVID19,@mikandynothem,372
#COVID19,@blackwomenviews,357
#COVID19,@Winnie_Byanyima,284
#COVID19,@Laurie_Garrett,263
#COVID19,@DNC,225
#COVID19,@julianzelizer,224
#COVID19,@drapr007,222
#COVID19,@IMAIndiaOrg,210
#COVID19,@grantstern,204
#COVID19,@HimalayaGlobal,204
#COVID19,@newsmax,190
#COVID19,@AnonymeCitoyen,170
#COVID19,@soloyochapin,164
#COVID19,@CNN,158
#COVID19,@WhiteHouse,157
#COVID19,@SecretService,153
#COVID19,@AdrBell,152
#COVID19,@halltoons,148
#COVID19,@SenDuckworth,142
#COVID19,@MadFckingWitch,135
#COVID19,@Cartoon4sale,120
#COVID19,@ashoswai,118
#COVID19,@cardiacACCP,116
#COVID19,@BorisJohnson,111
#COVID19,@WHO,107
#COVID19,@WybrenvanHaga,107
#COVID19,@XHNews,105
#COVID19,@eruizescudero,95
#COVID19,@benshapiro,88
#COVID19,@AndyOstroy,80
#COVID19,@EckerleIsabella,80
#COVID19,@YourAnonCentral,80
#COVID19,@Craig_A_Spencer,75
#COVID19,@cris_cersei,72
#COVID19,@ColSDM,71
#COVID19,@Alyssa_Milano,65
#COVID19,@jennycohn1,62
#COVID19,@TheAtlantic,57
#COVID19,@CMonteroOficial,53
#COVID19,@Acosta,52
#COVID19,@EricTrump,49
#COVID19,@BlueTX2020,49
#COVID19,@erzaehlmirnix,48
#COVID19,@freitweeter,48
#COVID19,@carrerapulse,48
#COVID19,@itsJeffTiedrich,45
#COVID19,@kaltoons,45
#COVID19,@naretevduorp,44
#COVID19,@JohnBasham,44
#COVID19,@MBuhari,40
#COVID19,@DokterPodcast,39
#COVID19,@HotelLubyanka,36
#COVID19,@GhenhisKhan,36
#COVID19,@DietherAst,36
#COVID19,@c_drosten,35
#COVID19,@SenateGOP,35
#COVID19,@ShamikaRavi,34
#COVID19,@johncusack,34
#COVID19,@RegBerlin,33
#COVID19,@PressSec,33
#COVID19,@sonnenfeind,33
#COVID19,@Rosie_wearamask,33
#COVID19,@TalbertSwan,32
#COVID19,@disclosetv,31
#COVID19,@DrDenaGrayson,31
#COVID19,@GabrielScally,30
#COVID19,@Finanzas_Times,29
#COVID19,@_SemaHernandez_,29
#COVID19,@ANI,29
#COVID19,@TheDailyEdge,28
#COVID19,@Fginer,28
#COVID19,@nytimes,28
#COVID19,@DrZweliMkhize,27
#COVID19,@KellyannePolls,27
#COVID19,@RepMcCaul,27
#COVID19,@MikeyNog,26
#COVID19,@ProjectLincoln,25
#COVID19,@IvankaTrump,25
#COVID19,@TheRealHoarse,24
#COVID19,@LaurenPelley,24
#COVID19,@sri50,24
#COVID19,@JoeTalkShow,24
#COVID19,@TheJusticeDept,23
#COVID19,@MSNBC,22
#COVID19,@SpeakerPelosi,21
#COVID19,@gtconway3d,21
#COVID19,@ETNOWlive,20
#COVID19,@toddgillman,20
#COVID19,@StefSimanowitz,20
#COVID19,@SkyNews,20
#COVID19,@DougBillings,20
#COVID19,@FoxNews,20
#COVID19,@DrTedros,19
#COVID19,@seanhannity,19
#COVID19,@KamalaHarris,19
#COVID19,@VP,19
