src,dst,count
#PCAs,@btsvotingorg,8854
#PCAs,@BTS_twt,8061
#PCAs,@taylorswift13,7837
#PCAs,@BLACKPINK,6921
#PCAs,@selenagomez,5697
#PCAs,@CNCOmusic,3808
#PCAs,@ArianaGrande,3548
#PCAs,@steinfeldjaguar,3505
#PCAs,@peopleschoice,2183
#PCAs,@fundsforbangtan,2163
#PCAs,@bts_bighit,1754
#PCAs,@justinbieber,1476
#PCAs,@2cooI4skull,1085
#PCAs,@TayIorVoteStats,1065
#PCAs,@gavassicharts,1001
#PCAs,@5SOS,958
#PCAs,@VoteStatsSel,930
#PCAs,@eonlineFR,896
#PCAs,@ArianaVoteStats,881
#PCAs,@LinksForArmy,754
#PCAs,@WFVOTING,675
#PCAs,@minsugacheonye,664
#PCAs,@btsvotingunite,643
#PCAs,@streameilish,623
#PCAs,@STREAMCNCOBR,616
#PCAs,@TSwiftNewsLA,606
#PCAs,@iambeckyg,592
#PCAs,@BP_VotingTeam,585
#PCAs,@TSwiftNZ,556
#PCAs,@BeckyGNovedades,532
#PCAs,@ManuGavassiInfo,526
#PCAs,@SGVoteSquad,469
#PCAs,@arianagrandebr,441
#PCAs,@iamcardib,422
#PCAs,@theestallion,415
#PCAs,@chartsontaylor,400
#PCAs,@Votingnation13,399
#PCAs,@halsey,396
#PCAs,@marshmellomusic,393
#PCAs,@vgguks97,381
#PCAs,@manugavassi,371
#PCAs,@PortalGavassi,331
#PCAs,@cncomusicbra,316
#PCAs,@arianabuteranbr,312
#PCAs,@wildestscreamz,307
#PCAs,@fetishofsmg,301
#PCAs,@cncoxmexico_,286
#PCAs,@treepaine,286
#PCAs,@V0TEWITHARMY,285
#PCAs,@mygtrivias,284
#PCAs,@BlinkVotingCrew,278
#PCAs,@JhopeGlobal,275
#PCAs,@giawnbutera,273
#PCAs,@SwiftVoting13,256
#PCAs,@VoteWithA,256
#PCAs,@bitiiezvotes,255
#PCAs,@goodnightandoff,253
#PCAs,@Bitiiez,249
#PCAs,@btsroyaIty,245
#PCAs,@chancetherapper,243
#PCAs,@vantestaegi,242
#PCAs,@earpinbrasil,238
#PCAs,@breakring,236
#PCAs,@tbslomilo,235
#PCAs,@ChileMATD,235
#PCAs,@sociajaj,232
#PCAs,@BTSDailyVotesx,229
#PCAs,@arianaxlovee_,227
#PCAs,@DUALIPA,224
#PCAs,@PortalGirafa,221
#PCAs,@lenasituazions,216
#PCAs,@selenagomezbr,214
#PCAs,@_DCBRASIL,213
#PCAs,@taylornation13,210
#PCAs,@blindingrep,208
#PCAs,@twentyonepilots,207
#PCAs,@MarinaDiamandis,205
#PCAs,@PortalRanu,205
#PCAs,@dlipanation2,202
#PCAs,@eonlinebrasil,202
#PCAs,@ArianaToday,198
#PCAs,@sarasfilter,194
#PCAs,@porlasn82874691,190
#PCAs,@stolendaylights,189
#PCAs,@TChartSwift,189
#PCAs,@dualipahungary,187
#PCAs,@01Btsxarmy,182
#PCAs,@FosterTheTite,181
#PCAs,@selenavotesbr,181
#PCAs,@xtina,180
#PCAs,@shadyswift89,178
#PCAs,@dinathmicas,176
#PCAs,@pinkmouth_1,176
#PCAs,@FundsForUSARMYs,176
#PCAs,@pinkmouth_3,176
#PCAs,@JDBAnalytics,171
#PCAs,@ArianaWorldHQ,165
#PCAs,@QGdaBianca,163
#PCAs,@tuirark,160
#PCAs,@Lestrange_gp,160
#PCAs,@sampandrade,156
#PCAs,@shinesxcnco,155
#PCAs,@TSvoteTeam,155
#PCAs,@nastygrandeera,155
#PCAs,@tuittadu,153
#PCAs,@MsJaviera,152
#PCAs,@jensoolight,149
#PCAs,@ibeliebersmx,148
#PCAs,@JeonMarwaa,147
#PCAs,@drxnklisa,146
#PCAs,@kau_rabia,146
#PCAs,@TSonRadio,145
#PCAs,@xannyarctic,145
#PCAs,@SGChartUpdate,145
#PCAs,@rabiasonha,145
#PCAs,@SelGVoteStats,143
#PCAs,@taebokkiii,143
#PCAs,@CadelinhaRabia1,141
#PCAs,@Arab_Armys_Vote,141
#PCAs,@tanaritan,137
#PCAs,@PinkUnionVotes,137
#PCAs,@DoisRabia,135
#PCAs,@vitoria14315389,135
#PCAs,@kalimannwin,135
#PCAs,@eilishstay,135
#PCAs,@billsxfg,134
#PCAs,@modooborahae,134
#PCAs,@Natalya28767985,133
#PCAs,@topdinamicas,133
#PCAs,@chartsblackpink,133
#PCAs,@scooterbraun,131
#PCAs,@seoksza,131
#PCAs,@auau_rabia,131
#PCAs,@NewsWeeknd,129
#PCAs,@DdaengLife,129
#PCAs,@xtinavotes,129
#PCAs,@heavenlytswift,129
#PCAs,@bieberfever,128
#PCAs,@blinkchartdata,128
#PCAs,@onlytagss,127
#PCAs,@ygofficialblink,127
#PCAs,@bpinradio,127
#PCAs,@chartdata,125
#PCAs,@BillboardBTS20,125
#PCAs,@joelssocute,125
#PCAs,@BLACKPINKBRASIL,124
#PCAs,@tweetamika,124
#PCAs,@DanZapatters,123
#PCAs,@jackieaina,123
#PCAs,@taylorssnbhd,122
#PCAs,@biaraseis,119
#PCAs,@BigHitEnt,118
#PCAs,@normalpeople,116
#PCAs,@VMINIGGAS,115
#PCAs,@gogoarmys_,115
#PCAs,@quitvocaI,115
#PCAs,@BiIlieEilishARG,115
#PCAs,@miIonga_,114
#PCAs,@AvaMax,114
#PCAs,@arianalouis,114
#PCAs,@gainsarianafans,114
#PCAs,@iamhaunted13,114
#PCAs,@BLACKPINK4WAYS,113
#PCAs,@AoMAm63970431,112
#PCAs,@VoteWithR,112
#PCAs,@AGrandeSP,112
#PCAs,@tags_moni,112
#PCAs,@lcherrydua,112
#PCAs,@dlipanews,112
#PCAs,@BTS_History613,111
#PCAs,@nicxgrande,111
#PCAs,@xannybiI,109
#PCAs,@BPinAmerica,108
#PCAs,@maluma,108
#PCAs,@scrofantastic,107
#PCAs,@yesmrsclarke,107
#PCAs,@AudrieOT7,107
#PCAs,@repslover13,106
#PCAs,@REDloreoutsold,104
#PCAs,@JhopeVotingTeam,104
#PCAs,@ColeSprouseBRA,104
#PCAs,@LISAVotingTeam,104
#PCAs,@theweeknd,104
#PCAs,@votarrabia13,103
#PCAs,@dualipaclube,102
#PCAs,@nastysquit,102
#PCAs,@hobious,102
#PCAs,@AGrandeAO,102
#PCAs,@EUPH0RIAL0VE,101
#PCAs,@ChartsKarolG,101
#PCAs,@usedtomaggie,100
#PCAs,@justlovinswift,100
#PCAs,@loyalbravetruex,100
#PCAs,@Tbeybeboy,99
#PCAs,@taysdevil,99
#PCAs,@momarmymex,99
#PCAs,@mes_bts,98
#PCAs,@cnco_lov3,98
#PCAs,@sassyselener,97
#PCAs,@ARMYTEAMIDN,96
#PCAs,@folkloreos,95
#PCAs,@bestlovedol_bts,95
#PCAs,@DisneysMulan,94
#PCAs,@PandasDaManu,94
#PCAs,@Born2Bredarmy,93
#PCAs,@drewstreaming,93
#PCAs,@MissAmericHANA,91
#PCAs,@BangtanINDIA,91
#PCAs,@giawmiller,90
#PCAs,@dacii13,90
#PCAs,@glossywallows,90
#PCAs,@PortalRabia,90
