src,dst,count
@myogiadityanath,#savePuVVNL,1974
@myogiadityanath,#savepowersectorindia,1921
@myogiadityanath,#StopPrivatisation_SaveGovtJob,233
@myogiadityanath,#savegovtjobs,72
@myogiadityanath,#savepuvvnl,51
@myogiadityanath,#HathrasCase,35
@myogiadityanath,#कांग्रेस_की_साजिश_हाथरस,25
@myogiadityanath,#YogiModiMurdabad,24
@myogiadityanath,#stopuppclprivatisation,24
@myogiadityanath,#हाथरस,24
@myogiadityanath,#Hathras,20
@myogiadityanath,#WeSupportYogiGovernment,20
@myogiadityanath,#stopprivatisation_save,19
@myogiadityanath,#StopPrivatisation,15
@myogiadityanath,#saveuppcl,13
@myogiadityanath,#HathrasHorror,11
@myogiadityanath,#HathrasHorrorShocksIndia,10
@myogiadityanath,#NPSनिजीकरणभारतछोड़ो,10
@myogiadityanath,#JusticeForManishValmiki,10
@myogiadityanath,#HathrasTruthExposed,9
@myogiadityanath,#court_ka_samman_kro,9
@myogiadityanath,#urdu4000bharti_puri_kro,9
@myogiadityanath,#JusticeForManishaValmiki,8
@myogiadityanath,#berozgaron_ka_kalyan_kro,7
@myogiadityanath,#JusticeForIndiasDaughters,7
@myogiadityanath,#Technician_line_4102_Post_बहाल_करो,7
@myogiadityanath,#stopuppclprivatization,6
@myogiadityanath,#सिर्फ_नेता_को_पैरोल_क्यों,5
@myogiadityanath,#YogiAdityanath,5
@myogiadityanath,#JusticeForManisha,5
@myogiadityanath,#CBI,4
@myogiadityanath,#HathrasMeinVulturePolitics,4
@myogiadityanath,#RajasthanHorror,4
@myogiadityanath,#हमारे_चहेते_योगी_बाबा,4
@myogiadityanath,#stopuppclprivatisation_save_govt_job,4
@myogiadityanath,#UttarPradesh,4
@myogiadityanath,#Stopuppclprivatistion,4
@myogiadityanath,#RE,4
@myogiadityanath,#savepowersectorIndia,4
@myogiadityanath,#MadhurForDalitLeader,4
@myogiadityanath,#JusticeForDalits,4
@myogiadityanath,#32022_बीपीएड_नियुक्ति_पत्र_जारी_करे,4
@myogiadityanath,#HathrasVictim,3
@myogiadityanath,#ShameOnYogi,3
@myogiadityanath,#stopprivatizationuppcl,3
@myogiadityanath,#FakeGhandhi,3
@myogiadityanath,#MeriBhiBetiHai,3
@myogiadityanath,#hathras,3
@myogiadityanath,#HangRapistsPublically,3
@myogiadityanath,#भारतीय_शक्ति_चेतना_पार्टी,3
@myogiadityanath,#BJPHataoBetiBachao,3
@myogiadityanath,#npsgoback,3
@myogiadityanath,#पूछता_है_भारत,3
@myogiadityanath,#69000_शिक्षक_भर्ती,3
@myogiadityanath,#हिंदुओं_से_घृणा,3
@myogiadityanath,#सनातन_धर्म_से_घृणा,3
@myogiadityanath,#mondaythoughts,3
@myogiadityanath,#stopprivatisationsavegov,3
@myogiadityanath,#योगी,3
@myogiadityanath,#Sanatan_dharm_phobia,3
@myogiadityanath,#उत्तरप्रदेश,3
@myogiadityanath,#Sanatanphobia,3
@myogiadityanath,#YogiMustResign,3
@myogiadityanath,#YogiResignNOW,3
@myogiadityanath,#हाथरस_का_सच,3
@myogiadityanath,#UPGovernment,3
@myogiadityanath,#Hinduphobia,3
@myogiadityanath,#SlogansAgainstAtrocitiesOf,3
@myogiadityanath,#satyagrahfordaughterofhathras,3
@myogiadityanath,#Sanatan_phobia,3
@myogiadityanath,#JusticeForRajasthanVictims,3
@myogiadityanath,#Sanatandharmphobia,3
@myogiadityanath,#अनुदेशक,2
