src,dst,count
#Corona|#Coronvirus,#CBIProbeDishaMurder,1672
#Corona|#Coronvirus,#COVID19,1100
#Corona|#Coronvirus,#302ForSSR,63
#Corona|#Coronvirus,#coronavirus,55
#Corona|#Coronvirus,#ReleaseSaahilChoudhary,34
#Corona|#Coronvirus,#Asia,32
#Corona|#Coronvirus,#American,29
#Corona|#Coronvirus,#money,28
#Corona|#Coronvirus,#CBIFile302InSSRCase,28
#Corona|#Coronvirus,#European,28
#Corona|#Coronvirus,#football,28
#Corona|#Coronvirus,#USD,28
#Corona|#Coronvirus,#initiativeq,28
#Corona|#Coronvirus,#music,28
#Corona|#Coronvirus,#HathrasHorrorShocksIndia,26
#Corona|#Coronvirus,#mentalhealth,26
#Corona|#Coronvirus,#Coronavirus,19
#Corona|#Coronvirus,#explosion,19
#Corona|#Coronvirus,#Cuba,18
#Corona|#Coronvirus,#NitishRane,15
#Corona|#Coronvirus,#DishaSalian,12
#Corona|#Coronvirus,#30settembre,11
#Corona|#Coronvirus,#China,10
#Corona|#Coronvirus,#Corona,10
#Corona|#Coronvirus,#stocks,10
#Corona|#Coronvirus,#SomosCuba,10
#Corona|#Coronvirus,#free,10
#Corona|#Coronvirus,#Azerbaijan,10
#Corona|#Coronvirus,#Trump,9
#Corona|#Coronvirus,#StockMarket,9
#Corona|#Coronvirus,#Pennystocks,9
#Corona|#Coronvirus,#ManishaValmiki,9
#Corona|#Coronvirus,#Canada,9
#Corona|#Coronvirus,#COVIDIOTS,9
#Corona|#Coronvirus,#FuerzaCuba,8
#Corona|#Coronvirus,#Milwaukee,8
#Corona|#Coronvirus,#SARSCoV2,8
#Corona|#Coronvirus,#MentalHealth,8
#Corona|#Coronvirus,#CubaPorLaVida,8
#Corona|#Coronvirus,#COVID,8
#Corona|#Coronvirus,#Armenia,8
#Corona|#Coronvirus,#Debates2020,8
#Corona|#Coronvirus,#shutupman,8
#Corona|#Coronvirus,#Covid_19,7
#Corona|#Coronvirus,#HandeErcel,7
#Corona|#Coronvirus,#carsamba,6
#Corona|#Coronvirus,#Technology,6
#Corona|#Coronvirus,#HathrasCase,6
#Corona|#Coronvirus,#lockdown,6
#Corona|#Coronvirus,#COVIDー19,6
#Corona|#Coronvirus,#JusticeForSSR,6
#Corona|#Coronvirus,#JusticeForManishaValmiki,6
#Corona|#Coronvirus,#COVID__19,6
#Corona|#Coronvirus,#UK,6
#Corona|#Coronvirus,#BoycottKBC2020,5
#Corona|#Coronvirus,#JusticeForManisha,5
#Corona|#Coronvirus,#BHAMUN,5
#Corona|#Coronvirus,#Africa,5
#Corona|#Coronvirus,#Christianity,5
#Corona|#Coronvirus,#CanYaman,5
#Corona|#Coronvirus,#Bible,5
#Corona|#Coronvirus,#JornadasSigno,5
#Corona|#Coronvirus,#Azərbaycan,5
#Corona|#Coronvirus,#anxiety,5
#Corona|#Coronvirus,#MentalHealthAwareness,5
#Corona|#Coronvirus,#ajdapekkan,5
#Corona|#Coronvirus,#The100,5
#Corona|#Coronvirus,#US,5
#Corona|#Coronvirus,#Jesus,5
#Corona|#Coronvirus,#Islam,5
#Corona|#Coronvirus,#Aboubakar,5
#Corona|#Coronvirus,#SSR,5
#Corona|#Coronvirus,#news,5
#Corona|#Coronvirus,#RIP,5
#Corona|#Coronvirus,#October,5
#Corona|#Coronvirus,#MentalHealthMatters,5
#Corona|#Coronvirus,#RT,5
#Corona|#Coronvirus,#Weekend,5
#Corona|#Coronvirus,#Clown,5
#Corona|#Coronvirus,#WednesdayMotivation,5
#Corona|#Coronvirus,#schoolsreopening,5
#Corona|#Coronvirus,#Fashion,4
#Corona|#Coronvirus,#Europe,4
#Corona|#Coronvirus,#210YearsWithPeugeot,4
#Corona|#Coronvirus,#ShirleyBannister,4
#Corona|#Coronvirus,#Samsung,4
#Corona|#Coronvirus,#CBIUnfoldSSRMystery,4
#Corona|#Coronvirus,#Christ,4
#Corona|#Coronvirus,#Lord,4
#Corona|#Coronvirus,#Japan,4
#Corona|#Coronvirus,#VoteHimOut,4
#Corona|#Coronvirus,#NHS,4
#Corona|#Coronvirus,#Christian,4
#Corona|#Coronvirus,#PTSD,4
#Corona|#Coronvirus,#OPPO,4
#Corona|#Coronvirus,#CBI,4
#Corona|#Coronvirus,#DELL,4
#Corona|#Coronvirus,#sport,4
#Corona|#Coronvirus,#Microsoft,4
#Corona|#Coronvirus,#Cisco,4
#Corona|#Coronvirus,#depression,4
#Corona|#Coronvirus,#JasticeforSSRSushant,4
#Corona|#Coronvirus,#Toulouse,4
#Corona|#Coronvirus,#Hathras,4
#Corona|#Coronvirus,#NWO,4
#Corona|#Coronvirus,#Sport,4
#Corona|#Coronvirus,#Vermont,4
#Corona|#Coronvirus,#Warriors4SSR,4
#Corona|#Coronvirus,#truth,4
#Corona|#Coronvirus,#Nokia,4
#Corona|#Coronvirus,#Love,4
#Corona|#Coronvirus,#BrunoLemaire,4
#Corona|#Coronvirus,#ClimateChange,4
#Corona|#Coronvirus,#Apple,4
#Corona|#Coronvirus,#Women,4
#Corona|#Coronvirus,#Music,4
#Corona|#Coronvirus,#Russia,4
#Corona|#Coronvirus,#CVD,4
#Corona|#Coronvirus,#Iran,4
#Corona|#Coronvirus,#TrumpVsBiden,4
#Corona|#Coronvirus,#Flu,4
#Corona|#Coronvirus,#Brazil,4
#Corona|#Coronvirus,#Mexico,4
#Corona|#Coronvirus,#Huawei,4
#Corona|#Coronvirus,#Atheists,4
#Corona|#Coronvirus,#Australia,4
#Corona|#Coronvirus,#bbxeftiles,4
#Corona|#Coronvirus,#Azerbeycan,4
#Corona|#Coronvirus,#BidenHarris,4
#Corona|#Coronvirus,#Wisconsin,4
#Corona|#Coronvirus,#Google,4
#Corona|#Coronvirus,#Vodafone,4
#Corona|#Coronvirus,#Sony,4
#Corona|#Coronvirus,#Turkey,4
#Corona|#Coronvirus,#Lenovo,4
#Corona|#Coronvirus,#Atheist,4
#Corona|#Coronvirus,#Florida,4
#Corona|#Coronvirus,#uominiedonne,4
#Corona|#Coronvirus,#God,4
#Corona|#Coronvirus,#ReleaseSaahilChoudharyNow,4
#Corona|#Coronvirus,#applewatch6,4
#Corona|#Coronvirus,#TamilNadu,4
#Corona|#Coronvirus,#travel,4
#Corona|#Coronvirus,#Berlin,4
#Corona|#Coronvirus,#MEK,4
#Corona|#Coronvirus,#Latin,4
#Corona|#Coronvirus,#CovidUK,3
#Corona|#Coronvirus,#Ontario,3
#Corona|#Coronvirus,#HealthMonitoring,3
#Corona|#Coronvirus,#UNGA,3
#Corona|#Coronvirus,#Worlds2020,3
#Corona|#Coronvirus,#BoycottBollywoodDruggies,3
#Corona|#Coronvirus,#BREAKING,3
#Corona|#Coronvirus,#JoeBiden,3
#Corona|#Coronvirus,#POTUS,3
#Corona|#Coronvirus,#BorisJohnson,3
#Corona|#Coronvirus,#TeatroApolo,3
#Corona|#Coronvirus,#SuicidePrevention,3
#Corona|#Coronvirus,#uk,3
#Corona|#Coronvirus,#Scotland,3
#Corona|#Coronvirus,#Corning,3
#Corona|#Coronvirus,#Debate2020,3
#Corona|#Coronvirus,#PresidentialDebate,3
#Corona|#Coronvirus,#Plandemic,3
#Corona|#Coronvirus,#Merkel,3
#Corona|#Coronvirus,#Maskenpflicht,3
#Corona|#Coronvirus,#NagornoKarabakh,3
#Corona|#Coronvirus,#Paris,3
#Corona|#Coronvirus,#Gesundheitsverhalten,3
#Corona|#Coronvirus,#IStandwithSahilChoudhary,3
#Corona|#Coronvirus,#ReleaseSaahil,3
#Corona|#Coronvirus,#PresidentialDebate2020,3
#Corona|#Coronvirus,#HathrasHorror,3
#Corona|#Coronvirus,#italy,3
#Corona|#Coronvirus,#RolandGarros,3
#Corona|#Coronvirus,#the100leaked,3
#Corona|#Coronvirus,#JusticeForHathrasVictim,3
#Corona|#Coronvirus,#FlucVaccine,3
#Corona|#Coronvirus,#cities,3
#Corona|#Coronvirus,#stress,3
#Corona|#Coronvirus,#COVIDIDIOTS,3
#Corona|#Coronvirus,#PMQs,3
#Corona|#Coronvirus,#kn95,2
#Corona|#Coronvirus,#PandemicLife,2
#Corona|#Coronvirus,#ffp2,2
#Corona|#Coronvirus,#Dejoy,2
#Corona|#Coronvirus,#BOOM,2
#Corona|#Coronvirus,#neymarracist,2
#Corona|#Coronvirus,#KadeswaraCSubramaniam,2
#Corona|#Coronvirus,#VoteEarly,2
#Corona|#Coronvirus,#SerieA,2
#Corona|#Coronvirus,#BhadrakFightAgainstCorona,2
#Corona|#Coronvirus,#PCRtest,2
#Corona|#Coronvirus,#MaskUpAmerica,2
#Corona|#Coronvirus,#Texas,2
#Corona|#Coronvirus,#Arizona,2
#Corona|#Coronvirus,#Masks,2
#Corona|#Coronvirus,#Calcio,2
#Corona|#Coronvirus,#SCOTUS,2
#Corona|#Coronvirus,#cancer,2
#Corona|#Coronvirus,#retail,2
#Corona|#Coronvirus,#USPS,2
#Corona|#Coronvirus,#CrossFit,2
#Corona|#Coronvirus,#DemCastFL,2
#Corona|#Coronvirus,#culture,2
#Corona|#Coronvirus,#murduson,2
#Corona|#Coronvirus,#mascarillas,2
#Corona|#Coronvirus,#MascarillaHigienica,2
#Corona|#Coronvirus,#ferreteria,2
#Corona|#Coronvirus,#LasVacunasFuncionan,2
#Corona|#Coronvirus,#KeepAmericaGreat,2
#Corona|#Coronvirus,#Norway,2
#Corona|#Coronvirus,#ventes,2
#Corona|#Coronvirus,#mascarilla,2
#Corona|#Coronvirus,#Espana,2
#Corona|#Coronvirus,#automotive,2
#Corona|#Coronvirus,#cdnpoli,2
#Corona|#Coronvirus,#ontario,2
#Corona|#Coronvirus,#RG2020,2
#Corona|#Coronvirus,#alcohol,2
#Corona|#Coronvirus,#supermercados,2
#Corona|#Coronvirus,#gym,2
#Corona|#Coronvirus,#Innovation,2
#Corona|#Coronvirus,#Maske,2
#Corona|#Coronvirus,#LaEmocionDeDiasNaranjas,2
#Corona|#Coronvirus,#Georgia,2
#Corona|#Coronvirus,#UnaHistoriadeEvolución,2
#Corona|#Coronvirus,#NorthCarolina,2
#Corona|#Coronvirus,#BoeingInspires,2
#Corona|#Coronvirus,#Election2020,2
#Corona|#Coronvirus,#gel,2
#Corona|#Coronvirus,#Robots,2
#Corona|#Coronvirus,#industria,2
#Corona|#Coronvirus,#NBAFinals,2
#Corona|#Coronvirus,#MailinVoting,2
#Corona|#Coronvirus,#trump,2
#Corona|#Coronvirus,#commerce,2
#Corona|#Coronvirus,#QIreland,2
#Corona|#Coronvirus,#FalsaPandemia,2
#Corona|#Coronvirus,#evolution,2
#Corona|#Coronvirus,#ramagopalan,2
#Corona|#Coronvirus,#DIY,2
#Corona|#Coronvirus,#STRONGSTARTraining,2
#Corona|#Coronvirus,#ICU,2
#Corona|#Coronvirus,#Ideation,2
#Corona|#Coronvirus,#BelarusProtest,2
#Corona|#Coronvirus,#suministros,2
#Corona|#Coronvirus,#invest,2
#Corona|#Coronvirus,#SuhanaKhan,2
#Corona|#Coronvirus,#Bihar,2
#Corona|#Coronvirus,#スタート群馬,2
#Corona|#Coronvirus,#phobia,2
#Corona|#Coronvirus,#Salud,2
#Corona|#Coronvirus,#KomezaUmurimo,2
#Corona|#Coronvirus,#BreakingNews,2
#Corona|#Coronvirus,#bluemel,2
#Corona|#Coronvirus,#MIG,2
#Corona|#Coronvirus,#OrangeShirtDay2020,2
#Corona|#Coronvirus,#Nirbhaya,2
#Corona|#Coronvirus,#ruraltourism,2
#Corona|#Coronvirus,#Guadeloupe,2
#Corona|#Coronvirus,#NATO,2
#Corona|#Coronvirus,#COVID19de,2
#Corona|#Coronvirus,#illusion,2
#Corona|#Coronvirus,#RuralIndia,2
#Corona|#Coronvirus,#AddBrain_Inc,2
#Corona|#Coronvirus,#lovelife,2
#Corona|#Coronvirus,#StandWithAazad,2
#Corona|#Coronvirus,#RIPManishaValmiki,2
#Corona|#Coronvirus,#nature,2
#Corona|#Coronvirus,#fear,2
#Corona|#Coronvirus,#laradiodusavoir,2
#Corona|#Coronvirus,#okboomer,2
#Corona|#Coronvirus,#BeThe1To,2
#Corona|#Coronvirus,#begov,2
#Corona|#Coronvirus,#SuicideAwareness,2
#Corona|#Coronvirus,#HathrasMurder,2
#Corona|#Coronvirus,#EUChildForum,2
#Corona|#Coronvirus,#ol,2
#Corona|#Coronvirus,#calcio,2
#Corona|#Coronvirus,#Syria,2
