src,dst,count
#Azerbaijan,#Martuni,150
#Azerbaijan,#France,123
#Azerbaijan,#Artsakh,112
#Azerbaijan,#Turkey,81
#Azerbaijan,#LeMonde,68
#Azerbaijan,#Armenia,61
#Azerbaijan,#PressFreedom,21
#Azerbaijan,#HumanRights,21
#Azerbaijan,#StopAzerbaijaniAggression,14
#Azerbaijan,#ArtsakhStrong,12
#Azerbaijan,#Karabakh,12
#Azerbaijan,#Hadrut,11
#Azerbaijan,#terrorist,10
#Azerbaijan,#civilian,9
#Azerbaijan,#Armenian,5
#Azerbaijan,#Martakert,5
#Azerbaijan,#StopAliyev,5
#Azerbaijan,#minorities,4
#Azerbaijan,#ArmeniaStrong,4
#Azerbaijan,#Talysh,4
#Azerbaijan,#NagornoKarabakh,3
#Azerbaijan,#StopArmenianOccupation,3
#Azerbaijan,#TurkeyIsATerrorState,2
#Azerbaijan,#Journalists,2
#Azerbaijan,#StopArmenianAggression,2
#Azerbaijan,#Stepanakert,2
#Azerbaijan,#Azerbaijani,2
#Azerbaijan,#citizens,2
#Azerbaijan,#reporters,2
#Azerbaijan,#Aliyev,2
#Azerbaijan,#SanctionTurkey,2
#Azerbaijan,#BREAKING,2
#Azerbaijan,#Libya,2
#Azerbaijan,#NagornoKarabagh,2
#Azerbaijan,#KarabakhisAzerbaijan,2
#Azerbaijan,#Syria,2
#Azerbaijan,#StopAzerbaijaniAgression,2
#Azerbaijan,#StopTurkey,2
#Azerbaijan,#StopErdogan,2
#Azerbaijan,#Askeran,1
#Azerbaijan,#Terror,1
#Azerbaijan,#Syrian,1
#Azerbaijan,#operation,1
#Azerbaijan,#clear,1
#Azerbaijan,#LongLiveAzerbaijanArmy,1
#Azerbaijan,#FakeNews,1
#Azerbaijan,#Missiles,1
#Azerbaijan,#COVID,1
#Azerbaijan,#turkey,1
#Azerbaijan,#Pakistan,1
#Azerbaijan,#AzerbaijanNotAlone,1
#Azerbaijan,#Humanrights,1
#Azerbaijan,#AzerbaijaniAggression,1
#Azerbaijan,#StopTurkishAggression,1
#Azerbaijan,#WeWillWin,1
#Azerbaijan,#ArtsakhIsArmenia,1
#Azerbaijan,#ArstakhStrong,1
#Azerbaijan,#dictatorship,1
#Azerbaijan,#democracy,1
#Azerbaijan,#NK,1
#Azerbaijan,#Israel,1
#Azerbaijan,#WarInKarabakh,1
#Azerbaijan,#NKpeace,1
#Azerbaijan,#Caucasus,1
#Azerbaijan,#Azerbaycan,1
#Azerbaijan,#Barda,1
#Azerbaijan,#StopAzerbaijan,1
#Azerbaijan,#KarabakhStrong,1
#Azerbaijan,#Ombudsman,1
#Azerbaijan,#terrorism,1
#Azerbaijan,#Iran,1
#Azerbaijan,#StateSponsorsofTerrorism,1
#Azerbaijan,#Smerch,1
#Azerbaijan,#Update,1
#Azerbaijan,#WarCrime,1
#Azerbaijan,#Turkish,1
#Azerbaijan,#count,1
#Azerbaijan,#calculator,1
#Azerbaijan,#Armenians,1
#Azerbaijan,#ArtsakhStong,1
#Azerbaijan,#StopAliev,1
#Azerbaijan,#NKPeace,1
#Azerbaijan,#video,1
#Azerbaijan,#civilians,1
#Azerbaijan,#army,1
#Azerbaijan,#LongLiveAzerbaijan,1
#Azerbaijan,#Civilian,1
#Azerbaijan,#citizen,1
#Azerbaijan,#Tartar,1
#Azerbaijan,#Հաղթելու_ենք,1
#Azerbaijan,#mercenaries,1
#Azerbaijan,#StopAzeriAgression,1
#Azerbaijan,#Breaking,1
#Azerbaijan,#NKRpeace,1
#Azerbaijan,#State_Sponsors_of_Terrorism,1
