src,dst,count
#BLACKPINK,@BLACKPINK,1978
#BLACKPINK,@selenagomez,158
#BLACKPINK,@thefilopinks,91
#BLACKPINK,@chartsblackpink,65
#BLACKPINK,@BlinkVotingCrew,54
#BLACKPINK,@BLACKPINKGLOBAL,46
#BLACKPINK,@BLINKmf,46
#BLACKPINK,@GlobalBlackPink,44
#BLACKPINK,@featpinks,43
#BLACKPINK,@kingrubyjane,43
#BLACKPINK,@bpbillboard,38
#BLACKPINK,@BP_VotingTeam,33
#BLACKPINK,@soompi,30
#BLACKPINK,@iamfansey,29
#BLACKPINK,@BESTGIRLROSlE,25
#BLACKPINK,@alasunokim,25
#BLACKPINK,@bpinradio,21
#BLACKPINK,@BPWorldwider,21
#BLACKPINK,@cblinkeuu,20
#BLACKPINK,@lalisavillain,19
#BLACKPINK,@smolkjn,19
#BLACKPINK,@lisalareine,18
#BLACKPINK,@lovejenniekim_,18
#BLACKPINK,@ultkmjisoo,17
#BLACKPINK,@roseforjoy,16
#BLACKPINK,@charismaticsoo,16
#BLACKPINK,@jenlisaaa_,16
#BLACKPINK,@IntelBLACKPINK,15
#BLACKPINK,@wonderpuiz,14
#BLACKPINK,@clingychonga,14
#BLACKPINK,@rosesroesie,14
#BLACKPINK,@BLACKPINK_PH,14
#BLACKPINK,@lisailoveyouto,13
#BLACKPINK,@rosiechixks,13
#BLACKPINK,@lisative,13
#BLACKPINK,@BLACKPINKFML,12
#BLACKPINK,@jenlistans,11
#BLACKPINK,@THEBARPINKS,11
#BLACKPINK,@aripinkwhen,11
#BLACKPINK,@kjnbabi,11
#BLACKPINK,@GODYVESROSIE,11
#BLACKPINK,@ygofficialblink,10
#BLACKPINK,@BPINKLATINO,10
#BLACKPINK,@WorldwideBLINK,10
#BLACKPINK,@lisasbtch_,9
#BLACKPINK,@peopleschoice,9
#BLACKPINK,@ch4englaurent,8
#BLACKPINK,@ilylisa_,8
#BLACKPINK,@blinking4pinks,8
#BLACKPINK,@BLACKPINK712718,8
#BLACKPINK,@jnkivrogne,8
#BLACKPINK,@97CHAELISEY,8
#BLACKPINK,@bpforliiife,8
#BLACKPINK,@charts_yg,7
#BLACKPINK,@G0DTIERPINKS,7
#BLACKPINK,@lomlkjn,7
#BLACKPINK,@jennndeukie_,7
#BLACKPINK,@geoblinkeu,7
#BLACKPINK,@eliepottt,7
#BLACKPINK,@BLINKVotingPage,6
#BLACKPINK,@LOVESICKFORBP,6
#BLACKPINK,@fetishforsell,6
#BLACKPINK,@WBP1327__,6
#BLACKPINK,@topniJennie,5
#BLACKPINK,@rosielestial,5
#BLACKPINK,@BLACKPINKENT_,5
#BLACKPINK,@groovylalisa,5
#BLACKPINK,@jennierubyji,5
#BLACKPINK,@JNKSTREET,5
#BLACKPINK,@chaeyfuls,5
#BLACKPINK,@all_4blackpink,4
#BLACKPINK,@BTS_twt,4
#BLACKPINK,@rubyjanekimx,4
#BLACKPINK,@jenniedesteen,4
#BLACKPINK,@blackpinksclown,4
#BLACKPINK,@_JNKPRINT,4
#BLACKPINK,@CNCOmusic,4
#BLACKPINK,@s4ssypinks,4
#BLACKPINK,@happyblinksph,4
#BLACKPINK,@foreverot4blink,4
#BLACKPINK,@sooyaaa_babo,4
#BLACKPINK,@blackbeautpink,4
#BLACKPINK,@stream_bp,4
#BLACKPINK,@blinksassemble,4
#BLACKPINK,@kaiverses,4
#BLACKPINK,@BLVKP1NK,4
#BLACKPINK,@chloexhalle,4
#BLACKPINK,@jenymilkeu,4
#BLACKPINK,@jennie_grizzi,4
#BLACKPINK,@jennierazzi,3
#BLACKPINK,@lalisafuls,3
#BLACKPINK,@minutejen,3
#BLACKPINK,@Rosiebiased_,3
#BLACKPINK,@Lesyeuxdechinni,3
#BLACKPINK,@youblinku,3
#BLACKPINK,@chaengsboo,3
#BLACKPINK,@H0ELYLISA,3
#BLACKPINK,@wayesel,3
#BLACKPINK,@MAINRAPPER1996,3
#BLACKPINK,@kwatro457,3
#BLACKPINK,@BPGVotingPHL,3
#BLACKPINK,@adorablejennie,3
#BLACKPINK,@sucker4bp,3
#BLACKPINK,@pochininii,3
#BLACKPINK,@bpjnini,3
#BLACKPINK,@rapgodlali,3
#BLACKPINK,@kjnhoenly,2
#BLACKPINK,@elysianJiso0,2
#BLACKPINK,@NiniAndLili23,2
#BLACKPINK,@jijeroli_chclt,2
#BLACKPINK,@AbbySy7,2
#BLACKPINK,@jisoossidehoe,2
#BLACKPINK,@Lsglobal_,2
#BLACKPINK,@kabarblackpink,2
#BLACKPINK,@kissugbye,2
#BLACKPINK,@blackkbangtannn,2
#BLACKPINK,@blackpin,2
#BLACKPINK,@RUBYRULES1166,2
#BLACKPINK,@sooya_angel,2
#BLACKPINK,@jishooktt,2
#BLACKPINK,@AUSSIESARER0SIE,2
#BLACKPINK,@Ms_Ace1,2
#BLACKPINK,@reenabibs,2
#BLACKPINK,@manduujenniee,2
#BLACKPINK,@lovejnk_,2
#BLACKPINK,@kindalisayah,2
#BLACKPINK,@rappernini,2
#BLACKPINK,@oxxyjen,2
#BLACKPINK,@blackpinkxkth,2
#BLACKPINK,@lalichuswifts,2
#BLACKPINK,@NiarNavarro,2
#BLACKPINK,@BLACKPINK4WAYS,2
#BLACKPINK,@bpyoutubedata,2
#BLACKPINK,@itsjlcvs,2
#BLACKPINK,@mandUwUkim,2
#BLACKPINK,@143shinyo,2
#BLACKPINK,@juloveforever17,2
#BLACKPINK,@redqueenlm,2
#BLACKPINK,@feltbittersweet,2
#BLACKPINK,@immablinky,2
#BLACKPINK,@jenlisa23__,2
#BLACKPINK,@jenniekimbrasil,2
#BLACKPINK,@kchartsmaster,2
#BLACKPINK,@myrubyjennie,2
#BLACKPINK,@ashterpinks,2
#BLACKPINK,@SantaKpop,2
#BLACKPINK,@_Jisoooyaaa,2
#BLACKPINK,@blackpinkshazam,2
#BLACKPINK,@sooyaniee,2
#BLACKPINK,@glosssss_,2
#BLACKPINK,@lalisaaaaa__,2
#BLACKPINK,@superiorpinks_,2
#BLACKPINK,@chaeylu,2
#BLACKPINK,@TepLovesBP,2
#BLACKPINK,@for_jisoo_only,2
#BLACKPINK,@Rosiemyloves,2
#BLACKPINK,@jennierubytsty,2
#BLACKPINK,@ememinems_,2
#BLACKPINK,@DI0RTL,2
#BLACKPINK,@jenyourarea,2
#BLACKPINK,@blackpinkbabo,2
