src,dst,count
#BTS,#PCAs,172
#BTS,#TheGroup,145
#BTS,#BLACKPINK,8
#BTS,#Dynamite,6
#BTS,#pcas,6
#BTS,#Jimin,6
#BTS,#TheAlbum,4
#BTS,#MapOfTheSoul7,4
#BTS,#DNA11억뷰,4
#BTS,#CardiB,3
#BTS,#Jhope,3
#BTS,#Jin,3
#BTS,#JungKook,3
#BTS,#LouisTomilson,3
#BTS,#Suga,3
#BTS,#TaeHyung,3
#BTS,#ExaArmy,3
#BTS,#TheMusicVideo,3
#BTS,#방탄소년단,3
#BTS,#DNA1_1B,3
#BTS,#Artistoftheyear,3
#BTS,#DinamitaMarquina,2
#BTS,#SUPERM,2
#BTS,#DynamiteEnTuPlaneta,2
#BTS,#TheSong,2
#BTS,#ARMYSelcaDay,2
#BTS,#JIMIN,2
#BTS,#CNS200M,2
#BTS,#BTS_DYNAMITE,1
#BTS,#BTSMilitary,1
#BTS,#PCAS,1
#BTS,#방탄소년단RM,1
#BTS,#BTSArmy,1
#BTS,#BBMAs,1
