from,to,count
#BTS,$1260118593972219904,3
#BTS,$918112991656083456,2
#BTS,$1294246695182589953,2
#BTS,$1120345845470097408,2
#BTS,$2929555561,2
#BTS,$1254633872786104320,2
#BTS,$1249451044385390592,2
#BTS,$858731841674633216,2
#BTS,$1298481166543020032,2
#BTS,$1036474074656997376,2
#BTS,$987335633910804481,2
#BTS,$1205479263144513536,2
#BTS,$1269573616288423936,1
#BTS,$1113807841226252288,1
#BTS,$390518680,1
#BTS,$1196860373330214912,1
#BTS,$1218896959202897921,1
#BTS,$1293051274502352897,1
#BTS,$1272513342708477952,1
#BTS,$1290507441247932416,1
#BTS,$1285526841965473794,1
#BTS,$1288026773234491392,1
#BTS,$3353423111,1
#BTS,$1179727439779553280,1
#BTS,$840411927683584000,1
#BTS,$1068460738253975552,1
#BTS,$1917163932,1
#BTS,$1293709130985766922,1
#BTS,$1088658816390946816,1
#BTS,$919450268848209920,1
#BTS,$936156536119877632,1
#BTS,$919546887014776832,1
#BTS,$916109449365831681,1
#BTS,$62052166,1
#BTS,$949833657199484928,1
#BTS,$1001363588,1
#BTS,$977126966737428480,1
#BTS,$4327954647,1
#BTS,$1216413627604824065,1
#BTS,$1017763933,1
#BTS,$894586491418148864,1
#BTS,$1295209257558609920,1
#BTS,$1259318198161178625,1
#BTS,$1226895885235294208,1
#BTS,$994823001748144128,1
#BTS,$947130496487538688,1
#BTS,$885666488023003141,1
#BTS,$835126051541934082,1
#BTS,$830990980023070721,1
#BTS,$627868212,1
#BTS,$158745359,1
#BTS,$1040382605026181121,1
#BTS,$1300553172465807360,1
#BTS,$1270944458964520960,1
#BTS,$1253280451013181441,1
#BTS,$1236674375434113025,1
#BTS,$1180145341384904704,1
#BTS,$1180114857971998721,1
#BTS,$1158338022,1
#BTS,$1106020651918192640,1
#BTS,$1090891255809273856,1
#BTS,$1280100166209433600,1
#BTS,$1239454981662691328,1
#BTS,$1150758853526425600,1
#BTS,$1079554586753429504,1
#BTS,$1102933316955598848,1
#BTS,$1051274859664330757,1
#BTS,$1069108390079557632,1
#BTS,$1105108155527180288,1
#BTS,$1091936216373587968,1
#BTS,$1084836003813023744,1
#BTS,$1074547226968555520,1
#BTS,$1073233782247907328,1
#BTS,$1019781176372834304,1
#BTS,$820524807775096832,1
#BTS,$1296110249393324032,1
#BTS,$1289787760757202945,1
#BTS,$1276386679314661377,1
#BTS,$1246466273162096642,1
#BTS,$1199319572,1
#BTS,$1127628519482068992,1
#BTS,$1004808162543788032,1
#BTS,$1118736851848712192,1
#BTS,$964358221027672066,1
#BTS,$3305925235,1
#BTS,$3249584773,1
#BTS,$2890838665,1
#BTS,$1301063938050650113,1
#BTS,$1291300487606624256,1
#BTS,$1212214212862173186,1
#BTS,$1211593227247087617,1
#BTS,$1101937698158403584,1
#BTS,$1069849239289659392,1
#BTS,$1041040962112421888,1
#BTS,$1035893579665661953,1
#BTS,$1032392799872638976,1
#BTS,$1113534054010241024,1
#BTS,$1147548161763733504,1
#BTS,$1066896883363209217,1
#BTS,$1138452232238784519,1
#BTS,$1283109832522752006,1
#BTS,$974953851416702976,1
#BTS,$967809223475257345,1
#BTS,$1219133237206765569,1
#BTS,$1160562646581575681,1
#BTS,$761497523408166913,1
#BTS,$719876211531493376,1
#BTS,$515265926,1
#BTS,$2342395258,1
#BTS,$1285130279972073472,1
#BTS,$1284844423319175174,1
#BTS,$1266293306037727234,1
#BTS,$1081447386143023104,1
#BTS,$1169577047967989760,1
#BTS,$721895229666689024,1
#BTS,$3271582142,1
#BTS,$1219283200612147200,1
#BTS,$1150469777183428609,1
#BTS,$937138694326292480,1
#BTS,$833999318134595584,1
#BTS,$792913579611652096,1
#BTS,$3355973201,1
#BTS,$3273818526,1
#BTS,$1295872754609041408,1
#BTS,$126818464,1
#BTS,$1245211968081784832,1
#BTS,$1187202457568346112,1
#BTS,$1250667471075303424,1
#BTS,$1101017445429596160,1
#BTS,$1294256060694503424,1
#BTS,$919864791388258304,1
#BTS,$1001187349018095617,1
#BTS,$929748947312066560,1
#BTS,$810892902838640640,1
#BTS,$489979651,1
#BTS,$153342509,1
#BTS,$1519183081,1
#BTS,$1194398606280790017,1
