from,to,count
#BountyGate,$756564931676209152,1
#BountyGate,$220090128,1
#BountyGate,$703293186,1
#BountyGate,$95546622,1
#BountyGate,$114048914,1
#BountyGate,$1099813014432145408,1
#BountyGate,$1358342202,1
#BountyGate,$971082899381305344,1
#BountyGate,$881527565302747136,1
#BountyGate,$1208570741450428416,1
#BountyGate,$1263212231912820737,1
#BountyGate,$574184137,1
#BountyGate,$232565953,1
#BountyGate,$2463772243,1
#BountyGate,$48405814,1
#BountyGate,$942281536849743872,1
#BountyGate,$1155464478730989568,1
#BountyGate,$70250182,1
#BountyGate,$1222925815823900675,1
#BountyGate,$3329893180,1
#BountyGate,$824352001127567366,1
#BountyGate,$587785892,1
#BountyGate,$863132253068574720,1
#BountyGate,$2979809110,1
#BountyGate,$1140792090,1
#BountyGate,$1092274241074999296,1
#BountyGate,$287943992,1
#BountyGate,$134092563,1
#BountyGate,$730470631293116417,1
#BountyGate,$1020834536777822210,1
#BountyGate,$1218986002557165568,1
#BountyGate,$66537775,1
#BountyGate,$1205859159876485120,1
#BountyGate,$337953096,1
#BountyGate,$382369463,1
#BountyGate,$817168839595016194,1
#BountyGate,$58594493,1
#BountyGate,$1300916434776752129,1
#BountyGate,$1340652234,1
#BountyGate,$481072827,1
#BountyGate,$60769616,1
#BountyGate,$895665060294516736,1
#BountyGate,$1013454451489812483,1
#BountyGate,$1224496621104312321,1
#BountyGate,$2688271878,1
#BountyGate,$88759671,1
#BountyGate,$3286021339,1
#BountyGate,$777321599007596544,1
#BountyGate,$810802664,1
#BountyGate,$160111411,1
#BountyGate,$2319053025,1
#BountyGate,$718801258685923328,1
#BountyGate,$848696723488874496,1
#BountyGate,$1187008723312631809,1
#BountyGate,$3051178467,1
#BountyGate,$58051957,1
#BountyGate,$1598805703,1
#BountyGate,$3318167594,1
#BountyGate,$822636182219747329,1
#BountyGate,$1522376000,1
#BountyGate,$1931141186,1
#BountyGate,$1243608356461277184,1
#BountyGate,$2884834600,1
#BountyGate,$823889189141815297,1
#BountyGate,$1119415898434097155,1
#BountyGate,$1138231312660213760,1
#BountyGate,$3119206587,1
#BountyGate,$66001504,1
#BountyGate,$68332214,1
#BountyGate,$1082696260635770880,1
#BountyGate,$817814451910889473,1
#BountyGate,$69145259,1
#BountyGate,$1224543291695226880,1
#BountyGate,$372855970,1
#BountyGate,$933536796784365568,1
#BountyGate,$498946625,1
#BountyGate,$857936728165896204,1
#BountyGate,$813819680301326336,1
#BountyGate,$1235419819962322944,1
#BountyGate,$1288584604551647232,1
#BountyGate,$828368304846671873,1
#BountyGate,$18661965,1
#BountyGate,$1132086296,1
#BountyGate,$1155236331586326528,1
#BountyGate,$350437162,1
#BountyGate,$253579824,1
#BountyGate,$2742312732,1
#BountyGate,$524497956,1
#BountyGate,$3432256689,1
#BountyGate,$86532854,1
#BountyGate,$920149720932089856,1
#BountyGate,$20553374,1
#BountyGate,$892469859199660032,1
#BountyGate,$232282226,1
#BountyGate,$788965832126631936,1
#BountyGate,$21983651,1
#BountyGate,$2970861016,1
#BountyGate,$363564223,1
#BountyGate,$45019540,1
#BountyGate,$1272360402559459330,1
