from,to,count
#COVID,#HerdImmunity,1354
#COVID,#Trump,434
#COVID,#AlexJones,431
#COVID,#Pandemic,380
#COVID,#COVID19,34
#COVID,#CCP,33
#COVID,#PolitikderPanik,18
#COVID,#China,15
#COVID,#CCPChina,13
#COVID,#ChinaVirus,13
#COVID,#UyghurGenocide,13
#COVID,#EastTurkistan,13
#COVID,#coronavirus,11
#COVID,#COVIDー19,11
#COVID,#lockdown,9
#COVID,#Melbourne,8
#COVID,#Coronavirus,7
#COVID,#India,7
#COVID,#mentalhealth,7
#COVID,#COVID__19,6
#COVID,#CDC,5
#COVID,#pandemic,5
#COVID,#VivekPhansalkar,4
#COVID,#Thane,4
#COVID,#cybersecurity,3
#COVID,#recession,3
#COVID,#Brexit,3
#COVID,#brexitbritain,3
#COVID,#WithdrawalAgreement,3
#COVID,#Ampel,3
#COVID,#COVIDIOTS,3
#COVID,#ToryShambles,3
#COVID,#UK,3
#COVID,#MentalHealthMatters,3
#COVID,#BackToSchool2020,3
#COVID,#Corona,3
#COVID,#SuicideAwareness,3
#COVID,#LiarInChief,3
#COVID,#StaySafe,3
#COVID,#Masken,3
#COVID,#educar,2
#COVID,#WeThePeople,2
#COVID,#Iowa,2
#COVID,#EnoughIsEnough,2
#COVID,#Leronlimab,2
#COVID,#AgedCareCrisis,2
#COVID,#WarpSpeed,2
#COVID,#BradleyNowell,2
#COVID,#Badfish,2
#COVID,#Americans,2
#COVID,#Death,2
#COVID,#FireFauci,2
#COVID,#ApocalypseHoax,2
#COVID,#OpenAmericaNow,2
#COVID,#RheaChakraborty,2
#COVID,#NYC,2
#COVID,#ONTARIO,2
#COVID,#Malawi,2
#COVID,#Covidioten,2
#COVID,#TrumpPressConference,2
#COVID,#ZweiteWelle,2
#COVID,#WINDSOR,2
#COVID,#JK,2
#COVID,#ESSEX,2
#COVID,#tippingpoint,2
#COVID,#CoVIC,2
#COVID,#CANADA,2
#COVID,#UnpopularOpinion,2
#COVID,#BreakingNews,2
#COVID,#vaccine,2
#COVID,#FranceRelance,1
#COVID,#Freak_Out,1
#COVID,#LuminoHealthy,1
#COVID,#EUNOTFORME,1
#COVID,#EconomicCrisis,1
#COVID,#Covid19India,1
#COVID,#MAGA,1
#COVID,#GREEKSINART,1
#COVID,#foodsystems,1
#COVID,#Travel,1
#COVID,#Jammu,1
#COVID,#Kashmir,1
#COVID,#SushantSinghRajput,1
#COVID,#Liberals,1
#COVID,#Suga,1
#COVID,#SocialistDistancing,1
#COVID,#Japan,1
#COVID,#trumppresser,1
#COVID,#Technocrats,1
#COVID,#blacklivesmatter,1
#COVID,#Germany,1
#COVID,#Navalny,1
#COVID,#NordStream2,1
#COVID,#TrumpFailedAmerica,1
#COVID,#TrumpFraud,1
#COVID,#Upcycle,1
#COVID,#brand,1
#COVID,#uspoli,1
#COVID,#masks,1
#COVID,#novichok,1
#COVID,#plandemic,1
#COVID,#recycled,1
#COVID,#safe,1
#COVID,#1000deathsaday,1
#COVID,#EU,1
#COVID,#melbournelockdown,1
#COVID,#WearAMaskSaveALife,1
#COVID,#COVID19Vic,1
#COVID,#businesssightmedia,1
#COVID,#cases,1
#COVID,#delhi,1
#COVID,#disinfection,1
#COVID,#killvirus,1
#COVID,#tuesday,1
#COVID,#CeciliaGarcia,1
#COVID,#cdnpoli,1
#COVID,#DNI,1
#COVID,#Elecciones2021,1
#COVID,#FRACRO,1
#COVID,#ProfSalimAbdulKarim,1
#COVID,#RUC,1
#COVID,#USOpen,1
#COVID,#USPolitics,1
#COVID,#DEMS,1
#COVID,#TrumpVirus,1
#COVID,#AGRF2020,1
#COVID,#Hartford,1
#COVID,#ReopeningSchools,1
#COVID,#INCLUSION,1
#COVID,#EQUITY,1
#COVID,#Covid19UK,1
#COVID,#systems,1
#COVID,#schools,1
#COVID,#ransomware,1
#COVID,#forced,1
#COVID,#critical,1
#COVID,#attack,1
#COVID,#Vadodara,1
#COVID,#NCB,1
#COVID,#Mumbai,1
#COVID,#KillerCuomo,1
#COVID,#Gujarat,1
#COVID,#MentalHealth,1
#COVID,#solihull,1
#COVID,#NEWS,1
#COVID,#National3,1
#COVID,#RightWingJokes,1
#COVID,#StayHome,1
#COVID,#TNSEN,1
#COVID,#earthquake,1
#COVID,#solihullhour,1
#COVID,#Connecticut,1
#COVID,#ÚLTIMOSDATOS,1
#COVID,#ChecaEsto,1
#COVID,#ProtégetePanamá,1
#COVID,#VT,1
#COVID,#Bollywood,1
#COVID,#BoycottMulan,1
#COVID,#COVID19UK,1
#COVID,#MesQueUnaMocio,1
#COVID,#toosoon,1
#COVID,#hoax,1
#COVID,#suspendSurappa,1
#COVID,#studie,1
#COVID,#examscancelled,1
