src,dst,count
#GodMorningTuesday,@vishnusahu000,13
#GodMorningTuesday,@SaintRampalJiM,11
#GodMorningTuesday,@PitaRampal,10
#GodMorningTuesday,@IshwantiD,8
#GodMorningTuesday,@JeevanC27437340,5
#GodMorningTuesday,@JeeneRaah,5
#GodMorningTuesday,@HARIRAMMEENA0,4
#GodMorningTuesday,@1prachi2,4
#GodMorningTuesday,@ShraddhaLilari2,4
#GodMorningTuesday,@Jageshw83642789,4
#GodMorningTuesday,@UmeshDa06503915,3
#GodMorningTuesday,@vikramc58591925,3
#GodMorningTuesday,@AshishP96280080,3
#GodMorningTuesday,@BetiGuruji,3
#GodMorningTuesday,@BharatD55138223,3
#GodMorningTuesday,@AmitRedhu01,3
#GodMorningTuesday,@gopalga09750174,3
#GodMorningTuesday,@kiniyashree1,3
#GodMorningTuesday,@MonikaY59659058,3
#GodMorningTuesday,@Lalitkumar2020,2
#GodMorningTuesday,@AneeshPrajapa17,2
#GodMorningTuesday,@NewzBoxOffice,2
#GodMorningTuesday,@netam_ramki,2
#GodMorningTuesday,@RealGodKabir,2
#GodMorningTuesday,@AngleJanvi2,2
#GodMorningTuesday,@KrishnpratapRa2,2
#GodMorningTuesday,@Rani8448,2
#GodMorningTuesday,@Rina75673497,2
#GodMorningTuesday,@AyhBbHu86G784wp,2
#GodMorningTuesday,@Shalumehta95,2
#GodMorningTuesday,@SunitaDass4,1
#GodMorningTuesday,@taniya331459,1
#GodMorningTuesday,@Suman39263746,1
#GodMorningTuesday,@Sunita82905855,1
#GodMorningTuesday,@soniya_rawal49,1
#GodMorningTuesday,@Yug1052019,1
#GodMorningTuesday,@AnjanaThakuri9,1
#GodMorningTuesday,@Krishna60581140,1
#GodMorningTuesday,@GanshaLohar,1
#GodMorningTuesday,@IshwantiR,1
#GodMorningTuesday,@Nirmala7828,1
#GodMorningTuesday,@VinodPu38826478,1
#GodMorningTuesday,@LavYada72593149,1
#GodMorningTuesday,@Sweta_12345,1
#GodMorningTuesday,@tanuange,1
#GodMorningTuesday,@rajeshmeenaaa,1
#GodMorningTuesday,@RaniDasi13,1
#GodMorningTuesday,@sunilda99450033,1
#GodMorningTuesday,@Kunwarp49634170,1
#GodMorningTuesday,@SatlokChannel,1
#GodMorningTuesday,@rajeshree856682,1
#GodMorningTuesday,@Munnaku73693668,1
#GodMorningTuesday,@pardeep19492,1
#GodMorningTuesday,@GHANSHYAM_JJN,1
#GodMorningTuesday,@Viinod1993,1
#GodMorningTuesday,@BharatMonu3,1
#GodMorningTuesday,@Sunitad15297862,1
#GodMorningTuesday,@Lalitayd2014,1
#GodMorningTuesday,@Sangita10702142,1
#GodMorningTuesday,@NidhiVe29416871,1
#GodMorningTuesday,@Pushpa83360336,1
#GodMorningTuesday,@Purusho22716122,1
#GodMorningTuesday,@Vedprakash26493,1
#GodMorningTuesday,@LkoRekha,1
#GodMorningTuesday,@nishapunjabi68,1
#GodMorningTuesday,@NaveenK51586413,1
#GodMorningTuesday,@Nktrivedi4,1
#GodMorningTuesday,@AvitAvit3,1
#GodMorningTuesday,@AshokBhayal1,1
#GodMorningTuesday,@Kayu_kaju,1
#GodMorningTuesday,@Vandanayadu1,1
#GodMorningTuesday,@light202020,1
#GodMorningTuesday,@YudhisthirDas13,1
#GodMorningTuesday,@OfSatsang,1
#GodMorningTuesday,@_nisha_14,1
#GodMorningTuesday,@SrishtyRajpoot1,1
#GodMorningTuesday,@Mukesh198384,1
#GodMorningTuesday,@kaluram_kerav,1
#GodMorningTuesday,@Chaital28198619,1
#GodMorningTuesday,@TuiNa01828756,1
#GodMorningTuesday,@PrdeepRana2,1
#GodMorningTuesday,@Hoshiar19591966,1
#GodMorningTuesday,@7bZpQRPXNxU0b9Z,1
#GodMorningTuesday,@RekhaBhoi3,1
#GodMorningTuesday,@RamKuma72144439,1
