src,dst,count
#JayaBachchan,@KanganaOffical,87
#JayaBachchan,@ExSecular,55
#JayaBachchan,@KanganaTeam,15
#JayaBachchan,@DextrousNinja,6
#JayaBachchan,@HashTagCricket,6
#JayaBachchan,@KanganaTeamR,4
#JayaBachchan,@TimesNow,4
#JayaBachchan,@ManishaVArora2,3
#JayaBachchan,@ravikishann,3
#JayaBachchan,@ishkarnBHANDARI,3
#JayaBachchan,@DAKSHMA54853198,3
#JayaBachchan,@Rita_2110,3
#JayaBachchan,@MWorldindia,3
#JayaBachchan,@SrBachchan,2
#JayaBachchan,@juniorbachchan,2
#JayaBachchan,@aajtak,2
#JayaBachchan,@JayaBachchan,2
#JayaBachchan,@joney9,2
#JayaBachchan,@mocha_9,2
#JayaBachchan,@ShefVaidya,2
#JayaBachchan,@IndiaToday,2
#JayaBachchan,@NavneetBaitha,1
#JayaBachchan,@Jetinder19,1
#JayaBachchan,@RahulGandhi,1
#JayaBachchan,@patelsoha18,1
#JayaBachchan,@WIONews,1
#JayaBachchan,@MoloyaJ,1
#JayaBachchan,@ANI,1
#JayaBachchan,@Republic_Bharat,1
#JayaBachchan,@Vishwas3636,1
#JayaBachchan,@Shehzad_Ind,1
#JayaBachchan,@OfficeofUT,1
#JayaBachchan,@IndiaWakesUp_,1
#JayaBachchan,@SunilGa16891127,1
#JayaBachchan,@narendramodi,1
#JayaBachchan,@HardeepSPuri,1
#JayaBachchan,@ashishtambe2007,1
#JayaBachchan,@PMOIndia,1
#JayaBachchan,@HMOIndia,1
#JayaBachchan,@MajorPoonia,1
#JayaBachchan,@Offical_Kangana,1
#JayaBachchan,@SushantBSinha,1
#JayaBachchan,@ABPNews,1
#JayaBachchan,@alishasantosh,1
#JayaBachchan,@srinisunki,1
#JayaBachchan,@Priyanka9861,1
#JayaBachchan,@earth2angel,1
#JayaBachchan,@rose_k01,1
#JayaBachchan,@atish_parth,1
#JayaBachchan,@akku_akku18,1
#JayaBachchan,@SunainaHoley,1
#JayaBachchan,@CHAITAL59999532,1
#JayaBachchan,@HerdHUSH,1
#JayaBachchan,@itsyks,1
#JayaBachchan,@seemaadhikari,1
#JayaBachchan,@thewittydoctor,1
#JayaBachchan,@iam_shimorekato,1
#JayaBachchan,@republic,1
#JayaBachchan,@ZeeNewsEnglish,1
#JayaBachchan,@SmitaMadhuri,1
#JayaBachchan,@AmarUjalaNews,1
#JayaBachchan,@Vaidehi2805,1
#JayaBachchan,@hyavbxwdgiundkj,1
#JayaBachchan,@vijaita,1
#JayaBachchan,@arya_atri,1
