from,to,count
#KazzAwards2020,@MSuppasit,467
#KazzAwards2020,@zoomdara409,421
#KazzAwards2020,@opywpy,328
#KazzAwards2020,@ohmpawatt,227
#KazzAwards2020,@Chimonac,227
#KazzAwards2020,@gulfkanawut,191
#KazzAwards2020,@WinmetawinO,175
#KazzAwards2020,@nungstoon,156
#KazzAwards2020,@kristtps,152
#KazzAwards2020,@TharntypeS,150
#KazzAwards2020,@bbrightvc,148
#KazzAwards2020,@winmetawin,130
#KazzAwards2020,@Allbrightvc,129
#KazzAwards2020,@salaleyoo,119
#KazzAwards2020,@CharMING300K,114
#KazzAwards2020,@MAME12938,103
#KazzAwards2020,@MewMicrowave,96
#KazzAwards2020,@mommybrightvc,96
#KazzAwards2020,@Kazzmagazine,88
#KazzAwards2020,@cutie__my,83
#KazzAwards2020,@ppn_jip,79
#KazzAwards2020,@krist_est,73
#KazzAwards2020,@TXz44,68
#KazzAwards2020,@akanishijin_k,65
#KazzAwards2020,@npk_chest,60
#KazzAwards2020,@babiegulf,60
#KazzAwards2020,@whaniiz2,59
#KazzAwards2020,@brightvc_club,59
#KazzAwards2020,@Singtofc_Th,58
#KazzAwards2020,@crazybbright,58
#KazzAwards2020,@perthppe,57
#KazzAwards2020,@Wintersweet_MG,57
#KazzAwards2020,@BrightWinPhil,55
#KazzAwards2020,@Social_Nicwork,54
#KazzAwards2020,@bplannnnn,54
#KazzAwards2020,@tkbtv3,54
#KazzAwards2020,@kumaa131341,51
#KazzAwards2020,@AllAroundPerth,46
#KazzAwards2020,@stjinx_maya,45
#KazzAwards2020,@Saint_sup,45
#KazzAwards2020,@Prem_space,44
#KazzAwards2020,@winbrightss,40
#KazzAwards2020,@singpatch,39
#KazzAwards2020,@GLinMGworld,38
#KazzAwards2020,@doubleb_bright,37
#KazzAwards2020,@noonathty,36
#KazzAwards2020,@nupear_photo,35
#KazzAwards2020,@Zokzakdara2,34
#KazzAwards2020,@jirakitth_c,34
#KazzAwards2020,@MookWorranit,33
#KazzAwards2020,@m34nismind,32
#KazzAwards2020,@Mpalroky2,32
#KazzAwards2020,@bb0un,32
#KazzAwards2020,@PerayaPHFanClub,31
#KazzAwards2020,@brightwinpics,30
#KazzAwards2020,@Mewcrowave,30
#KazzAwards2020,@tippyy12,29
#KazzAwards2020,@___sssspy,29
#KazzAwards2020,@brightwinhk,29
#KazzAwards2020,@winbright_wb,28
#KazzAwards2020,@destinylineKM,28
#KazzAwards2020,@gnitsting,28
#KazzAwards2020,@ShineLightBBvc,26
#KazzAwards2020,@yesterdayou___,25
#KazzAwards2020,@XXJKsnapp,24
#KazzAwards2020,@Pnoi_Singtofc,24
#KazzAwards2020,@GrowingUPwPlan,23
#KazzAwards2020,@BEMYVALENTINE19,23
#KazzAwards2020,@krunkidxmg,23
#KazzAwards2020,@BWBrightWin3,23
#KazzAwards2020,@peachbread1204,22
#KazzAwards2020,@2wish_Official,22
#KazzAwards2020,@lilBroX9801,21
#KazzAwards2020,@sunnysidegulf,21
#KazzAwards2020,@ppismyname,21
#KazzAwards2020,@perth1993,21
#KazzAwards2020,@akimicky_ct,20
#KazzAwards2020,@chinitaborracha,20
#KazzAwards2020,@peraya_official,19
#KazzAwards2020,@allarea_ent,19
#KazzAwards2020,@1WaanjaiMewGulf,19
#KazzAwards2020,@becky_arms,19
#KazzAwards2020,@YOURTHIRD1998,19
#KazzAwards2020,@MOA_KK,18
#KazzAwards2020,@ung_iing,18
#KazzAwards2020,@BrightMsiaFC,18
#KazzAwards2020,@Meridavc1,18
#KazzAwards2020,@Gulfkanawutofc,18
#KazzAwards2020,@lacalmee,18
#KazzAwards2020,@Ice_Sodaaa,18
#KazzAwards2020,@lzjhty1401,17
#KazzAwards2020,@f_kkky229,17
#KazzAwards2020,@NotShipper2721,17
#KazzAwards2020,@GMMTV,17
#KazzAwards2020,@naza53119180,16
#KazzAwards2020,@mewgulof,16
#KazzAwards2020,@Jackhangu,16
#KazzAwards2020,@MilkmenFL,16
#KazzAwards2020,@mgtiddiesxx,16
#KazzAwards2020,@atikaew,15
#KazzAwards2020,@daisywinkkk,15
#KazzAwards2020,@mtwnvc,15
#KazzAwards2020,@AoyJai_Ohm,15
#KazzAwards2020,@xst_bookstore,15
#KazzAwards2020,@paiizer1,15
#KazzAwards2020,@savefaction,15
#KazzAwards2020,@run_kantheephop,15
#KazzAwards2020,@SalmonP1998,15
#KazzAwards2020,@singtoszn,15
#KazzAwards2020,@Mashimewro,14
#KazzAwards2020,@MewsuppasitTH,14
#KazzAwards2020,@makhongnongwin,14
#KazzAwards2020,@SLGWNGGDX,14
#KazzAwards2020,@S_lrtC,14
#KazzAwards2020,@webmixmaya,14
#KazzAwards2020,@MZiinme,14
#KazzAwards2020,@nungnarong,14
#KazzAwards2020,@Brightwin_earn,14
#KazzAwards2020,@webstarupdate,14
#KazzAwards2020,@JayJay_Uknow,14
#KazzAwards2020,@mgmg_mw,13
#KazzAwards2020,@gulf_foto,13
#KazzAwards2020,@tothemewandbck,13
#KazzAwards2020,@mcleeeyn,13
#KazzAwards2020,@sweetpeach0412,13
#KazzAwards2020,@nok_zii,13
#KazzAwards2020,@ttwwithb,13
#KazzAwards2020,@snow_brights,13
#KazzAwards2020,@BounPrem_TH,13
#KazzAwards2020,@simply_way_,13
#KazzAwards2020,@naninenai99,13
#KazzAwards2020,@brightwinwhite,12
#KazzAwards2020,@PerthsaintC,12
#KazzAwards2020,@meearaiahh,12
#KazzAwards2020,@BPBackupTeam1,12
#KazzAwards2020,@Mimmyya_BW,12
#KazzAwards2020,@youmademyday94,12
#KazzAwards2020,@Brightily1,12
#KazzAwards2020,@allbrightvc_ina,12
#KazzAwards2020,@superPbabyXO,12
#KazzAwards2020,@FUSiiZAA,11
#KazzAwards2020,@MEWology21,11
#KazzAwards2020,@fcbbright2112,11
#KazzAwards2020,@eveveixx,11
#KazzAwards2020,@PlanRathavitINA,11
