src,dst,count
#MannKiBaat,@narendramodi,67
#MannKiBaat,@BJP4India,20
#MannKiBaat,@PMOIndia,18
#MannKiBaat,@DrPremKrBihar,9
#MannKiBaat,@Deepakkhatri812,8
#MannKiBaat,@narendramodi_in,4
#MannKiBaat,@ZeeNewsEnglish,3
#MannKiBaat,@aajtak,3
#MannKiBaat,@DonutTrump10,3
#MannKiBaat,@KanganaTeam,3
#MannKiBaat,@bihar_police,3
#MannKiBaat,@ndtv,3
#MannKiBaat,@kamlesh79031418,3
#MannKiBaat,@JPNadda,3
#MannKiBaat,@kaajalActress,3
#MannKiBaat,@teslanolan,2
#MannKiBaat,@iamarfat7,2
#MannKiBaat,@chshekharbjp,2
#MannKiBaat,@mannkibaat,2
#MannKiBaat,@VasundharaBJP,2
#MannKiBaat,@Jalishayadav1,2
#MannKiBaat,@Rautparody61,2
#MannKiBaat,@SumitPa40256242,2
#MannKiBaat,@airnewsalerts,2
#MannKiBaat,@Ranbir_Crpf,2
#MannKiBaat,@DushyantDholpur,2
#MannKiBaat,@smritiirani,2
#MannKiBaat,@BJP4Delhi,2
#MannKiBaat,@Chashhmish,2
#MannKiBaat,@cpjoshiBJP,2
#MannKiBaat,@swatantrabjp,1
#MannKiBaat,@MANOJRLD,1
#MannKiBaat,@Rigwasim3,1
#MannKiBaat,@sarcasticyadav_,1
#MannKiBaat,@Sunil_Deodhar,1
#MannKiBaat,@PIBRaipur,1
#MannKiBaat,@ArmaanBhi,1
#MannKiBaat,@Rajkumarchahar9,1
#MannKiBaat,@khotikarokmodi,1
#MannKiBaat,@BilluPsycho,1
#MannKiBaat,@Tejasvi_Surya,1
#MannKiBaat,@SalmanP0001,1
#MannKiBaat,@IZackTweets,1
#MannKiBaat,@ManojTiwariMP,1
#MannKiBaat,@MdAezaz,1
#MannKiBaat,@NaveenS14749294,1
#MannKiBaat,@iabhishekpandya,1
#MannKiBaat,@AshokParnamiBJP,1
#MannKiBaat,@KailashBaytu,1
#MannKiBaat,@Unemployed_Army,1
#MannKiBaat,@VeeryaSorry,1
#MannKiBaat,@PiyushGoyal,1
#MannKiBaat,@SyedZak34667747,1
#MannKiBaat,@KailashOnline,1
#MannKiBaat,@PonnaarrBJP,1
#MannKiBaat,@mygovindia,1
#MannKiBaat,@ChouhanShivraj,1
#MannKiBaat,@mlkhattar,1
#MannKiBaat,@BSYBJP,1
