src,dst,count
#MinoritiesGenocideInIndia,@TeamISPOfficial,51
#MinoritiesGenocideInIndia,@BeenishZaheer2,34
#MinoritiesGenocideInIndia,@O6Doll,30
#MinoritiesGenocideInIndia,@ZiaOfficial_,29
#MinoritiesGenocideInIndia,@tanveerrajpk,16
#MinoritiesGenocideInIndia,@MalikHassan141,16
#MinoritiesGenocideInIndia,@Jannat_ISP,13
#MinoritiesGenocideInIndia,@Ch_A002,12
#MinoritiesGenocideInIndia,@ISP_88,10
#MinoritiesGenocideInIndia,@Simi__H,10
#MinoritiesGenocideInIndia,@_haris1234,9
#MinoritiesGenocideInIndia,@S__H1234,9
#MinoritiesGenocideInIndia,@Aly_Na2,8
#MinoritiesGenocideInIndia,@AsgharAbid1009,8
#MinoritiesGenocideInIndia,@kawish_mian,8
#MinoritiesGenocideInIndia,@risingstr3,7
#MinoritiesGenocideInIndia,@Humanity_188,6
#MinoritiesGenocideInIndia,@Rz_Anila,6
#MinoritiesGenocideInIndia,@S_MS86,6
#MinoritiesGenocideInIndia,@SQ_PTI,5
#MinoritiesGenocideInIndia,@kashif_afsheen,5
#MinoritiesGenocideInIndia,@king_lrk,5
#MinoritiesGenocideInIndia,@noul1234,5
#MinoritiesGenocideInIndia,@HRbutt_offical,5
#MinoritiesGenocideInIndia,@SufyanHafeez13,4
#MinoritiesGenocideInIndia,@ISP_786,3
#MinoritiesGenocideInIndia,@PatrioticBhatti,3
#MinoritiesGenocideInIndia,@beenishji,3
#MinoritiesGenocideInIndia,@tkmohmand,3
#MinoritiesGenocideInIndia,@peacehopegrow,2
#MinoritiesGenocideInIndia,@rashid2k19,2
#MinoritiesGenocideInIndia,@FanPakistan,2
#MinoritiesGenocideInIndia,@SOBIA_BANO_,2
#MinoritiesGenocideInIndia,@HS_K_13,2
#MinoritiesGenocideInIndia,@iamehar1980,2
#MinoritiesGenocideInIndia,@SaQiBAliPTI,2
#MinoritiesGenocideInIndia,@nadim_fazal,2
#MinoritiesGenocideInIndia,@SamtiahFakhar,1
#MinoritiesGenocideInIndia,@Team4Pakistan,1
#MinoritiesGenocideInIndia,@WarriorSamia,1
#MinoritiesGenocideInIndia,@ErShiva219,1
#MinoritiesGenocideInIndia,@Ch_M67,1
#MinoritiesGenocideInIndia,@Ra_Anila,1
#MinoritiesGenocideInIndia,@DalitRights,1
#MinoritiesGenocideInIndia,@Titali_ISP,1
#MinoritiesGenocideInIndia,@uzairbutt_3,1
#MinoritiesGenocideInIndia,@MudjhidPakArmy,1
#MinoritiesGenocideInIndia,@ZaidiG5,1
#MinoritiesGenocideInIndia,@NoorAbd61312859,1
#MinoritiesGenocideInIndia,@Sajii_writes,1
#MinoritiesGenocideInIndia,@Riaz1i2,1
