src,dst,count
#MinoritiesGenocideInIndia,$1268958934280306688,18
#MinoritiesGenocideInIndia,$1162605770149679104,16
#MinoritiesGenocideInIndia,$1099298921573240832,15
#MinoritiesGenocideInIndia,$1268858388160667649,13
#MinoritiesGenocideInIndia,$1268526368985399298,13
#MinoritiesGenocideInIndia,$1268583224617381888,12
#MinoritiesGenocideInIndia,$855280739901886464,11
#MinoritiesGenocideInIndia,$1287138002792329219,11
#MinoritiesGenocideInIndia,$1284797485685395456,8
#MinoritiesGenocideInIndia,$1255931645728894977,8
#MinoritiesGenocideInIndia,$1299632949193854977,8
#MinoritiesGenocideInIndia,$1196055673802502144,8
#MinoritiesGenocideInIndia,$315659447,8
#MinoritiesGenocideInIndia,$1217778903231668230,7
#MinoritiesGenocideInIndia,$1303983748237516800,7
#MinoritiesGenocideInIndia,$1215203681194463238,7
#MinoritiesGenocideInIndia,$1286235397228503051,6
#MinoritiesGenocideInIndia,$1290670555667070979,6
#MinoritiesGenocideInIndia,$1461656018,6
#MinoritiesGenocideInIndia,$1293162964778921985,5
#MinoritiesGenocideInIndia,$880697760437215232,5
#MinoritiesGenocideInIndia,$1269599822333595648,4
#MinoritiesGenocideInIndia,$3139058666,4
#MinoritiesGenocideInIndia,$706385459337949184,4
#MinoritiesGenocideInIndia,$3222632268,4
#MinoritiesGenocideInIndia,$1237916787834007552,4
#MinoritiesGenocideInIndia,$1230407041535107072,4
#MinoritiesGenocideInIndia,$2743156934,4
#MinoritiesGenocideInIndia,$1189589377166516224,4
#MinoritiesGenocideInIndia,$1364014902,3
#MinoritiesGenocideInIndia,$1159434778367680512,3
#MinoritiesGenocideInIndia,$1195657176309751809,3
#MinoritiesGenocideInIndia,$1220044102781296643,3
#MinoritiesGenocideInIndia,$1243388674378629126,3
#MinoritiesGenocideInIndia,$1242718834613772288,3
#MinoritiesGenocideInIndia,$1287266675235201024,3
#MinoritiesGenocideInIndia,$1214830249072037888,3
#MinoritiesGenocideInIndia,$1154707022866259968,3
#MinoritiesGenocideInIndia,$1242804507190472704,3
#MinoritiesGenocideInIndia,$1249991863949549568,3
#MinoritiesGenocideInIndia,$2231101704,2
#MinoritiesGenocideInIndia,$1180942305223729154,2
#MinoritiesGenocideInIndia,$1262388776313159688,2
#MinoritiesGenocideInIndia,$1275867106144391168,2
#MinoritiesGenocideInIndia,$1251744276540768256,2
#MinoritiesGenocideInIndia,$1178988890054647808,2
#MinoritiesGenocideInIndia,$1296194868503511040,2
#MinoritiesGenocideInIndia,$972800064941907969,2
#MinoritiesGenocideInIndia,$3080865428,2
#MinoritiesGenocideInIndia,$1287441186937098243,2
#MinoritiesGenocideInIndia,$1174991136802426886,2
#MinoritiesGenocideInIndia,$1306546168151891969,2
#MinoritiesGenocideInIndia,$1297972437578059776,2
#MinoritiesGenocideInIndia,$1235652124165406721,2
#MinoritiesGenocideInIndia,$1249803705022582788,2
#MinoritiesGenocideInIndia,$925621833419886592,2
#MinoritiesGenocideInIndia,$1294145063816134662,1
#MinoritiesGenocideInIndia,$1234350666690199552,1
#MinoritiesGenocideInIndia,$1284798993902575617,1
#MinoritiesGenocideInIndia,$1064614782354026496,1
#MinoritiesGenocideInIndia,$1232058901899677699,1
#MinoritiesGenocideInIndia,$1153247017965162496,1
#MinoritiesGenocideInIndia,$1297108278930026496,1
#MinoritiesGenocideInIndia,$1232988315542081536,1
#MinoritiesGenocideInIndia,$1030096027888562176,1
#MinoritiesGenocideInIndia,$1305176810381029376,1
#MinoritiesGenocideInIndia,$1282620626180739074,1
#MinoritiesGenocideInIndia,$1621966112,1
#MinoritiesGenocideInIndia,$1253540970420994049,1
#MinoritiesGenocideInIndia,$1292496359509987329,1
#MinoritiesGenocideInIndia,$3308396708,1
#MinoritiesGenocideInIndia,$1257092884987338753,1
#MinoritiesGenocideInIndia,$1269099273788051458,1
#MinoritiesGenocideInIndia,$1250080054278860803,1
#MinoritiesGenocideInIndia,$1130813796241559552,1
#MinoritiesGenocideInIndia,$1290944260020338688,1
#MinoritiesGenocideInIndia,$1260889846937157634,1
