src,dst,count
#NationWantsDishaSSRTruth,@MeenaDasNarayan,8
#NationWantsDishaSSRTruth,@Saurav28108286,4
#NationWantsDishaSSRTruth,@vikashranjan,4
#NationWantsDishaSSRTruth,@AmitShah,2
#NationWantsDishaSSRTruth,@Unknown64012796,2
#NationWantsDishaSSRTruth,@SaraSushant2020,2
#NationWantsDishaSSRTruth,@NiteshNRane,1
#NationWantsDishaSSRTruth,@SrBachchan,1
#NationWantsDishaSSRTruth,@Krisha555,1
#NationWantsDishaSSRTruth,@HMOIndia,1
#NationWantsDishaSSRTruth,@Tweet2Rhea,1
#NationWantsDishaSSRTruth,@Sir_Warrior,1
#NationWantsDishaSSRTruth,@ashishpareek57,1
#NationWantsDishaSSRTruth,@mrsfunnybones,1
#NationWantsDishaSSRTruth,@Arundhutiboyaal,1
#NationWantsDishaSSRTruth,@its_Tanusree,1
#NationWantsDishaSSRTruth,@AsthanaPrarthna,1
