src,dst,count
#PCAs,#TheFemaleArtist,354
#PCAs,#TheMusicVideo,286
#PCAs,#Dynamite,281
#PCAs,#ArianaGrande,267
#PCAs,#TheGroup,247
#PCAs,#TheSong,240
#PCAs,#BLACKPINK,226
#PCAs,#TheAlbum,225
#PCAs,#MapOfTheSoul7,215
#PCAs,#TaylorSwift,212
#PCAs,#BTS,190
#PCAs,#TheSoundtrackSong,176
#PCAs,#CNCO,174
#PCAs,#InfluencerBrasil,135
#PCAs,#IceCream,128
#PCAs,#OnlyTheYoung,114
#PCAs,#TheSocialCelebrity,82
#PCAs,#Rare,82
#PCAs,#SelenaGomez,79
#PCAs,#WynonnaEarp,59
#PCAs,#TheScifiFantasyShow,55
#PCAs,#BiancaAndrade,51
#PCAs,#ManuGavassi,50
#PCAs,#JustinBieber,50
#PCAs,#TheMaleArtist,48
#PCAs,#RafaKalimann,35
#PCAs,#SocialStarFrance,31
#PCAs,#SoundTrackSong,30
#PCAs,#taylorswift,28
#PCAs,#folklore,26
#PCAs,#Folklore,26
#PCAs,#TheCountryArtist,25
#PCAs,#TheLatinArtist,24
#PCAs,#Blackpink,23
#PCAs,#yanissaXoxo,23
#PCAs,#TheSciFiFantasyShow,22
#PCAs,#BritneySpears,21
#PCAs,#KarolG,20
#PCAs,#KaneBrown,20
#PCAs,#THEALBUM,18
#PCAs,#DuaLipa,18
#PCAs,#GreysAnatomy,17
#PCAs,#TheDramaShow,17
#PCAs,#TheSocialStar,17
#PCAs,#Supernatural,17
#PCAs,#ColeSprouse,16
#PCAs,#AboutLove,16
#PCAs,#mapofthesoul7,13
#PCAs,#5SOS,13
#PCAs,#TheMaleTVStar,11
#PCAs,#TheDramaTVStar,11
#PCAs,#TaylorVoting,11
#PCAs,#OnMe,10
#PCAs,#Intentions,9
#PCAs,#TheFemaleMovieStar,9
#PCAs,#Dimmaumeh,9
#PCAs,#AfricanSocialStar,9
#PCAs,#TheFamilyMovie,9
#PCAs,#5sos,8
#PCAs,#FutureNostalgia,8
