src,dst,count
#PCAs,@taylorswift13,432
#PCAs,@BLACKPINK,417
#PCAs,@BTS_twt,345
#PCAs,@selenagomez,304
#PCAs,@btsvotingorg,242
#PCAs,@justinbieber,108
#PCAs,@blindingrep,71
#PCAs,@chartsblackpink,68
#PCAs,@TheSwiftSociety,64
#PCAs,@BLINKmf,61
#PCAs,@mygtrivias,57
#PCAs,@ArianaGrande,52
#PCAs,@Votingnation13,47
#PCAs,@noitsbettty,44
#PCAs,@01Btsxarmy,39
#PCAs,@fundsforbangtan,38
#PCAs,@BillboardBTS20,38
#PCAs,@bpbillboard,37
#PCAs,@YSTanSwift,37
#PCAs,@CNCOmusic,31
#PCAs,@melodramaswift1,30
#PCAs,@MmFolklore,28
#PCAs,@OfficialJBVotes,27
#PCAs,@daveypinks,24
#PCAs,@bts_bighit,24
#PCAs,@SwiftSelenation,22
#PCAs,@chancetherapper,20
#PCAs,@BPGVotingINA,20
#PCAs,@selmybadbitch,19
#PCAs,@bangswiftian,19
#PCAs,@PlNKFlLTER,18
#PCAs,@BLACKPINKGLOBAL,18
#PCAs,@GotMahChickas,18
#PCAs,@tiedmetoyou,18
#PCAs,@AiswaryaAjith6,17
#PCAs,@peopleschoice,17
#PCAs,@kookie_tae07,17
#PCAs,@TSstan_13,16
#PCAs,@BLACKPINK4WAYS,16
#PCAs,@blueefortay,16
#PCAs,@BlinkVotingCrew,16
#PCAs,@yoonminfiIms,15
#PCAs,@JDBAnalytics,15
#PCAs,@heavenssel,15
#PCAs,@scooterbraun,15
#PCAs,@bieberfever,15
#PCAs,@btsvotingunite,15
#PCAs,@ArmyBrigade13_M,14
#PCAs,@SatySwiftie,14
#PCAs,@charts_k,14
#PCAs,@lillyswiftt13,14
#PCAs,@FonproyA,14
#PCAs,@ygofficialblink,14
#PCAs,@iblinkforblinkz,14
#PCAs,@5SOS,14
#PCAs,@fetishforsell,14
#PCAs,@glossywallows,14
#PCAs,@Alisonswiffer,13
#PCAs,@TaySpotify,13
#PCAs,@bitiiezvotes,13
#PCAs,@arixvoodoo,13
#PCAs,@Born2Bredarmy,13
#PCAs,@DdaengLife,13
#PCAs,@SwiftVoting13,13
#PCAs,@BTSARMYUNITED_1,12
#PCAs,@Euphoricskjin,12
#PCAs,@momentsmabia,12
#PCAs,@BiancaAndrade,12
#PCAs,@masqueraderep,12
#PCAs,@btsfore1234,12
#PCAs,@TSwiftNewsLA,12
#PCAs,@shyuk_kiyowo,12
#PCAs,@MaxxxMarvel,12
#PCAs,@ArianaWorldHQ,11
#PCAs,@ieeoxx,11
#PCAs,@VoteWithA,11
#PCAs,@TwYYhN5PHz1q3hJ,11
#PCAs,@ellrib,11
#PCAs,@honeyybiebs,10
#PCAs,@taylornation13,10
#PCAs,@AuNgAuNg0204,10
#PCAs,@1989_folkrep,10
#PCAs,@folklourora,10
#PCAs,@Kookiesp0ut,10
#PCAs,@team_ksj,10
#PCAs,@BP_VotingTeam,10
#PCAs,@btswwvote,10
#PCAs,@pclpcl7,10
#PCAs,@fuckyanext,9
#PCAs,@ArianaVoteStats,9
#PCAs,@A30rT55LQkmDxGg,9
#PCAs,@JuviaLeo_twt,9
#PCAs,@BTSDailyVotesx,9
#PCAs,@sassyselener,9
#PCAs,@JhopeVotingTeam,9
#PCAs,@TayIorVoteStats,9
#PCAs,@speed0309,9
#PCAs,@01Btsxarmy1,9
#PCAs,@justlovinswift,8
#PCAs,@0707qwer,8
#PCAs,@1989popclassic,8
#PCAs,@getawayreps,8
#PCAs,@blackpinkbabo,8
#PCAs,@jbizzleforlyfe,8
#PCAs,@kchartsmaster,8
#PCAs,@V0TEWITHARMY,8
#PCAs,@mapofthesoul84,8
#PCAs,@luckyjin12,8
#PCAs,@yoonginfiresme3,8
#PCAs,@chimmycathy,8
#PCAs,@wildestscreamz,8
#PCAs,@getawaytear,8
#PCAs,@70spjms,8
#PCAs,@fly_bts_0613,8
#PCAs,@jd_amitie,7
#PCAs,@stolendaylights,7
#PCAs,@AoMAm63970431,7
#PCAs,@FanOfShefani,7
#PCAs,@BangtanINDIA,7
#PCAs,@WooArmy2,7
#PCAs,@krauhlsbieber,7
#PCAs,@JhopeGlobal,7
#PCAs,@minsugacheonye,7
#PCAs,@kindacrazyxsel,7
#PCAs,@ot7religion,7
#PCAs,@btsvo0doo,7
#PCAs,@Zendaya,6
#PCAs,@manugavassi,6
#PCAs,@zamar_T,6
#PCAs,@taycruel13,6
#PCAs,@WynonnaFans,6
#PCAs,@JL_Crazy_B,6
#PCAs,@sophiarauhls,6
#PCAs,@siatae143,6
#PCAs,@wegotbills2pay,6
#PCAs,@btsretweetsTS50,6
#PCAs,@bpinradio,6
#PCAs,@onlyfrlss,6
#PCAs,@VoteStatsSel,6
#PCAs,@hopegleaming,6
#PCAs,@Tata_luvz,6
#PCAs,@seokjinsrem,6
#PCAs,@gldenmoonlight,5
#PCAs,@sTAEygoldkim,5
#PCAs,@iamcardib,5
#PCAs,@Anitta,5
#PCAs,@andwhiteboi,5
#PCAs,@yoonieholic,5
#PCAs,@OnAirRomeo,5
#PCAs,@honeyboy_min,5
#PCAs,@kkmjpkjb_only,5
#PCAs,@chriselzorrito,5
#PCAs,@BLACKPINKAsia,5
#PCAs,@Blink4LisaOnly,5
#PCAs,@funinbts,5
#PCAs,@BeckyGNovedades,5
#PCAs,@MostRequestLive,5
#PCAs,@mlkinobts,5
#PCAs,@VipinHeartsTay,5
#PCAs,@LiORIGINAL,5
#PCAs,@TSonRadio,5
#PCAs,@Retriever_Mag,5
#PCAs,@eonlineFR,5
#PCAs,@lalalalisa_m372,5
#PCAs,@yoongisfirst,5
#PCAs,@ann31717,5
#PCAs,@sarasfilter,5
#PCAs,@mirrorbalI13,5
#PCAs,@alaska2121,5
#PCAs,@DORKY0T7,5
#PCAs,@7Shitdown,5
#PCAs,@2cooI4skull,5
#PCAs,@luny4shodrty,5
#PCAs,@TP_night_owl,5
#PCAs,@ephiphanys,5
#PCAs,@TSwiftNZ,5
#PCAs,@imhbitch,5
#PCAs,@scarxkth,5
#PCAs,@FundsForUSARMYs,5
#PCAs,@STARM_BTS,5
#PCAs,@jackthelover13,5
#PCAs,@aarchivesgrande,5
#PCAs,@whoreswiffer,4
#PCAs,@thatbangswiftie,4
#PCAs,@heelsnitaehyung,4
#PCAs,@eclipsedgun,4
#PCAs,@ASingnern,4
#PCAs,@JoelElPalta,4
#PCAs,@big_lilie,4
#PCAs,@daniel_fleire,4
#PCAs,@BTS_History613,4
#PCAs,@melonsecret,4
#PCAs,@idAVidsomething,4
#PCAs,@morninglightmy,4
#PCAs,@raindropskth,4
#PCAs,@BLACKPINKFML,4
#PCAs,@7bts_ing,4
#PCAs,@1711Kaka,4
#PCAs,@BTSVotingIndo,4
#PCAs,@Lessielightwood,4
#PCAs,@Life_Sleepyhead,4
#PCAs,@boyscout_kookie,4
#PCAs,@dacii13,4
#PCAs,@blinding1989,4
#PCAs,@tuktikk73,4
#PCAs,@Jin_Butterfly,4
#PCAs,@AndyanmO,4
#PCAs,@PurpleClick1,4
#PCAs,@Ot7Taekook,4
#PCAs,@GomNyangBTS,4
#PCAs,@ewkkm77,4
#PCAs,@Awaaa_lice,4
#PCAs,@Kookcakee,4
#PCAs,@BLUSHlNKOO,4
#PCAs,@blueishswift,4
#PCAs,@ak110029,4
#PCAs,@SGVoteSquad,4
#PCAs,@century22tyu8,4
#PCAs,@hapcha_0613,4
#PCAs,@NoiCilLoveLiLi,4
#PCAs,@something_52_2,4
#PCAs,@fetishofsmg,4
#PCAs,@xscriptedx,4
#PCAs,@sung11036013,4
#PCAs,@everydayv1230,4
#PCAs,@ApiKikon,4
#PCAs,@tanaritan,4
#PCAs,@NJ_EXTENDED,3
#PCAs,@MustacheJBs,3
#PCAs,@selgomezdata,3
#PCAs,@hvbiversx,3
#PCAs,@playvictim666,3
#PCAs,@TswiftStreet,3
#PCAs,@btsjk0197,3
#PCAs,@BLINK_REN1,3
#PCAs,@Jinin_heart,3
