src,dst,count
#PCAs,$1272730307850932224,43
#PCAs,$1249021998753169408,30
#PCAs,$1284879264165187584,29
#PCAs,$958917410,24
#PCAs,$1303157744610934784,19
#PCAs,$1248198243156033536,17
#PCAs,$1170557108502155264,16
#PCAs,$2571081321,15
#PCAs,$1275433728722874368,13
#PCAs,$1151291044442644480,13
#PCAs,$1294183596773666817,12
#PCAs,$962490330607116290,12
#PCAs,$1266023515485990917,12
#PCAs,$1310168765577875457,11
#PCAs,$1268063738399260672,11
#PCAs,$3359603015,11
#PCAs,$1030763501445246976,10
#PCAs,$1104269803861106688,10
#PCAs,$1305477854126366720,10
#PCAs,$1068079152039751685,10
#PCAs,$1220673279494512640,10
#PCAs,$1262908857917079553,10
#PCAs,$1302571954961084417,9
#PCAs,$1177915408910671872,9
#PCAs,$929327040590782466,9
#PCAs,$1227717827211165698,9
#PCAs,$1113791627372294144,9
#PCAs,$1277926295502872580,9
#PCAs,$3176472229,9
#PCAs,$1306664883505827840,8
#PCAs,$1297196919987396609,8
#PCAs,$1282390106775547904,8
#PCAs,$1213012019437170688,8
#PCAs,$1215704468622233600,8
#PCAs,$1309479166681571328,8
#PCAs,$1276080466932535296,8
#PCAs,$1311978327243141120,8
#PCAs,$1171997916510048256,7
#PCAs,$859774274856337409,7
#PCAs,$1283525789917618176,7
#PCAs,$873847599094128640,7
#PCAs,$1287364803485286400,7
#PCAs,$1161697170954825728,7
#PCAs,$1228999909556342785,7
#PCAs,$1255376265277833218,7
#PCAs,$782670181424205824,7
#PCAs,$1123408643422969856,7
#PCAs,$1254436848912543744,7
#PCAs,$1187344989141061633,7
#PCAs,$1081222799950151682,7
#PCAs,$1248084606105968641,7
#PCAs,$1045848629905305600,6
#PCAs,$934879181938114560,6
#PCAs,$1138001219006283776,6
#PCAs,$819783713366024192,6
#PCAs,$707263869597650944,6
#PCAs,$1301994380354560002,6
#PCAs,$1105824988051984389,6
#PCAs,$519977211,6
#PCAs,$1090854866870849538,6
#PCAs,$1256522913047474176,6
#PCAs,$1006828151199002625,6
#PCAs,$999617199751905280,6
#PCAs,$1106895339229872130,6
#PCAs,$1274997230252908545,6
#PCAs,$1111185601179480065,6
#PCAs,$1063736853331759105,6
#PCAs,$1005378537748979712,6
#PCAs,$1288217612111888384,6
#PCAs,$1310966997744676865,6
#PCAs,$1106907484554326016,6
#PCAs,$1053819776106037248,5
#PCAs,$1053954172339412996,5
#PCAs,$1274913550931070977,5
#PCAs,$2917899481,5
#PCAs,$1170577504504958976,5
#PCAs,$927047624678563840,5
#PCAs,$1259476065782652928,5
#PCAs,$1282896205710680066,5
#PCAs,$3161964356,5
#PCAs,$1290222621511081985,5
#PCAs,$974006551756320768,5
#PCAs,$1234827617963921408,5
#PCAs,$1216932382772584448,5
#PCAs,$1311851353702977536,5
#PCAs,$1276349950394159105,5
#PCAs,$1266253677716582401,5
#PCAs,$1233701655314518021,5
#PCAs,$1207574520917307393,5
#PCAs,$1117408442635829248,5
#PCAs,$1296742650943545345,5
#PCAs,$1088671532434386945,5
#PCAs,$1163369258039955456,5
#PCAs,$1006404221988626432,5
#PCAs,$1287679992311230467,5
#PCAs,$1229387129509203969,5
#PCAs,$1290521284242051073,5
#PCAs,$1034834658972844032,5
#PCAs,$1308500821823361027,5
#PCAs,$1128645750097715200,5
#PCAs,$1288003067909038081,5
#PCAs,$1033235799645405184,4
#PCAs,$1310220248969179137,4
#PCAs,$1248212073625993216,4
#PCAs,$1240516773738237953,4
#PCAs,$990846601718460416,4
#PCAs,$1285974825152831489,4
#PCAs,$1300355029476417536,4
#PCAs,$1250401809429983233,4
#PCAs,$913702088651137024,4
#PCAs,$1057857603131203585,4
#PCAs,$1157221547892989953,4
#PCAs,$825599547405504512,4
#PCAs,$1060441455540482048,4
#PCAs,$1302902440140832769,4
#PCAs,$1138355981404917761,4
#PCAs,$1106143573819322369,4
#PCAs,$1244690981439655937,4
#PCAs,$1125959079057211392,4
#PCAs,$1186940427368222720,4
#PCAs,$1269608654208188417,4
#PCAs,$1291926196905635840,4
#PCAs,$1279420037191720960,4
#PCAs,$1260496342377529344,4
#PCAs,$951344613503074304,4
#PCAs,$121839280,4
#PCAs,$1203506041360486401,4
#PCAs,$984036008462200832,4
#PCAs,$1233705833365528576,4
#PCAs,$1266247209093230593,4
#PCAs,$1135690851147964416,4
#PCAs,$1142691769932320769,4
#PCAs,$1106751626839126016,4
#PCAs,$1284849885498372096,4
#PCAs,$1252471605810180098,4
#PCAs,$1290689089931370497,4
#PCAs,$773429050614374401,4
#PCAs,$1243463428858998784,4
#PCAs,$1254408051039166465,4
#PCAs,$994040389752442880,4
#PCAs,$1120565631189909505,4
#PCAs,$913077047370555392,4
#PCAs,$993201969815666688,4
#PCAs,$1278545686049329152,4
#PCAs,$3335221390,3
#PCAs,$1301532685764943873,3
#PCAs,$1186551232179032064,3
#PCAs,$1272803932423757824,3
#PCAs,$1298412583481991168,3
#PCAs,$3958769893,3
#PCAs,$1305846123068878855,3
#PCAs,$1161185566752292866,3
