from,to,count
#PMModi_RozgarDo,$526325653,12
#PMModi_RozgarDo,$1296629571047972865,12
#PMModi_RozgarDo,$261615645,10
#PMModi_RozgarDo,$1279109607160287232,9
#PMModi_RozgarDo,$1280115367596064770,9
#PMModi_RozgarDo,$1254413972956221441,8
#PMModi_RozgarDo,$4387666154,7
#PMModi_RozgarDo,$1160439526046650370,7
#PMModi_RozgarDo,$1300687714929373187,7
#PMModi_RozgarDo,$1300323891823259648,6
#PMModi_RozgarDo,$1300634043499732992,6
#PMModi_RozgarDo,$1300522774226591744,6
#PMModi_RozgarDo,$4332094933,5
#PMModi_RozgarDo,$1300312647884328961,5
#PMModi_RozgarDo,$2474777132,5
#PMModi_RozgarDo,$1295771797644693505,5
#PMModi_RozgarDo,$1300777708943634433,5
#PMModi_RozgarDo,$715252510764564480,5
#PMModi_RozgarDo,$1248849799001944067,5
#PMModi_RozgarDo,$1300107166443999232,4
#PMModi_RozgarDo,$1280152828795932672,4
#PMModi_RozgarDo,$3021463075,4
#PMModi_RozgarDo,$1283789380465782786,4
#PMModi_RozgarDo,$1257883519101161473,4
#PMModi_RozgarDo,$1299987356951310336,4
#PMModi_RozgarDo,$1285938795745931264,4
#PMModi_RozgarDo,$1300695212126208000,4
#PMModi_RozgarDo,$1295763487172354048,4
#PMModi_RozgarDo,$1189119443667808263,3
#PMModi_RozgarDo,$1241677524897124353,3
#PMModi_RozgarDo,$1183073130639589383,3
#PMModi_RozgarDo,$1300271120138993664,3
#PMModi_RozgarDo,$1300672354062802944,3
#PMModi_RozgarDo,$1300411765637828608,3
#PMModi_RozgarDo,$2916454728,3
#PMModi_RozgarDo,$1301006338084843520,3
#PMModi_RozgarDo,$1301141704469221378,3
#PMModi_RozgarDo,$306697449,3
#PMModi_RozgarDo,$1160477157568765953,3
#PMModi_RozgarDo,$1047188501266157569,3
#PMModi_RozgarDo,$1269134605757620224,3
#PMModi_RozgarDo,$1095150698369433601,3
#PMModi_RozgarDo,$1257557927944024065,3
#PMModi_RozgarDo,$2733634508,3
#PMModi_RozgarDo,$1300742798161846272,3
#PMModi_RozgarDo,$1068127559861194752,3
#PMModi_RozgarDo,$1271366229475733506,3
#PMModi_RozgarDo,$1301446155536982017,3
#PMModi_RozgarDo,$283498089,3
#PMModi_RozgarDo,$1300630015155908608,3
#PMModi_RozgarDo,$1300436227884105732,3
#PMModi_RozgarDo,$1279030214916321280,3
#PMModi_RozgarDo,$1246802510242701314,3
#PMModi_RozgarDo,$1262679010590388224,3
#PMModi_RozgarDo,$1296697110134284288,3
#PMModi_RozgarDo,$835135733664985090,3
#PMModi_RozgarDo,$1181442653377855488,2
#PMModi_RozgarDo,$1282600560516927488,2
#PMModi_RozgarDo,$1281549537954299911,2
#PMModi_RozgarDo,$1300330710008438785,2
#PMModi_RozgarDo,$1300812151230087174,2
#PMModi_RozgarDo,$1243926281835560962,2
#PMModi_RozgarDo,$1688963216,2
#PMModi_RozgarDo,$1301367509271023617,2
