from,to,count
#ParentsDemandPostponeNEET,@11Petitioners,69
#ParentsDemandPostponeNEET,@DrRPNishank,25
#ParentsDemandPostponeNEET,@ArvindChaturved,25
#ParentsDemandPostponeNEET,@PMOIndia,13
#ParentsDemandPostponeNEET,@narendramodi,13
#ParentsDemandPostponeNEET,@Swamy39,13
#ParentsDemandPostponeNEET,@rashtrapatibhvn,12
#ParentsDemandPostponeNEET,@Indian__doctor,9
#ParentsDemandPostponeNEET,@TomRidd77486475,9
#ParentsDemandPostponeNEET,@SanjayDhotreMP,8
#ParentsDemandPostponeNEET,@PIB_India,8
#ParentsDemandPostponeNEET,@MIB_India,8
#ParentsDemandPostponeNEET,@EduMinOfIndia,8
#ParentsDemandPostponeNEET,@DDNewslive,8
#ParentsDemandPostponeNEET,@Suhail56697426,8
#ParentsDemandPostponeNEET,@VKVishnoi2,7
#ParentsDemandPostponeNEET,@Ajeetp739,7
#ParentsDemandPostponeNEET,@LicypriyaK,7
#ParentsDemandPostponeNEET,@jagdishshetty,7
#ParentsDemandPostponeNEET,@Prince06845429,6
#ParentsDemandPostponeNEET,@OfficeofUT,6
#ParentsDemandPostponeNEET,@anubha1812,6
#ParentsDemandPostponeNEET,@DG_NTA,5
#ParentsDemandPostponeNEET,@LAKSHYA53115648,5
#ParentsDemandPostponeNEET,@amitmalviya,5
#ParentsDemandPostponeNEET,@vivek_socialist,5
#ParentsDemandPostponeNEET,@MoHFW_INDIA,4
#ParentsDemandPostponeNEET,@adv_prateek0908,4
#ParentsDemandPostponeNEET,@SushreeNanda4,4
#ParentsDemandPostponeNEET,@PRAKASH86959255,4
#ParentsDemandPostponeNEET,@Shikha10241,3
#ParentsDemandPostponeNEET,@BJP4India,3
#ParentsDemandPostponeNEET,@Sanju_Verma_,3
#ParentsDemandPostponeNEET,@AIJNSA_official,3
#ParentsDemandPostponeNEET,@Jayasim06656356,3
#ParentsDemandPostponeNEET,@amsmam5,3
#ParentsDemandPostponeNEET,@VinitaA02069335,3
#ParentsDemandPostponeNEET,@FatemahNausheen,2
#ParentsDemandPostponeNEET,@samircog,2
#ParentsDemandPostponeNEET,@sanju_darby3402,2
#ParentsDemandPostponeNEET,@dhokriyal,1
#ParentsDemandPostponeNEET,@vaishumunde824,1
#ParentsDemandPostponeNEET,@Nishan_Kang,1
#ParentsDemandPostponeNEET,@AMANSINGH2198,1
#ParentsDemandPostponeNEET,@Krish4anand,1
#ParentsDemandPostponeNEET,@RaviKumar99870,1
#ParentsDemandPostponeNEET,@RaviYad24791543,1
#ParentsDemandPostponeNEET,@Rajiv95912324,1
#ParentsDemandPostponeNEET,@JasimKhan9560,1
#ParentsDemandPostponeNEET,@advocate_alakh,1
#ParentsDemandPostponeNEET,@Akriti92189420,1
#ParentsDemandPostponeNEET,@JwalaShukla2,1
#ParentsDemandPostponeNEET,@Shivani85556431,1
#ParentsDemandPostponeNEET,@SarrafShristy,1
#ParentsDemandPostponeNEET,@yadavhitesh960,1
#ParentsDemandPostponeNEET,@ruhh189,1
#ParentsDemandPostponeNEET,@MoaArmy05,1
#ParentsDemandPostponeNEET,@DuniyaLovememe,1
#ParentsDemandPostponeNEET,@DikeshKeisham,1
#ParentsDemandPostponeNEET,@Nasri45479054,1
#ParentsDemandPostponeNEET,@Akhi_____,1
#ParentsDemandPostponeNEET,@singh3836,1
#ParentsDemandPostponeNEET,@NeetUttarakhand,1
#ParentsDemandPostponeNEET,@HwlloN,1
#ParentsDemandPostponeNEET,@Priyada96617920,1
#ParentsDemandPostponeNEET,@GabaleSanjay,1
