from,to,count
#ParentsDemandPostponeNEET,$1295293915382218752,9
#ParentsDemandPostponeNEET,$1297481182729383941,9
#ParentsDemandPostponeNEET,$1301579107956699136,8
#ParentsDemandPostponeNEET,$1295986817666146309,8
#ParentsDemandPostponeNEET,$1294856407251001344,8
#ParentsDemandPostponeNEET,$881094561744998400,8
#ParentsDemandPostponeNEET,$1298625011721281536,7
#ParentsDemandPostponeNEET,$1298278081753382916,7
#ParentsDemandPostponeNEET,$1295968844394008576,7
#ParentsDemandPostponeNEET,$1096428823015505927,6
#ParentsDemandPostponeNEET,$1251556012793884672,6
#ParentsDemandPostponeNEET,$1286324229252603905,6
#ParentsDemandPostponeNEET,$1272827475689529344,6
#ParentsDemandPostponeNEET,$1270293656247787521,6
#ParentsDemandPostponeNEET,$1276855578845822976,5
#ParentsDemandPostponeNEET,$1239198753489219584,5
#ParentsDemandPostponeNEET,$1300673190142779399,5
#ParentsDemandPostponeNEET,$1291385956067467271,5
#ParentsDemandPostponeNEET,$1296805827618041858,5
#ParentsDemandPostponeNEET,$1299542340151906304,5
#ParentsDemandPostponeNEET,$1300068457137025025,5
#ParentsDemandPostponeNEET,$972140027818926080,5
#ParentsDemandPostponeNEET,$1297823821613772801,5
#ParentsDemandPostponeNEET,$932166195309985792,5
#ParentsDemandPostponeNEET,$1168791136808263681,5
#ParentsDemandPostponeNEET,$1297055544813879296,5
#ParentsDemandPostponeNEET,$1267998256841158657,5
#ParentsDemandPostponeNEET,$1260606062660648964,5
#ParentsDemandPostponeNEET,$1293085263648808960,5
#ParentsDemandPostponeNEET,$1295361309828096000,5
#ParentsDemandPostponeNEET,$1298281072686329856,5
#ParentsDemandPostponeNEET,$1297577225718337536,5
#ParentsDemandPostponeNEET,$1281559544150155264,5
#ParentsDemandPostponeNEET,$1298651065861017600,5
#ParentsDemandPostponeNEET,$1296598999386882048,5
#ParentsDemandPostponeNEET,$1272567499213533184,5
#ParentsDemandPostponeNEET,$1198551937949372416,5
#ParentsDemandPostponeNEET,$1301232444163592193,5
#ParentsDemandPostponeNEET,$1299213495813070850,5
#ParentsDemandPostponeNEET,$1271187926689345536,4
#ParentsDemandPostponeNEET,$1298808469743575040,4
#ParentsDemandPostponeNEET,$1302893428078911489,4
#ParentsDemandPostponeNEET,$1299918722413391872,4
#ParentsDemandPostponeNEET,$1296831739604504576,4
#ParentsDemandPostponeNEET,$1131726515345866752,4
#ParentsDemandPostponeNEET,$3313368317,4
#ParentsDemandPostponeNEET,$1289263565728227329,4
#ParentsDemandPostponeNEET,$1297911638851379200,4
#ParentsDemandPostponeNEET,$1297417003523690496,4
#ParentsDemandPostponeNEET,$1277990496313372672,4
#ParentsDemandPostponeNEET,$1296816374170312705,4
#ParentsDemandPostponeNEET,$1300294594785996801,4
#ParentsDemandPostponeNEET,$859800420247416832,4
#ParentsDemandPostponeNEET,$1244695788552253441,4
#ParentsDemandPostponeNEET,$1291838104345522176,4
#ParentsDemandPostponeNEET,$1291329347924574212,4
#ParentsDemandPostponeNEET,$1101455860251779074,4
#ParentsDemandPostponeNEET,$1298216028665602048,4
#ParentsDemandPostponeNEET,$1257928095572676608,4
#ParentsDemandPostponeNEET,$852745736563314688,4
#ParentsDemandPostponeNEET,$1297088789874008064,4
#ParentsDemandPostponeNEET,$1292497038563672065,4
#ParentsDemandPostponeNEET,$1296649671293558790,4
#ParentsDemandPostponeNEET,$1269522090241245185,4
#ParentsDemandPostponeNEET,$1296419596178604032,4
#ParentsDemandPostponeNEET,$1276591656179908610,4
#ParentsDemandPostponeNEET,$1042544040246358016,4
#ParentsDemandPostponeNEET,$1276751292434485248,4
#ParentsDemandPostponeNEET,$781738589910622209,4
#ParentsDemandPostponeNEET,$1297137167613886465,4
#ParentsDemandPostponeNEET,$1297096370931691520,4
#ParentsDemandPostponeNEET,$1285509851867574272,4
#ParentsDemandPostponeNEET,$1276741897977884674,4
#ParentsDemandPostponeNEET,$1293823639033270272,4
#ParentsDemandPostponeNEET,$918833714209079296,4
#ParentsDemandPostponeNEET,$1290983901037387777,4
#ParentsDemandPostponeNEET,$1277103012704444416,4
#ParentsDemandPostponeNEET,$1292811039856181248,4
#ParentsDemandPostponeNEET,$1296733456035061760,4
#ParentsDemandPostponeNEET,$1252286655102365697,4
#ParentsDemandPostponeNEET,$1294265360267399170,4
#ParentsDemandPostponeNEET,$1291794502256955392,4
#ParentsDemandPostponeNEET,$1253310074111422467,4
#ParentsDemandPostponeNEET,$702911507596603392,4
#ParentsDemandPostponeNEET,$1290651900472328195,4
#ParentsDemandPostponeNEET,$1295321476459950081,4
#ParentsDemandPostponeNEET,$1297373090121314305,4
#ParentsDemandPostponeNEET,$1299320543011766272,4
#ParentsDemandPostponeNEET,$1295277321700564992,4
#ParentsDemandPostponeNEET,$1265672020924272643,4
#ParentsDemandPostponeNEET,$1302899339912593409,4
#ParentsDemandPostponeNEET,$1299931285754793985,4
#ParentsDemandPostponeNEET,$1302272059725156352,4
#ParentsDemandPostponeNEET,$1296042386187890688,4
#ParentsDemandPostponeNEET,$1272804973374345220,4
#ParentsDemandPostponeNEET,$1294830353811570689,4
#ParentsDemandPostponeNEET,$1294176825501835264,4
#ParentsDemandPostponeNEET,$1256070180397932545,4
#ParentsDemandPostponeNEET,$1296724858902999041,3
#ParentsDemandPostponeNEET,$1302691845789499392,3
#ParentsDemandPostponeNEET,$1296787143134650368,3
#ParentsDemandPostponeNEET,$1297120460501475328,3
#ParentsDemandPostponeNEET,$1285607792082972672,3
#ParentsDemandPostponeNEET,$1296895045560279041,3
#ParentsDemandPostponeNEET,$1272037319097217024,3
#ParentsDemandPostponeNEET,$1296031029719752704,3
#ParentsDemandPostponeNEET,$1302142440703275009,3
#ParentsDemandPostponeNEET,$1292364138811928577,3
#ParentsDemandPostponeNEET,$730637567486509056,3
#ParentsDemandPostponeNEET,$1297101382936297473,3
#ParentsDemandPostponeNEET,$1276898680776175617,2
#ParentsDemandPostponeNEET,$1296387078184267778,2
#ParentsDemandPostponeNEET,$1298402558898253825,2
#ParentsDemandPostponeNEET,$1265171082362802176,2
#ParentsDemandPostponeNEET,$1221694962393214976,2
#ParentsDemandPostponeNEET,$1300004573642289152,2
#ParentsDemandPostponeNEET,$1296693853735383042,2
#ParentsDemandPostponeNEET,$1296656340815732736,2
#ParentsDemandPostponeNEET,$1235127771011014657,2
#ParentsDemandPostponeNEET,$1296088672480059394,2
#ParentsDemandPostponeNEET,$1295648201702350848,2
#ParentsDemandPostponeNEET,$1298682579516710912,2
#ParentsDemandPostponeNEET,$1295596438928285697,2
#ParentsDemandPostponeNEET,$1300428267594248199,2
#ParentsDemandPostponeNEET,$1297103569238110208,2
#ParentsDemandPostponeNEET,$1300385430341185540,2
#ParentsDemandPostponeNEET,$1296839672367386630,2
#ParentsDemandPostponeNEET,$1296692457615196160,2
#ParentsDemandPostponeNEET,$1296529753025810432,2
#ParentsDemandPostponeNEET,$1297685886461599744,1
#ParentsDemandPostponeNEET,$1276873330008584192,1
