from,to,count
#ProtestAgainstExamsInCOVID,@AISA_tweets,202
#ProtestAgainstExamsInCOVID,@Swamy39,6
#ProtestAgainstExamsInCOVID,@DrRPNishank,6
#ProtestAgainstExamsInCOVID,@narendramodi,3
#ProtestAgainstExamsInCOVID,@sakshijoshii,3
#ProtestAgainstExamsInCOVID,@EduMinOfIndia,3
#ProtestAgainstExamsInCOVID,@PMOIndia,3
#ProtestAgainstExamsInCOVID,@KashyapRanjan1,3
#ProtestAgainstExamsInCOVID,@deepak1111vns,3
#ProtestAgainstExamsInCOVID,@YASHBHATI09,2
#ProtestAgainstExamsInCOVID,@AISA_Rajasthan,2
#ProtestAgainstExamsInCOVID,@Arjun_Mehar,2
#ProtestAgainstExamsInCOVID,@SachinM76903833,2
#ProtestAgainstExamsInCOVID,@Siddhar22091557,2
#ProtestAgainstExamsInCOVID,@INCIndia,1
#ProtestAgainstExamsInCOVID,@PM0India,1
#ProtestAgainstExamsInCOVID,@YashMeghwal,1
#ProtestAgainstExamsInCOVID,@Chandra49852719,1
#ProtestAgainstExamsInCOVID,@RaviPra88924780,1
#ProtestAgainstExamsInCOVID,@msisodia,1
#ProtestAgainstExamsInCOVID,@Hindustanibalak,1
#ProtestAgainstExamsInCOVID,@11Petitioners,1
#ProtestAgainstExamsInCOVID,@SubhangiSarkar,1
#ProtestAgainstExamsInCOVID,@DG_NTA,1
#ProtestAgainstExamsInCOVID,@BJP4India,1
