src,dst,count
#Revolution4SSR,#JUSTICEFORSSR,55
#Revolution4SSR,#JusticeForJiahKhan,8
#Revolution4SSR,#ArrestDishaSSRKillers,8
#Revolution4SSR,#ArrestSSRKillersNow,2
#Revolution4SSR,#PostalProtest4SSR,2
#Revolution4SSR,#PostalProtestForSSR,2
#Revolution4SSR,#PostalRevolution4SSR,2
#Revolution4SSR,#WarriorsRoar4SSR,2
#Revolution4SSR,#Warriors4SSR,2
#Revolution4SSR,#Dipesh,1
#Revolution4SSR,#ArrestSSRkillersAntinationalkhansakshyekumarmaheshbhatadityathackery,1
#Revolution4SSR,#JayaSaha,1
#Revolution4SSR,#Kshitij,1
#Revolution4SSR,#justiceforsushantsinghrajputDisha,1
#Revolution4SSR,#302ForKillersOfSSR,1
#Revolution4SSR,#Satyagrah4SSR,1
#Revolution4SSR,#SamuelMiranda,1
#Revolution4SSR,#ShrutiModi,1
#Revolution4SSR,#Warriors4SRR,1
#Revolution4SSR,#Ankit,1
#Revolution4SSR,#justice4SSR,1
#Revolution4SSR,#ड्रामेबाज_भाईबहन,1
#Revolution4SSR,#RheaLiedAboutSSR,1
#Revolution4SSR,#Revolution4SSRCBI,1
#Revolution4SSR,#ActLikePappu,1
