from,to,count
#SpeakUpForSSCRailwayStudents,@PMOIndia,96
#SpeakUpForSSCRailwayStudents,@narendramodi,67
#SpeakUpForSSCRailwayStudents,@RaMoSirOfficial,49
#SpeakUpForSSCRailwayStudents,@kmrvivek14,33
#SpeakUpForSSCRailwayStudents,@PiyushGoyal,30
#SpeakUpForSSCRailwayStudents,@abhinaymaths,28
#SpeakUpForSSCRailwayStudents,@GaganPratapMath,24
#SpeakUpForSSCRailwayStudents,@AmitShah,19
#SpeakUpForSSCRailwayStudents,@DrGauravGarg4,19
#SpeakUpForSSCRailwayStudents,@DoPTGoI,19
#SpeakUpForSSCRailwayStudents,@DrJitendraSingh,18
#SpeakUpForSSCRailwayStudents,@rahulbhitiya,14
#SpeakUpForSSCRailwayStudents,@AmanSavita_,12
#SpeakUpForSSCRailwayStudents,@ArvindKejriwal,11
#SpeakUpForSSCRailwayStudents,@exampuroficial,11
#SpeakUpForSSCRailwayStudents,@aajtak,9
#SpeakUpForSSCRailwayStudents,@Vinaybsftrivedi,9
#SpeakUpForSSCRailwayStudents,@DrRPNishank,9
#SpeakUpForSSCRailwayStudents,@RailMinIndia,9
#SpeakUpForSSCRailwayStudents,@RahulGandhi,8
#SpeakUpForSSCRailwayStudents,@kajalwasnik1,8
#SpeakUpForSSCRailwayStudents,@pbhushan1,7
#SpeakUpForSSCRailwayStudents,@PiyushGoyalOffc,7
#SpeakUpForSSCRailwayStudents,@ridhimb,7
#SpeakUpForSSCRailwayStudents,@RubikaLiyaquat,7
#SpeakUpForSSCRailwayStudents,@brijmoh23196927,7
#SpeakUpForSSCRailwayStudents,@DrKumarVishwas,6
#SpeakUpForSSCRailwayStudents,@SonuSood,6
#SpeakUpForSSCRailwayStudents,@HMOIndia,6
#SpeakUpForSSCRailwayStudents,@Saurabhind121,6
#SpeakUpForSSCRailwayStudents,@Amitesh34174293,6
#SpeakUpForSSCRailwayStudents,@anjanaomkashyap,6
#SpeakUpForSSCRailwayStudents,@dhananjay_dhir,5
#SpeakUpForSSCRailwayStudents,@VinayPr67335147,5
#SpeakUpForSSCRailwayStudents,@RojgarWith,5
#SpeakUpForSSCRailwayStudents,@AnjaliG43472503,5
#SpeakUpForSSCRailwayStudents,@BJP4India,5
#SpeakUpForSSCRailwayStudents,@ndtv,5
#SpeakUpForSSCRailwayStudents,@SurajRa18495011,5
#SpeakUpForSSCRailwayStudents,@KailashRjMewara,5
#SpeakUpForSSCRailwayStudents,@AmitShahOffice,5
#SpeakUpForSSCRailwayStudents,@ndtvindia,5
#SpeakUpForSSCRailwayStudents,@MayankP39437260,4
#SpeakUpForSSCRailwayStudents,@SpeakSSCrailway,4
#SpeakUpForSSCRailwayStudents,@bhupsa_charan,4
#SpeakUpForSSCRailwayStudents,@Nikita58212401,4
#SpeakUpForSSCRailwayStudents,@Muskanvarsha,4
#SpeakUpForSSCRailwayStudents,@im_Ajit_kumar,4
#SpeakUpForSSCRailwayStudents,@AmanSin52807475,4
#SpeakUpForSSCRailwayStudents,@dopt,4
#SpeakUpForSSCRailwayStudents,@EduMinOfIndia,4
#SpeakUpForSSCRailwayStudents,@saurabhtop,4
