from,to,count
#StopPrivatisation_SaveGovtJob,$760442945443168256,30
#StopPrivatisation_SaveGovtJob,$1300741314552631296,18
#StopPrivatisation_SaveGovtJob,$809102084544950272,16
#StopPrivatisation_SaveGovtJob,$958984482576515072,13
#StopPrivatisation_SaveGovtJob,$1264412003000635394,13
#StopPrivatisation_SaveGovtJob,$1300619563554336770,12
#StopPrivatisation_SaveGovtJob,$1297788400297054210,12
#StopPrivatisation_SaveGovtJob,$814153965646426112,10
#StopPrivatisation_SaveGovtJob,$1292007446127443969,10
#StopPrivatisation_SaveGovtJob,$968832152459792384,10
#StopPrivatisation_SaveGovtJob,$1300828316346146816,9
#StopPrivatisation_SaveGovtJob,$1116159907,9
#StopPrivatisation_SaveGovtJob,$1297120273855057920,9
#StopPrivatisation_SaveGovtJob,$1300284231055151105,9
#StopPrivatisation_SaveGovtJob,$1300433749587316740,8
#StopPrivatisation_SaveGovtJob,$1269523910342569984,8
#StopPrivatisation_SaveGovtJob,$1296811255609450496,7
#StopPrivatisation_SaveGovtJob,$916683862926749696,7
#StopPrivatisation_SaveGovtJob,$1300250920677027840,7
#StopPrivatisation_SaveGovtJob,$247124810,7
#StopPrivatisation_SaveGovtJob,$1241045948790214657,7
#StopPrivatisation_SaveGovtJob,$1252875577230426113,7
#StopPrivatisation_SaveGovtJob,$1300703745857081344,7
#StopPrivatisation_SaveGovtJob,$1106605803799220225,7
#StopPrivatisation_SaveGovtJob,$1284105304410451970,6
#StopPrivatisation_SaveGovtJob,$1299753477434871809,6
#StopPrivatisation_SaveGovtJob,$1273530646778896384,6
#StopPrivatisation_SaveGovtJob,$1259860847591075841,6
#StopPrivatisation_SaveGovtJob,$1300693707608322050,6
#StopPrivatisation_SaveGovtJob,$1261277787370876928,6
#StopPrivatisation_SaveGovtJob,$1011538078089953280,6
#StopPrivatisation_SaveGovtJob,$1299388948653858816,6
#StopPrivatisation_SaveGovtJob,$1039475389091995648,6
#StopPrivatisation_SaveGovtJob,$1285938795745931264,6
#StopPrivatisation_SaveGovtJob,$1166567341385236486,6
#StopPrivatisation_SaveGovtJob,$1300795360932028416,6
#StopPrivatisation_SaveGovtJob,$1300604373509132288,6
#StopPrivatisation_SaveGovtJob,$2481062942,6
#StopPrivatisation_SaveGovtJob,$1300715536183996416,6
#StopPrivatisation_SaveGovtJob,$1300153036287819776,6
#StopPrivatisation_SaveGovtJob,$970173449267228674,6
#StopPrivatisation_SaveGovtJob,$1227837688746635264,6
#StopPrivatisation_SaveGovtJob,$1227537990861258752,6
#StopPrivatisation_SaveGovtJob,$919168994891853824,6
#StopPrivatisation_SaveGovtJob,$1255877349637337088,6
#StopPrivatisation_SaveGovtJob,$1282534483904720896,6
#StopPrivatisation_SaveGovtJob,$1300698541522706433,5
#StopPrivatisation_SaveGovtJob,$1296143971735842816,5
#StopPrivatisation_SaveGovtJob,$1288423463875563520,5
#StopPrivatisation_SaveGovtJob,$1269045391825068033,5
#StopPrivatisation_SaveGovtJob,$1279021551640182785,5
#StopPrivatisation_SaveGovtJob,$1247517364427476992,5
#StopPrivatisation_SaveGovtJob,$1300032946242351104,5
#StopPrivatisation_SaveGovtJob,$865287396203606018,5
#StopPrivatisation_SaveGovtJob,$1300373525291655169,5
#StopPrivatisation_SaveGovtJob,$833665281616707589,5
#StopPrivatisation_SaveGovtJob,$1299388814335459329,5
#StopPrivatisation_SaveGovtJob,$1300299039552884736,5
#StopPrivatisation_SaveGovtJob,$1300635190750924801,5
#StopPrivatisation_SaveGovtJob,$1300044252294991874,5
#StopPrivatisation_SaveGovtJob,$1300136033644756992,5
#StopPrivatisation_SaveGovtJob,$1300708227382829057,5
