src,dst,count
#TheFemaleArtist,@taylorswift13,350
#TheFemaleArtist,@ArianaGrande,214
#TheFemaleArtist,@arianagrandebr,65
#TheFemaleArtist,@wildestscreamz,45
#TheFemaleArtist,@sarasfilter,35
#TheFemaleArtist,@streameilish,31
#TheFemaleArtist,@TSwiftNewsLA,30
#TheFemaleArtist,@btsroyaIty,27
#TheFemaleArtist,@thatbangswiftie,22
#TheFemaleArtist,@thuggasdaughter,20
#TheFemaleArtist,@alltooawake,19
#TheFemaleArtist,@treepaine,19
#TheFemaleArtist,@TayIorVoteStats,17
#TheFemaleArtist,@VMINIGGAS,17
#TheFemaleArtist,@ArianaVoteStats,15
#TheFemaleArtist,@ArianaToday,14
#TheFemaleArtist,@lillyswiftt13,14
#TheFemaleArtist,@shadyswift89,12
#TheFemaleArtist,@starfolklore,12
#TheFemaleArtist,@dan13red,11
#TheFemaleArtist,@iicarvsxwallss,10
#TheFemaleArtist,@dtaymr,10
#TheFemaleArtist,@arianatorswildt,10
#TheFemaleArtist,@johngrande09,9
#TheFemaleArtist,@grandeupdte,9
#TheFemaleArtist,@jusvibinluv,9
#TheFemaleArtist,@blindingrep,9
#TheFemaleArtist,@bloodlineloves,9
#TheFemaleArtist,@TaylorARSource1,9
#TheFemaleArtist,@YSTanSwift,8
#TheFemaleArtist,@repslover13,8
#TheFemaleArtist,@arianafanhun,8
#TheFemaleArtist,@TChartSwift,7
#TheFemaleArtist,@RKlVEHOYA,7
#TheFemaleArtist,@breathinAri0,6
#TheFemaleArtist,@nick_olsga2,6
#TheFemaleArtist,@fuckit_ilove,6
#TheFemaleArtist,@_BackToAugust_,6
#TheFemaleArtist,@2cooI4skull,6
#TheFemaleArtist,@seoksza,6
#TheFemaleArtist,@AlisonHein4,6
#TheFemaleArtist,@chasetwogirls,6
#TheFemaleArtist,@1taylorarchive3,6
#TheFemaleArtist,@Tay4Shawn,5
#TheFemaleArtist,@marlofasia,5
#TheFemaleArtist,@judielswift,5
#TheFemaleArtist,@jangrandeswift,5
#TheFemaleArtist,@blinding1989,5
#TheFemaleArtist,@okbutjimin,5
#TheFemaleArtist,@taylorailson,5
#TheFemaleArtist,@iamcardib,5
#TheFemaleArtist,@urnotmyhomeland,5
#TheFemaleArtist,@taylornation13,5
#TheFemaleArtist,@TSupates_arabic,5
#TheFemaleArtist,@swiftespos,5
#TheFemaleArtist,@melodramaswift1,5
#TheFemaleArtist,@bloodyforswift,5
#TheFemaleArtist,@vlibours,4
#TheFemaleArtist,@Wonderrllland,4
#TheFemaleArtist,@TaylorSW,4
#TheFemaleArtist,@SALVx1133,4
#TheFemaleArtist,@MGBAOUF,4
#TheFemaleArtist,@Magoa2AM,4
#TheFemaleArtist,@MyEvery05284686,4
#TheFemaleArtist,@Rw01DEREK,4
#TheFemaleArtist,@mvrtyf,4
#TheFemaleArtist,@teoxstan,4
#TheFemaleArtist,@bangswiftlife,4
#TheFemaleArtist,@cherrylips133,4
#TheFemaleArtist,@flapachaa,4
#TheFemaleArtist,@infoari,4
#TheFemaleArtist,@grandeszfeeling,4
#TheFemaleArtist,@mygglitter,4
#TheFemaleArtist,@swtnrkoos,3
#TheFemaleArtist,@WonnderIand,3
#TheFemaleArtist,@nicxgrande,3
#TheFemaleArtist,@lullabiesfly,3
#TheFemaleArtist,@onlyorbiit,3
#TheFemaleArtist,@lauramarano,3
#TheFemaleArtist,@needypussyforya,3
#TheFemaleArtist,@enews,3
#TheFemaleArtist,@JulieAfterglow_,3
#TheFemaleArtist,@bestoftaylorr,3
#TheFemaleArtist,@SwiftVoting13,3
#TheFemaleArtist,@monstersuxx,3
#TheFemaleArtist,@swifferstruggle,3
#TheFemaleArtist,@tanaritan,3
#TheFemaleArtist,@agbwneedy,3
#TheFemaleArtist,@bettydiala,3
#TheFemaleArtist,@MmFolklore,3
#TheFemaleArtist,@folklhoe,3
#TheFemaleArtist,@fancysnaake,3
#TheFemaleArtist,@minesrare,3
#TheFemaleArtist,@1989_folkrep,3
#TheFemaleArtist,@vonapitzari,3
#TheFemaleArtist,@TAYLORHATERSMAD,3
#TheFemaleArtist,@TSwift_squad,3
#TheFemaleArtist,@iamhaunted13,3
#TheFemaleArtist,@mytearsuntold,3
#TheFemaleArtist,@dazzlingghaze,3
#TheFemaleArtist,@ahmedswift13,3
#TheFemaleArtist,@TBYANITA,2
#TheFemaleArtist,@chartarianag,2
#TheFemaleArtist,@foIkIorestreet,2
#TheFemaleArtist,@tbsheaven,2
#TheFemaleArtist,@REDloreoutsold,2
#TheFemaleArtist,@tbyslutt,2
#TheFemaleArtist,@EV1YL,2
#TheFemaleArtist,@wlidestdraems,2
#TheFemaleArtist,@ArianaWorldHQ,2
#TheFemaleArtist,@Namukrive,2
#TheFemaleArtist,@augustwhore13,2
#TheFemaleArtist,@sivistif,2
