src,dst,count
#TheMandalorian,@themandalorian,367
#TheMandalorian,@starwars,187
#TheMandalorian,@WWE,17
#TheMandalorian,@SashaBanksWWE,17
#TheMandalorian,@disneyplus,16
#TheMandalorian,@Disney,11
#TheMandalorian,@starwarstuff,5
#TheMandalorian,@JDeanWilliams,4
#TheMandalorian,@StarWarsUK,3
#TheMandalorian,@geoffkeighley,2
#TheMandalorian,@DisneyPlusUK,2
#TheMandalorian,@getFANDOM,2
#TheMandalorian,@EW,2
#TheMandalorian,@DisneyD23,1
#TheMandalorian,@PhilSzostak,1
#TheMandalorian,@ButWhyThoPC,1
#TheMandalorian,@Arwen_Datnoid,1
#TheMandalorian,@adrianobolo,1
#TheMandalorian,@OnTheRedCarpet,1
#TheMandalorian,@BretMaverick777,1
#TheMandalorian,@CatCandescent,1
#TheMandalorian,@KingofMunsters1,1
#TheMandalorian,@MattOzzy1982,1
#TheMandalorian,@mjmgop,1
#TheMandalorian,@Corey_WolfPack,1
#TheMandalorian,@disneyboardwalk,1
