src,dst,count
#Turkey,#Azerbaijan,53
#Turkey,#Armenia,35
#Turkey,#Aze,23
#Turkey,#Artsakh,23
#Turkey,#France,20
#Turkey,#StopAzerbaijaniAggression,19
#Turkey,#StopErdogan,18
#Turkey,#SanctionTurkey,13
#Turkey,#Karabakh,10
#Turkey,#ArtsakhStrong,9
#Turkey,#Russia,9
#Turkey,#NagornoKarabakh,8
#Turkey,#StopAliyev,6
#Turkey,#Kurdish,6
#Turkey,#Syria,6
#Turkey,#terrorist,5
#Turkey,#Greece,4
#Turkey,#Martuni,4
#Turkey,#Iran,3
#Turkey,#EUCO,3
#Turkey,#terrorists,3
#Turkey,#StopTurkey,3
#Turkey,#EmmanuelMacron,3
#Turkey,#NKpeace,3
#Turkey,#ՀԱՂԹԵԼՈՒԵՆՔ,3
#Turkey,#EU,2
#Turkey,#NKRpeace,2
#Turkey,#India,2
#Turkey,#KarabakhStrong,2
#Turkey,#Pakistan,2
#Turkey,#USA,2
#Turkey,#Erdogan,2
#Turkey,#Syrian,2
#Turkey,#Azerbaijani,2
#Turkey,#Armenian,2
#Turkey,#StopAzerbaijaniAggressionnn,2
#Turkey,#فولو,2
#Turkey,#NKPeace,2
#Turkey,#Stepanakert,2
#Turkey,#mercenary,2
#Turkey,#COVID19,2
#Turkey,#TurkeyIsATerrorState,2
#Turkey,#Artsakhstrong,2
#Turkey,#WarInKarabakh,2
#Turkey,#Smyrna,1
#Turkey,#Aliyev,1
#Turkey,#مشاهير,1
#Turkey,#مصر,1
#Turkey,#soon,1
#Turkey,#Kashmir,1
#Turkey,#Holocaust,1
#Turkey,#Kemalist,1
#Turkey,#Merkel,1
#Turkey,#ArmeniaStrong,1
#Turkey,#ConceptTvNews,1
#Turkey,#متابع,1
#Turkey,#karabakisarmenia,1
#Turkey,#DirilisErtugrul,1
#Turkey,#ErtugrulGhazi,1
#Turkey,#RecognizeArtsakhRepublic,1
#Turkey,#StopAzerbaijniAggression,1
#Turkey,#WarCrimes,1
#Turkey,#متابعة,1
#Turkey,#StopAzerbaijaniAgression,1
#Turkey,#لبنان,1
#Turkey,#love,1
#Turkey,#pakistanairforce,1
#Turkey,#Iraqi,1
#Turkey,#Kuwait,1
#Turkey,#UNGA,1
#Turkey,#Video,1
#Turkey,#_لسعوديه,1
#Turkey,#explore,1
#Turkey,#iraq,1
#Turkey,#music,1
#Turkey,#ArtsakhIsArmenia,1
#Turkey,#اكسبلور,1
#Turkey,#الأردن,1
#Turkey,#الجزائر,1
#Turkey,#العالم,1
#Turkey,#العراق,1
#Turkey,#المغرب,1
#Turkey,#تونس,1
#Turkey,#تيك_توك,1
#Turkey,#حول_العالم,1
#Turkey,#لايك,1
#Turkey,#Azerbaidjan,1
#Turkey,#EastMed,1
#Turkey,#PKK,1
#Turkey,#Egypt,1
#Turkey,#Germany,1
#Turkey,#Covid_19,1
#Turkey,#CanYaman,1
#Turkey,#COVIDー19,1
#Turkey,#Italy,1
#Turkey,#Libya,1
#Turkey,#NATO,1
#Turkey,#SaudiArabia,1
#Turkey,#Cyprus,1
#Turkey,#UAE,1
#Turkey,#UK,1
#Turkey,#COVID,1
#Turkey,#Yemen,1
#Turkey,#BREAKING,1
#Turkey,#Belarus,1
#Turkey,#Inflation,1
#Turkey,#AgriesMelisses,1
#Turkey,#TheBachelorGR,1
#Turkey,#China,1
#Turkey,#KarabakhisArmenia,1
#Turkey,#İstanbul,1
#Turkey,#Russie,1
#Turkey,#Turquie,1
#Turkey,#SouthCaucasus,1
#Turkey,#Iranian,1
#Turkey,#BoycottTurkey,1
#Turkey,#democracy,1
#Turkey,#dictatorship,1
#Turkey,#Islamists,1
#Turkey,#Erdoğan,1
#Turkey,#StopTurkishAggression,1
#Turkey,#azarbaijan,1
#Turkey,#اذريبجان,1
#Turkey,#Belgium,1
#Turkey,#AzerbaijaniAggression,1
#Turkey,#καταληψεις,1
#Turkey,#thebooth,1
#Turkey,#kalomesimeraki,1
#Turkey,#acropolislights,1
#Turkey,#StopAzeriAgression,1
#Turkey,#PakistanArmy,1
