src,dst,count
#Turkey,@sharafyan_a,25
#Turkey,@JonathanLacote,23
#Turkey,@ArmeniaMODTeam,22
#Turkey,@lemondefr,14
#Turkey,@EmmanuelMacron,10
#Turkey,@RTErdogan,6
#Turkey,@eucopresident,6
#Turkey,@GAITAMIMI1,6
#Turkey,@ManeAdamian,5
#Turkey,@AraratMirzoyan,5
#Turkey,@GillesBoyer,4
#Turkey,@ManfredWeber,3
#Turkey,@JosepBorrellF,3
#Turkey,@ANZHELA211291,3
#Turkey,@NikolPashinyan,3
#Turkey,@ann_tade,2
#Turkey,@masterdaao,2
#Turkey,@algalitsky,2
#Turkey,@ZMnatsakanyan,2
#Turkey,@vonderleyen,2
#Turkey,@RealNobakhtAhad,1
#Turkey,@ConceptTVNews,1
#Turkey,@SteliosKoul,1
#Turkey,@PetrosKokkalis,1
#Turkey,@Greek_Genocide,1
#Turkey,@M_Kefalogiannis,1
#Turkey,@ElenaKountoura,1
#Turkey,@UN_PGA,1
#Turkey,@volkan_bozkir,1
#Turkey,@armnewstoday,1
#Turkey,@v_meimarakis,1
#Turkey,@papadimoulis,1
#Turkey,@EuropaJens,1
#Turkey,@iwlagos,1
#Turkey,@tass_agency,1
#Turkey,@GiorgosKyrtsos,1
#Turkey,@ArmPublicTV,1
#Turkey,@ShoghikVardany1,1
#Turkey,@anadoluagency,1
#Turkey,@hildebentele,1
#Turkey,@egebhardtMdEP,1
#Turkey,@MammadzadaNara,1
#Turkey,@caspary,1
#Turkey,@HIDDENTRUTH99,1
#Turkey,@Abik014,1
#Turkey,@DrStefanBerger,1
#Turkey,@Makis_Kevrekidi,1
#Turkey,@Georg_Karajan,1
#Turkey,@mfankr,1
#Turkey,@HeikoMaas,1
#Turkey,@ALDEParty,1
#Turkey,@skynewsarabia,1
#Turkey,@naghdalyan,1
#Turkey,@rusembassyARM,1
#Turkey,@mfa_russia,1
#Turkey,@embrus_az,1
#Turkey,@KremlinRussia,1
#Turkey,@arax792,1
#Turkey,@AvinyanTigran,1
#Turkey,@dp_lu,1
#Turkey,@RenewEurope,1
#Turkey,@MonicaSemedoLux,1
#Turkey,@LinsNorbert,1
#Turkey,@EP_Interpreters,1
#Turkey,@kathilynnaustin,1
#Turkey,@_arturowin,1
#Turkey,@sar_u_dzor,1
#Turkey,@LilitAvagyan89,1
#Turkey,@ANiebler,1
#Turkey,@steve_hanke,1
#Turkey,@herszenhorn,1
#Turkey,@farhadanaroglu,1
#Turkey,@Izabel32696728,1
#Turkey,@AstghArakelian,1
#Turkey,@Haidar_Ahmad_,1
#Turkey,@guardian,1
#Turkey,@Robbie_Raul,1
#Turkey,@CharlesMichel,1
#Turkey,@cashnews2019,1
#Turkey,@ArmitageUNFPA,1
