from,to,count
#Warntag2020,@_olivergr,66
#Warntag2020,@derrechterand,10
#Warntag2020,@DrWaumiau,9
#Warntag2020,@DerPoppe,7
#Warntag2020,@BBK_Bund,4
#Warntag2020,@DrWieIer,3
#Warntag2020,@risklayer,2
#Warntag2020,@panzerfahrer,2
#Warntag2020,@FloGehm,2
#Warntag2020,@SirSchnee,2
#Warntag2020,@derInnensenator,2
#Warntag2020,@katwarn_de,2
#Warntag2020,@CIoudinee,1
#Warntag2020,@traumherz,1
#Warntag2020,@deutschetelekom,1
#Warntag2020,@SAPdach,1
#Warntag2020,@parents4future,1
#Warntag2020,@tonline_news,1
#Warntag2020,@EinAugenschmaus,1
#Warntag2020,@_Lautes_Denken,1
#Warntag2020,@ladyedensong,1
#Warntag2020,@Johann_v_d_Bron,1
#Warntag2020,@THWPresse,1
#Warntag2020,@Seenotretter,1
#Warntag2020,@ThortiDA,1
#Warntag2020,@HHguidemelanie,1
#Warntag2020,@DSM_Nordkirche,1
#Warntag2020,@stadt_dresden,1
#Warntag2020,@alexanderkeuk,1
#Warntag2020,@VHSDresden,1
#Warntag2020,@Frisobotter,1
#Warntag2020,@ntvde,1
#Warntag2020,@thE_rZA_Cons,1
#Warntag2020,@DHLPaket,1
#Warntag2020,@DailyWitz,1
#Warntag2020,@Astariel_,1
#Warntag2020,@SRKommunikation,1
#Warntag2020,@MerzigWadern,1
#Warntag2020,@Ter23Ry,1
#Warntag2020,@arminhempel,1
#Warntag2020,@_MrMueller,1
#Warntag2020,@83metoo,1
#Warntag2020,@marvinpoo,1
#Warntag2020,@KackPinata,1
#Warntag2020,@officiallyjoko,1
#Warntag2020,@FeuerwehrDU,1
#Warntag2020,@damitdasklaas,1
#Warntag2020,@ZDFneo,1
#Warntag2020,@xaviernaidoo,1
#Warntag2020,@stadtdortmund,1
#Warntag2020,@FW_Dortmund,1
#Warntag2020,@DOCODO,1
#Warntag2020,@AufHerz,1
#Warntag2020,@KalleHD,1
#Warntag2020,@HumanKoala,1
#Warntag2020,@Niklas52849211,1
#Warntag2020,@jan_wiebe,1
#Warntag2020,@MiWuLa,1
