from,to,count
#WeRespectVets,@ProjectLincoln,69
#WeRespectVets,@realDonaldTrump,35
#WeRespectVets,@ritakiser25,33
#WeRespectVets,@CharlotteTragos,28
#WeRespectVets,@vlane_6,23
#WeRespectVets,@WasFormerGop13,22
#WeRespectVets,@DebChristiana,22
#WeRespectVets,@camsgot8,20
#WeRespectVets,@jimdavis1026,19
#WeRespectVets,@JDCocchiarella,18
#WeRespectVets,@KiaTavares,17
#WeRespectVets,@MindyPtrck,17
#WeRespectVets,@addie_zinone,14
#WeRespectVets,@Kharm66594111,9
#WeRespectVets,@JCompson_III,4
#WeRespectVets,@usairforce,2
#WeRespectVets,@SenateGOP,1
#WeRespectVets,@lagloriacubano,1
#WeRespectVets,@VP,1
#WeRespectVets,@Mike_Pence,1
#WeRespectVets,@KimHenke1,1
#WeRespectVets,@WhiteHouse,1
#WeRespectVets,@thehill,1
#WeRespectVets,@AynRandPaulRyan,1
#WeRespectVets,@JohnFCorbin,1
#WeRespectVets,@PressSec,1
#WeRespectVets,@TheRickWilson,1
#WeRespectVets,@notanothermomma,1
#WeRespectVets,@PrincessBravato,1
