from,to,count
#WeRespectVets,$1270335128431140866,17
#WeRespectVets,$388480563,7
#WeRespectVets,$4776805154,4
#WeRespectVets,$2323335038,4
#WeRespectVets,$3397079415,4
#WeRespectVets,$422146797,4
#WeRespectVets,$877945701921165312,4
#WeRespectVets,$1187461584,4
#WeRespectVets,$552040244,4
#WeRespectVets,$32308064,4
#WeRespectVets,$302182335,3
#WeRespectVets,$1273283660901466112,3
#WeRespectVets,$1151135874010058752,3
#WeRespectVets,$144668938,3
#WeRespectVets,$29245282,3
#WeRespectVets,$1299498988262117376,3
#WeRespectVets,$832102581111382016,3
#WeRespectVets,$1295969904298987521,2
#WeRespectVets,$808533811,2
#WeRespectVets,$32587634,2
#WeRespectVets,$1296581608946966529,2
#WeRespectVets,$2282635400,2
#WeRespectVets,$247791531,2
#WeRespectVets,$480900509,2
#WeRespectVets,$1094131295108489216,2
#WeRespectVets,$2847140499,2
#WeRespectVets,$785483318020153344,2
#WeRespectVets,$867065571845824513,2
#WeRespectVets,$1142504876036857856,2
#WeRespectVets,$42948592,2
#WeRespectVets,$764804052324610050,2
#WeRespectVets,$1639489950,2
#WeRespectVets,$1295772210007703553,2
#WeRespectVets,$540397056,2
#WeRespectVets,$1067383494,2
#WeRespectVets,$51971488,2
#WeRespectVets,$1380535472,2
#WeRespectVets,$963813649155526657,2
#WeRespectVets,$2369467405,2
#WeRespectVets,$4356825256,2
#WeRespectVets,$1290037660816273410,2
#WeRespectVets,$1262193302830411776,2
#WeRespectVets,$16630897,2
#WeRespectVets,$1029178161987297281,2
#WeRespectVets,$758324636199202816,2
#WeRespectVets,$1238511310343507969,2
#WeRespectVets,$3687793153,2
#WeRespectVets,$1017032688060911616,2
#WeRespectVets,$277537626,2
#WeRespectVets,$385717299,2
#WeRespectVets,$775319542688088064,1
#WeRespectVets,$1265983130785243139,1
#WeRespectVets,$1235349460458393607,1
#WeRespectVets,$1211673312352325632,1
#WeRespectVets,$17340590,1
#WeRespectVets,$1286394181506785281,1
#WeRespectVets,$97702651,1
#WeRespectVets,$472559695,1
#WeRespectVets,$31293845,1
#WeRespectVets,$70776910,1
#WeRespectVets,$17941796,1
#WeRespectVets,$1712849263,1
#WeRespectVets,$1251686234533113856,1
#WeRespectVets,$1403264108,1
#WeRespectVets,$1253053538042810368,1
#WeRespectVets,$1294015363806425088,1
#WeRespectVets,$975395003231973376,1
#WeRespectVets,$2732553018,1
#WeRespectVets,$176450865,1
#WeRespectVets,$1733670572,1
#WeRespectVets,$1038592419061800960,1
#WeRespectVets,$1020639583506173953,1
#WeRespectVets,$83602448,1
#WeRespectVets,$742124566944698368,1
#WeRespectVets,$709457214239453188,1
#WeRespectVets,$2149471645,1
#WeRespectVets,$2233708580,1
#WeRespectVets,$1274491640166612993,1
#WeRespectVets,$732971256,1
#WeRespectVets,$1282316110658826243,1
#WeRespectVets,$1273230516750372864,1
#WeRespectVets,$44534156,1
#WeRespectVets,$1218605146462216193,1
#WeRespectVets,$1216822979990097920,1
#WeRespectVets,$1123087171060211715,1
#WeRespectVets,$716931229250154496,1
#WeRespectVets,$22315943,1
#WeRespectVets,$1045437515551911938,1
#WeRespectVets,$1256709214661214216,1
#WeRespectVets,$1217553323685031936,1
#WeRespectVets,$702207213641797633,1
#WeRespectVets,$1284944103180922880,1
#WeRespectVets,$851070544845975552,1
#WeRespectVets,$1071149840267132928,1
#WeRespectVets,$61546930,1
#WeRespectVets,$361299250,1
#WeRespectVets,$174026753,1
#WeRespectVets,$130801120,1
#WeRespectVets,$1170331195529420801,1
#WeRespectVets,$1100522545873248256,1
#WeRespectVets,$48794355,1
#WeRespectVets,$2391866368,1
#WeRespectVets,$1042052906004963329,1
#WeRespectVets,$24463187,1
#WeRespectVets,$221555640,1
#WeRespectVets,$631640810,1
#WeRespectVets,$1166483553288241152,1
#WeRespectVets,$270117334,1
#WeRespectVets,$800304220356255744,1
#WeRespectVets,$14061954,1
#WeRespectVets,$103899409,1
#WeRespectVets,$483677760,1
#WeRespectVets,$393744795,1
#WeRespectVets,$1298258343719366660,1
#WeRespectVets,$1290278216721002496,1
#WeRespectVets,$1099813014432145408,1
#WeRespectVets,$721755747592351745,1
#WeRespectVets,$4646677163,1
#WeRespectVets,$2885593463,1
#WeRespectVets,$15064678,1
#WeRespectVets,$1254160858734886914,1
#WeRespectVets,$1282150988305113088,1
#WeRespectVets,$485755132,1
