src,dst,count
#savePuVVNL,@myogiadityanath,359
#savePuVVNL,@narendramodi,358
#savePuVVNL,@RajKSinghIndia,354
#savePuVVNL,@CMOfficeUP,351
#savePuVVNL,@ChiefSecyUP,344
#savePuVVNL,@UPRVPAS_VNS,26
#savePuVVNL,@ndtv,26
#savePuVVNL,@ANI,24
#savePuVVNL,@ABPNews,21
#savePuVVNL,@indiatvnews,19
#savePuVVNL,@TheLallantop,19
#savePuVVNL,@ravishndtv,19
#savePuVVNL,@UPRVPAS,13
#savePuVVNL,@UppclChairman,10
#savePuVVNL,@JpuppclEr,9
#savePuVVNL,@AipefIndia,7
#savePuVVNL,@Shekhar67487758,7
#savePuVVNL,@UPRVPAS_BANDA,7
#savePuVVNL,@AbhiyantaSangh,6
#savePuVVNL,@UPRVPAS_MEERUT,5
#savePuVVNL,@UPRVPAS_AYODHYA,5
#savePuVVNL,@UPRVPAS_Agra,5
#savePuVVNL,@UPRVPAS_PVVNL,5
#savePuVVNL,@VKSSS_VARANASI,5
#savePuVVNL,@ptshrikant,5
#savePuVVNL,@Manjeet70073220,5
#savePuVVNL,@VPASMVVNL,5
#savePuVVNL,@ELalganj,5
#savePuVVNL,@harshit33675063,4
#savePuVVNL,@EEedd2Barabanki,4
#savePuVVNL,@rupeshkumar1210,4
#savePuVVNL,@RajkingRavan,4
#savePuVVNL,@HarshaGupta0411,4
#savePuVVNL,@eddakbarpur,4
#savePuVVNL,@RVPJESFBD,4
#savePuVVNL,@singh_sdo,4
#savePuVVNL,@grv_shukla,4
#savePuVVNL,@Ratnesh09586659,4
#savePuVVNL,@MaheshC37617993,4
#savePuVVNL,@kyamuxman,3
#savePuVVNL,@peeyushkumar9,3
#savePuVVNL,@brajeshlive,3
#savePuVVNL,@cool_anoop86,3
#savePuVVNL,@Priyank38536521,3
#savePuVVNL,@TARUNRAJPUTMUZ1,3
#savePuVVNL,@UPPCLLKO,3
#savePuVVNL,@ALOKKUM19992606,3
#savePuVVNL,@Chandreshupadh6,3
#savePuVVNL,@SdoKutubkhana,3
#savePuVVNL,@vishalmalik1994,3
#savePuVVNL,@IiVaranasi,3
#savePuVVNL,@pvvnl_sdo2mzn,3
#savePuVVNL,@SikandarSinghY3,3
#savePuVVNL,@AllDiscom,3
#savePuVVNL,@sdojais2,3
#savePuVVNL,@007loku,3
#savePuVVNL,@kumarViren1917,3
#savePuVVNL,@K_K_Ojha,2
#savePuVVNL,@AkankshaRajSax1,2
#savePuVVNL,@o9N274dLfza1wPZ,2
#savePuVVNL,@Brand_Amar,2
