src,dst,count
#savepowersectorindia,#savePuVVNL,325
#savepowersectorindia,#StopPrivatisation_SaveGovtJob,20
#savepowersectorindia,#savegovtjobs,13
#savepowersectorindia,#savepuvvnl,6
#savepowersectorindia,#uppcl,4
#savepowersectorindia,#StopPrivatisation,2
#savepowersectorindia,#BoycottBollywood,1
#savepowersectorindia,#BollywoodNeedsRehab,1
#savepowersectorindia,#BigBoss14,1
#savepowersectorindia,#stop_power_discom_privatization,1
#savepowersectorindia,#saveuppcl,1
#savepowersectorindia,#saveengineers,1
