src,dst,count
#tanushreepandey,#हाथरस_का_सच,29
#tanushreepandey,#HathrasTapes,9
#tanushreepandey,#IndiaToday,7
#tanushreepandey,#Hathras,6
#tanushreepandey,#YogiAdityanath,5
#tanushreepandey,#TrumpCovid,4
#tanushreepandey,#HathrasHorror,4
#tanushreepandey,#msdforever,3
#tanushreepandey,#हाथरस_कांड_बिकाऊ_मीडिया,3
#tanushreepandey,#BoyfriendDay,3
#tanushreepandey,#EmilyInParis,3
#tanushreepandey,#OurHavenBangChan,3
#tanushreepandey,#हाथरस_कांड,3
#tanushreepandey,#हाथरस,3
#tanushreepandey,#AIIMSBeFairWithSSRReport,3
#tanushreepandey,#PCAs,2
#tanushreepandey,#Revolution4SSR,2
#tanushreepandey,#AtalTunnel,2
#tanushreepandey,#HathrasTruthExposed,2
#tanushreepandey,#wanja,2
#tanushreepandey,#NBAFinals,2
#tanushreepandey,#PriyankaGandhi,1
#tanushreepandey,#NoTimeToDie,1
#tanushreepandey,#Airdrop,1
#tanushreepandey,#inktober2020,1
#tanushreepandey,#ThankYouChimmyFallon,1
#tanushreepandey,#SaturdayVibes,1
#tanushreepandey,#Sathyaraj,1
#tanushreepandey,#RetweeetPlease,1
#tanushreepandey,#Rhea,1
#tanushreepandey,#COVID19,1
#tanushreepandey,#SSR,1
#tanushreepandey,#अशोक_गहलौत_इस्तीफा_दो,1
#tanushreepandey,#अजमेर_गैंगरेप_पे_चुप्पी_क्यों,1
#tanushreepandey,#HathrasHorrorShocksIndia,1
#tanushreepandey,#मीडिया_योगी_का_इस्तीफा_माँगो,1
#tanushreepandey,#RahulJiNahiRukenge,1
#tanushreepandey,#हाथरसकेगिद्धबेनकाब,1
#tanushreepandey,#दलालइंडियाटुडे,1
#tanushreepandey,#BiggBoss14,1
#tanushreepandey,#HantecMarkets,1
#tanushreepandey,#ABPNews,1
#tanushreepandey,#IStandWithIndianFarmers,1
#tanushreepandey,#अशोक_गहलोत_इस्तीफा_दो,1
#tanushreepandey,#Rohtang,1
#tanushreepandey,#RJD,1
#tanushreepandey,#BJP,1
#tanushreepandey,#AtalTunnelRohtang,1
#tanushreepandey,#slicethepie,1
#tanushreepandey,#DalitLivesMatter,1
#tanushreepandey,#TrumpHasCorona,1
#tanushreepandey,#LakeShow,1
#tanushreepandey,#BeatLA,1
#tanushreepandey,#JusticeForAmanBaisla,1
#tanushreepandey,#Amazon,1
#tanushreepandey,#أسرار_التحرير_الثاني,1
#tanushreepandey,#morristime,1
#tanushreepandey,#defi,1
#tanushreepandey,#cryptocurrency,1
#tanushreepandey,#WearAMask,1
#tanushreepandey,#BanIndiaToday,1
