src,dst,count
#tanushreepandey,@ajitanjum,22
#tanushreepandey,@TanushreePande,14
#tanushreepandey,@Sanju_Verma_,12
#tanushreepandey,@Liberalistic15,5
#tanushreepandey,@PoojaPrasanna4,3
#tanushreepandey,@Chaiti,2
#tanushreepandey,@RajatSharmaLive,2
#tanushreepandey,@aroonpurie,1
#tanushreepandey,@Samanakhan786,1
#tanushreepandey,@Kalawantsunity,1
#tanushreepandey,@DOTNewsHindi,1
#tanushreepandey,@JyotiRajvanshi6,1
#tanushreepandey,@vegix,1
#tanushreepandey,@Columbu_S,1
#tanushreepandey,@rahulkanwal,1
#tanushreepandey,@yogitabhayana,1
#tanushreepandey,@mvmeet,1
#tanushreepandey,@GTRao,1
#tanushreepandey,@yuvahallabol,1
#tanushreepandey,@myogiadityanath,1
#tanushreepandey,@idnani_nandini,1
#tanushreepandey,@RahulGandhi,1
#tanushreepandey,@sourabastic,1
#tanushreepandey,@JoynaDavid,1
#tanushreepandey,@JesukaP,1
#tanushreepandey,@democracynow,1
#tanushreepandey,@SufiRoshan82,1
#tanushreepandey,@newsoforissa,1
#tanushreepandey,@vishaljalandhra,1
#tanushreepandey,@ashutoshgyanpur,1
#tanushreepandey,@rpp4haryana,1
#tanushreepandey,@IndiaToday,1
#tanushreepandey,@OpIndia_com,1
#tanushreepandey,@RKRadhakrishn,1
#tanushreepandey,@UnSubtleDesi,1
#tanushreepandey,@AnupamConnects,1
