src,dst,count
#अशोक_गहलौत_इस्तीफा_दो,#गिद्ध_गहलौत_घायल_बेटियाँ,2
#अशोक_गहलौत_इस्तीफा_दो,#मीडिया_योगी_का_इस्तीफा_माँगो,1
#अशोक_गहलौत_इस्तीफा_दो,#pitsofordominationagain,1
#अशोक_गहलौत_इस्तीफा_दो,#ourhavenbangchan,1
#अशोक_गहलौत_इस्तीफा_दो,#kohlanta,1
#अशोक_गहलौत_इस्तीफा_दो,#PCAs,1
#अशोक_गहलौत_इस्तीफा_दो,#NationalBoyfriendDay,1
#अशोक_गहलौत_इस्तीफा_दो,#HathrasTruthExposed,1
#अशोक_गहलौत_इस्तीफा_दो,#BTSonFallon_D5,1
#अशोक_गहलौत_इस्तीफा_दो,#BTSMONTH,1
#अशोक_गहलौत_इस्तीफा_दो,#302ForSSRKillers,1
#अशोक_गहलौत_इस्तीफा_दो,#Rajasthan,1
#अशोक_गहलौत_इस्तीफा_दो,#आदिवासी_विरोधी_गहलोत_सरकार,1
#अशोक_गहलौत_इस्तीफा_दो,#अजमेर_गैंगरेप_पे_चुप्पी_क्यों,1
#अशोक_गहलौत_इस्तीफा_दो,#tanushreepandey,1
#अशोक_गहलौत_इस्तीफा_दो,#HathrasHorrorShocksIndia,1
